,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000004673,-0.07002885874490361,0.0
prbatp_c,0.10106489373178297,-0.0,0.0
10fthf_c,0.02120016736405744,-0.0,0.0
co2_e,0.0010000000000000002,-0.000636242566614157,0.0
akg_e,0.0010000000000000002,-0.0002682341790609449,0.0
2pg_c,0.4318303560232696,-0.0,0.0
13dpg_c,0.05520951640467593,-0.0,0.0
prbamp_c,5.450960597451197,-0.0,0.0
fpram_c,0.0010732183694314012,-0.0,0.0
thr__L_c,0.1065573597760211,-0.0,0.0
fum_p,0.0010000000000000002,-0.00032080559134443746,0.0
gln__L_e,0.0010000000000000002,-0.00022026819339013547,0.0
3ohexACP_c,0.1295804908314184,-0.0,0.0
3ocddec5eACP_c,0.025979488538044174,-0.0,0.0
r5p_c,0.001000000000001138,-0.026705191865360405,0.0
akg_c,0.0019882183522774177,-0.0,0.0
ac_c,0.20218037279513146,-0.0,0.0
citr__L_c,0.22404281400158077,-0.0,0.0
34hpp_c,0.14627163146123778,-0.0,0.0
pep_c,9.999999999998714,-0.0,0.23845107644543573
h_c,0.0487395269036602,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.00026035469010386454,0.0
gthrd_c,0.0010000000000000002,-0.00024076885569079023,0.0
actACP_c,0.1279626092710431,-0.0,0.0
actp_c,0.060801057921837695,-0.0,0.0
pyr_p,0.0010000000000000002,-0.0003141298195509373,0.0
cyst__L_c,0.1457226978455575,-0.0,0.0
dutp_c,0.049071107324712676,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.020055386713647722,-0.0,0.0
2ahbut_c,0.13485034159962306,-0.0,0.0
ser__L_c,9.999999999983864,-0.0,0.01939671825983836
toct2eACP_c,0.00989446816151157,-0.0,0.0
ump_c,0.1798740261871186,-0.0,0.0
3pg_c,0.28094210619153615,-0.0,0.0
ctp_c,0.12699862114825747,-0.0,0.0
dadp_c,0.1648481892425134,-0.0,0.0
xu5p__D_c,0.019294152357873438,-0.0,0.0
aspsa_c,0.0010000000000453444,-0.001273052227642796,0.0
thex2eACP_c,0.009784902705431637,-0.0,0.0
t3c9palmeACP_c,0.008777253811771897,-0.0,0.0
