,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000018538,-0.09044174046307944,0.0
prbatp_c,0.10877959737631743,-0.0,0.0
10fthf_c,0.13542868191227117,-0.0,0.0
co2_e,0.0009999999999999994,-0.0011170139050609568,0.0
akg_e,10.000000000000002,-0.0,0.0006678205853723698
2pg_c,0.40503686767257335,-0.0,0.0
13dpg_c,0.0434919232175554,-0.0,0.0
prbamp_c,5.9689016221548705,-0.0,0.0
fpram_c,0.0010186744743077754,-0.0,0.0
thr__L_c,0.2205806463413726,-0.0,0.0
fum_p,0.0010000000000000002,-0.0005324228877236196,0.0
gln__L_e,0.0010000000000000002,-0.00038052921466845386,0.0
3ohexACP_c,0.5045839518170147,-0.0,0.0
3ocddec5eACP_c,0.04073958218622559,-0.0,0.0
r5p_c,0.0010000000000037208,-0.046047925345251456,0.0
akg_c,0.0010067203458506068,-0.0,0.0
ac_c,0.9267273348251509,-0.0,0.0
citr__L_c,0.16938598361374302,-0.0,0.0
34hpp_c,0.06882286023332217,-0.0,0.0
pep_c,9.999999999993314,-0.0,0.2505048923646164
h_c,0.04526558499958898,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.000496729237597811,0.0
gthrd_c,0.0010000000000000002,-0.00044967676757727966,0.0
actACP_c,0.5041097012868856,-0.0,0.0
actp_c,0.1900617223995776,-0.0,0.0
pyr_p,0.0010000000000000002,-0.0005144190275298764,0.0
cyst__L_c,0.5916493892468554,-0.0,0.0
dutp_c,0.04820814848361903,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.005353622118383219,-0.0,0.0
2ahbut_c,0.29874297362600694,-0.0,0.0
ser__L_c,9.99999999992789,-0.0,0.02386641561125087
toct2eACP_c,0.006591631827402741,-0.0,0.0
ump_c,0.14502777299567096,-0.0,0.0
3pg_c,0.2580796080754197,-0.0,0.0
ctp_c,0.14597007500653347,-0.0,0.0
dadp_c,0.1182904904829526,-0.0,0.0
xu5p__D_c,0.019083988603045478,-0.0,0.0
aspsa_c,0.0010000000000072113,-0.023069021221332642,0.0
thex2eACP_c,0.00617457337774151,-0.0,0.0
t3c9palmeACP_c,0.0054602031907701985,-0.0,0.0
accoa_c,0.0875921424154515,-0.0,0.0
arg__L_c,0.020993362437108844,-0.0,0.0
26dap_LL_c,0.24820782047582662,-0.0,0.0
asp__L_c,2.0624344946034348,-0.0,0.0
acg5sa_c,0.06585180794078745,-0.0,0.0
hexACP_c,0.5701335009421808,-0.0,0.0
skm_c,0.005003467055486985,-0.0,0.0
imp_c,0.015240232309614327,-0.0,0.0
o2_c,0.11058906865437595,-0.0,0.0
h_p,0.9666448512796957,-0.0,0.0
succ_p,0.0010000000000000002,-0.0008585200936183872,0.0
phpyr_c,0.1413426823213559,-0.0,0.0
fru_e,0.0010000000000000002,-0.00042321732901611674,0.0
pyr_e,0.0010000000000000002,-0.0004335939977417346,0.0
5mthf_c,0.05536226330595583,-0.0,0.0
nad_c,0.06158525154137249,-0.0,0.0
tdeACP_c,0.5478282109182002,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00040998107709733125,0.0
3hoctaACP_c,0.0010000000000000002,-0.00032601954199377244,0.0
adp_c,0.0018748757324915488,-0.0,0.0
mal__L_c,0.07096505144167822,-0.0,0.0
g3p_c,0.0010099236794407253,-0.0,0.0
etoh_c,0.0010000000000000002,-0.00041381369784423256,0.0
so3_c,0.09413439588321726,-0.0,0.0
met__L_c,0.01460613076535795,-0.0,0.0
aicar_c,0.0014083812888134413,-0.0,0.0
5aizc_c,0.0010000000000007613,-0.2195764375263728,0.0
ac_e,0.0010000000000000002,-0.0003785630936517244,0.0
glx_c,0.0010000000000000002,-0.0008212424621096519,0.0
etoh_e,0.0010000000000000002,-0.0002926044968931515,0.0
glcn_p,0.0010000000000000002,-0.0003063776223353884,0.0
air_c,1.0945942814851228,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0006196272295364248,0.0
nh4_c,3.636245342888982,-0.0,0.0
tdec2eACP_c,0.19159439976804837,-0.0,0.0
hdeACP_c,0.0363820543180449,-0.0,0.0
pi_c,0.0014489375035589757,-0.0,0.0
argsuc_c,0.30101629330364954,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0010479958296086066,0.0
chor_c,0.056285336968264585,-0.0,0.0
hom__L_c,0.004076746072510271,-0.0,0.0
dgdp_c,0.09140565565260104,-0.0,0.0
q8h2_c,10.000000000000002,-0.0,0.00039273128522437727
3odecACP_c,2.455846211025083,-0.0,0.0
tyr__L_c,0.0391665843257496,-0.0,0.0
