,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000011096,-0.07175300944929636,0.0
prbatp_c,0.09072733813331427,-0.0,0.0
10fthf_c,0.021200174600766692,-0.0,0.0
co2_e,0.0010000000000000002,-0.000942328512377229,0.0
akg_e,0.0010000000000000002,-0.00039535237394221223,0.0
2pg_c,0.4318303002419001,-0.0,0.0
13dpg_c,0.055209537010735735,-0.0,0.0
prbamp_c,5.516332935030584,-0.0,0.0
fpram_c,0.0011940029909760816,-0.0,0.0
thr__L_c,0.10665063295583857,-0.0,0.0
fum_p,0.025672528457794084,-0.0,0.0
gln__L_e,0.0010000000000000002,-0.0003189173908296263,0.0
3ohexACP_c,0.12333301473104918,-0.0,0.0
3ocddec5eACP_c,0.02594725134949519,-0.0,0.0
r5p_c,0.001000000000002702,-0.026434728912801506,0.0
akg_c,0.0019882337637700605,-0.0,0.0
ac_c,0.7009679746619574,-0.0,0.0
citr__L_c,0.2106156225335034,-0.0,0.0
34hpp_c,0.1398220771861957,-0.0,0.0
pep_c,9.99999999999692,-0.0,0.23823410660305144
h_c,0.04873954334865757,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.0003909378107339894,0.0
gthrd_c,0.0010000000000000002,-0.0003618823246981891,0.0
actACP_c,0.13805495463756617,-0.0,0.0
actp_c,0.14604186487289816,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00046627223438223123,0.0
cyst__L_c,0.14297802714454924,-0.0,0.0
dutp_c,0.052120147483997736,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.02145344420654314,-0.0,0.0
2ahbut_c,0.12925878712537203,-0.0,0.0
ser__L_c,9.99999999996166,-0.0,0.01962341251444026
toct2eACP_c,0.010327854276751291,-0.0,0.0
ump_c,0.16872380638356763,-0.0,0.0
3pg_c,0.2809421821434112,-0.0,0.0
ctp_c,0.08031128811097875,-0.0,0.0
dadp_c,0.16314564029086415,-0.0,0.0
xu5p__D_c,0.019294157855003987,-0.0,0.0
aspsa_c,0.0010000000001079202,-0.0016300630897926915,0.0
thex2eACP_c,0.010239098817606661,-0.0,0.0
t3c9palmeACP_c,0.009135082834408328,-0.0,0.0
accoa_c,0.0405535514046366,-0.0,0.0
arg__L_c,0.018682127962269146,-0.0,0.0
26dap_LL_c,0.17394173205566515,-0.0,0.0
asp__L_c,0.07695507966180765,-0.0,0.0
acg5sa_c,0.7071340424715074,-0.0,0.0
hexACP_c,0.23410028182087864,-0.0,0.0
skm_c,0.017638628469269623,-0.0,0.0
imp_c,0.014135123026501564,-0.0,0.0
o2_c,0.09596545323289432,-0.0,0.0
h_p,0.9819528271073961,-0.0,0.0
succ_p,0.0010000000000000002,-0.0007429832729708184,0.0
phpyr_c,0.23658936912142126,-0.0,0.0
fru_e,0.0010000000000000002,-0.00036765625480523925,0.0
pyr_e,0.0010000000000000002,-0.00037959667745386964,0.0
5mthf_c,0.07006714244701809,-0.0,0.0
nad_c,10.000000000000002,-0.0,0.0003316616868155072
tdeACP_c,0.22849444193989663,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.000350973755211746,0.0
3hoctaACP_c,0.0010000000000000002,-0.00028658358144385983,0.0
adp_c,0.0017094866039893757,-0.0,0.0
mal__L_c,0.07071742364592579,-0.0,0.0
g3p_c,0.0010000000000040122,-0.018406183195186734,0.0
etoh_c,0.0010000000000000002,-0.0003622664302824471,0.0
so3_c,0.1000060379338869,-0.0,0.0
met__L_c,0.03295558542251653,-0.0,0.0
aicar_c,0.0010379248616740173,-0.0,0.0
5aizc_c,0.0010000000000003723,-0.1963971717208065,0.0
ac_e,0.0010000000000000002,-0.0003342448730019557,0.0
glx_c,0.0010000000000000002,-0.0008694212989339167,0.0
etoh_e,0.0010000000000000002,-0.00024805333339237017,0.0
glcn_p,0.0010000000000000002,-0.0002767981517500197,0.0
air_c,0.13586490792544695,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0005475576715768545,0.0
nh4_c,0.0011974804408866353,-0.0,0.0
tdec2eACP_c,0.16760877875422622,-0.0,0.0
hdeACP_c,0.039997036581265376,-0.0,0.0
pi_c,0.0019318180430162688,-0.0,0.0
argsuc_c,0.24721676170416373,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0009281105614945247,0.0
chor_c,0.06666856557932387,-0.0,0.0
hom__L_c,0.031430722251778474,-0.0,0.0
dgdp_c,0.12511615738023502,-0.0,0.0
q8h2_c,0.04768485292043596,-0.0,0.0
3odecACP_c,0.2258550488748659,-0.0,0.0
tyr__L_c,0.027690648163521583,-0.0,0.0
cys__L_c,0.08315139949985417,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.00046741852268219596,0.0
h2s_c,0.11986850367675683,-0.0,0.0
e4p_c,0.0010000000000015216,-0.04844633772446887,0.0
trp__L_c,0.08696369046665761,-0.0,0.0
acser_c,0.0586602952089079,-0.0,0.0
lys__L_c,0.04568236211411317,-0.0,0.0
dudp_c,0.15877220755231883,-0.0,0.0
atp_c,6.24484278457065,-0.0,0.0
indole_c,0.010521953982835928,-0.0,0.0
eig3p_c,0.2547747233516238,-0.0,0.0
26dap__M_c,0.004033939569586814,-0.0,0.0
thf_c,0.0389033633162871,-0.0,0.0
orot5p_c,0.032412572374065626,-0.0,0.0
h_e,10.000000000000002,-0.0,0.35959288024107
gln__L_p,0.0010000000000000002,-0.0003396006139420814,0.0
glyc_p,0.0010000000000000002,-0.00024855659085190276,0.0
5caiz_c,9.999999999996298,-0.0,0.19641383310832222
mal__L_p,0.0010000000000000002,-0.0004725420885637477,0.0
3hcpalm9eACP_c,0.5167535154570726,-0.0,0.0
3ocpalm9eACP_c,0.11813154313614697,-0.0,0.0
butACP_c,0.23614199908911407,-0.0,0.0
dttp_c,0.05117959621922902,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.0002683009981155061,0.0
trdox_c,10.000000000000002,-0.0,0.0003228561605535268
3ig3p_c,0.8941354622347739,-0.0,0.0
sl26da_c,0.4900275154150065,-0.0,0.0
3hoctACP_c,0.5562461259875162,-0.0,0.0
dctp_c,0.035709430870480875,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.00028605941515679465,0.0
grxrd_c,0.0010000000000000002,-0.00023450973183537517,0.0
ru5p__D_c,0.0010000000000014435,-0.05019225408847629,0.0
23dhmb_c,0.055896346634409275,-0.0,0.0
pran_c,0.4603864864784357,-0.0,0.0
glcn_c,0.0010000000000000002,-0.0002893296344292924,0.0
paps_c,0.05990246520577164,-0.0,0.0
utp_c,0.05238882938894938,-0.0,0.0
dhor__S_c,0.0010000000000003892,-0.1884982703945743,0.0
glyc_e,0.0010000000000000002,-0.00024805333339330654,0.0
4mop_c,10.000000000000002,-0.0,0.00031715440212990765
fdp_c,0.0017466249982384895,-0.0,0.0
dtmp_c,0.21276567962932133,-0.0,0.0
gdp_c,0.04654497649739028,-0.0,0.0
o2_p,0.0010000000000000002,-0.0009281101646841125,0.0
datp_c,0.0389492080771001,-0.0,0.0
ppi_c,0.005417169379896067,-0.0,0.0
nadp_c,0.018638059549446136,-0.0,0.0
glu__L_c,0.6028817769771749,-0.0,0.0
fum_c,0.11271992649780163,-0.0,0.0
akg_p,0.0010000000000000002,-0.0005050654884587228,0.0
acorn_c,0.03805747009732041,-0.0,0.0
glu5sa_c,0.028848562980050566,-0.0,0.0
ile__L_c,0.014817097402160083,-0.0,0.0
ocACP_c,0.2806969376183576,-0.0,0.0
3dhq_c,0.9226138859053551,-0.0,0.0
hisp_c,0.016747351283014564,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.0004676374805300609
glu__L_e,0.0010000000000000002,-0.00036361055545715526,0.0
cbp_c,0.37994480021161603,-0.0,0.0
3mob_c,0.39217789767865635,-0.0,0.0
suchms_c,0.06585507586365003,-0.0,0.0
tpalm2eACP_c,0.009032433399806987,-0.0,0.0
3hpalmACP_c,0.5105029841597633,-0.0,0.0
gln__L_c,8.286395081135481,-0.0,0.0
3c3hmp_c,6.410921124744133,-0.0,0.0
anth_c,0.25842874956279616,-0.0,0.0
pap_c,0.20369598447967896,-0.0,0.0
xmp_c,0.030042732989120066,-0.0,0.0
2cpr5p_c,0.025268082145524718,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.00030903878273067664,0.0
xyl__D_p,0.0010000000000000002,-0.0002913921477589213,0.0
octeACP_c,0.0010000000000000002,-0.0002529527522266454,0.0
3hhexACP_c,0.5553948221637259,-0.0,0.0
t3c5ddeceACP_c,0.008300409618414217,-0.0,0.0
co2_p,10.00000000000001,-0.0,0.0009423238731450228
ala__L_c,0.0060520620439496,-0.0,0.0
hco3_c,0.0036075994919714267,-0.0,0.0
phe__L_c,0.03249093841829877,-0.0,0.0
mlthf_c,9.999999999972779,-0.0,0.026668265789730222
t3c7mrseACP_c,0.010102396095645762,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.00028610423584118607,0.0
1pyr5c_c,10.000000000000002,-0.0,0.00031376825756169313
acald_p,0.0010000000000000002,-0.0002485565908533414,0.0
2ippm_c,0.4170849688869494,-0.0,0.0
3psme_c,0.07527922796070925,-0.0,0.0
imacp_c,0.6919849627891576,-0.0,0.0
