,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07051378946420545,-0.0,0.0
prbatp_c,0.0989439336179088,-0.0,0.0
10fthf_c,0.002292663340021747,-0.0,0.0
co2_e,0.0010000000000000002,-0.0006929912354876341,0.0
akg_e,0.0010000000000000002,-0.00029602422060629504,0.0
2pg_c,0.025354037874967532,-0.0,0.0
13dpg_c,9.9999999999715,-0.0,0.005308076964936619
prbamp_c,9.999972103955255,-0.0,0.0015985172646056694
fpram_c,0.0010000189440819327,-0.0003767969513705067,0.0
thr__L_c,0.10888801735901361,-0.0,0.0
fum_p,0.0010000000000000002,-0.00038169906577682224,0.0
gln__L_e,0.0010000000000000002,-0.0003053073763367055,0.0
3ohexACP_c,0.05823011502222364,-0.0,0.0
3ocddec5eACP_c,0.01668453259099897,-0.0,0.0
r5p_c,0.11236555547721132,-0.0,0.0
akg_c,0.0010000000000005287,-0.03324380678934092,0.0
ac_c,3.7551186633322,-0.0,0.0
citr__L_c,0.1509469375130458,-0.0,0.0
34hpp_c,0.11982700401431098,-0.0,0.0
pep_c,0.11555161407996785,-0.0,0.0
h_c,0.0093646540005802,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.00024794211745216043,0.0
gthrd_c,0.0010000000000000002,-0.00026348772658399834,0.0
actACP_c,0.032790705622385015,-0.0,0.0
actp_c,0.20368124129006945,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00038334126969222156,0.0
cyst__L_c,0.3294433981394053,-0.0,0.0
dutp_c,0.038635857285949364,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.0225134842483274,-0.0,0.0
2ahbut_c,0.10720982902250649,-0.0,0.0
ser__L_c,9.999999999996191,-0.0,0.04392418744414988
toct2eACP_c,0.1770847149846347,-0.0,0.0
ump_c,0.5756034478067592,-0.0,0.0
3pg_c,2.501313188715672,-0.0,0.0
ctp_c,0.09080551894434695,-0.0,0.0
dadp_c,0.2961830534307673,-0.0,0.0
xu5p__D_c,0.039326454742144315,-0.0,0.0
aspsa_c,0.001000000000000185,-0.09026241516990569,0.0
thex2eACP_c,0.10560047840096455,-0.0,0.0
t3c9palmeACP_c,0.02524155640855652,-0.0,0.0
accoa_c,0.0038019338946200555,-0.0,0.0
arg__L_c,0.015263244726125103,-0.0,0.0
26dap_LL_c,0.022668054354710882,-0.0,0.0
asp__L_c,9.99999999999644,-0.0,0.044609760203992904
acg5sa_c,0.01985684752161174,-0.0,0.0
hexACP_c,0.20109979095125924,-0.0,0.0
skm_c,0.01099927550967189,-0.0,0.0
imp_c,0.045360831189755944,-0.0,0.0
o2_c,0.2826963014949172,-0.0,0.0
h_p,0.4757794462299772,-0.0,0.0
succ_p,0.0010000000000000002,-0.00042477552270566137,0.0
phpyr_c,0.15472133850036088,-0.0,0.0
fru_e,0.0010000000000000002,-0.0002573236209384511,0.0
pyr_e,0.0010000000000000002,-0.00029706939302028435,0.0
5mthf_c,0.002413765148647254,-0.0,0.0
nad_c,9.999999999999087,-0.0,0.17942751860135298
tdeACP_c,0.11898249469150615,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.0002478865812759428,0.0
3hoctaACP_c,0.0010000000000000002,-0.00020073546418728543,0.0
adp_c,0.007012484466661302,-0.0,0.0
mal__L_c,0.001000000000000382,-0.04028247313417722,0.0
g3p_c,0.0010000000000000358,-0.46936723589287677,0.0
etoh_c,0.0010000000000000002,-0.00024022645994347446,0.0
so3_c,0.11435406932365687,-0.0,0.0
met__L_c,0.022144201282363926,-0.0,0.0
aicar_c,0.0011289665708604985,-0.0,0.0
5aizc_c,0.001000000000000035,-0.48288937368466217,0.0
ac_e,0.0010000000000000002,-0.00025461334167897645,0.0
glx_c,0.0010000000000000002,-0.0007873781832903403,0.0
etoh_e,0.0010000000000000002,-0.0001812196883327773,0.0
glcn_p,0.0010000000000000002,-0.0002159523169140193,0.0
air_c,0.6488340640916724,-0.0,0.0
6pgc_c,6.663051397017112,-0.0,0.0
nh4_c,0.020015082744186126,-0.0,0.0
tdec2eACP_c,1.1519675941450023,-0.0,0.0
hdeACP_c,0.010272666773582375,-0.0,0.0
pi_c,0.08450068766682173,-0.0,0.0
argsuc_c,0.447896011211207,-0.0,0.0
nh4_p,0.0009999999999999994,-0.000687490471959431,0.0
chor_c,0.05279518355988414,-0.0,0.0
hom__L_c,0.0114945686154743,-0.0,0.0
dgdp_c,0.20222192949128584,-0.0,0.0
q8h2_c,10.000000000000002,-0.0,0.00026101239341394137
3odecACP_c,0.21503255782995817,-0.0,0.0
tyr__L_c,0.03477123895564925,-0.0,0.0
cys__L_c,0.07869866645267037,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.0002737521305428757,0.0
h2s_c,0.10115720223513895,-0.0,0.0
e4p_c,0.0023993876544134286,-0.0,0.0
trp__L_c,0.09862520048612637,-0.0,0.0
acser_c,0.03737073730519923,-0.0,0.0
lys__L_c,0.01756661538301184,-0.0,0.0
dudp_c,0.23421216933200265,-0.0,0.0
atp_c,2.9738020710068946,-0.0,0.0
indole_c,0.008747684945125709,-0.0,0.0
eig3p_c,0.500040365136347,-0.0,0.0
26dap__M_c,0.0012128900361488535,-0.0,0.0
thf_c,0.00471944509810133,-0.0,0.0
orot5p_c,0.030771052389316676,-0.0,0.0
h_e,0.0010000000000000002,-0.0005195195945122438,0.0
gln__L_p,0.0010000000000000002,-0.0004008225494495483,0.0
glyc_p,0.0010000000000000002,-0.00017489650893458915,0.0
5caiz_c,9.999999999999655,-0.0,0.48287258399555777
mal__L_p,0.0010000000000000002,-0.00035721133097458006,0.0
3hcpalm9eACP_c,0.04136493274555661,-0.0,0.0
3ocpalm9eACP_c,0.037820495315503376,-0.0,0.0
butACP_c,0.1494853663575425,-0.0,0.0
dttp_c,0.030795938220587855,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00019989276862784758,0.0
trdox_c,10.000000000000002,-0.0,0.00023559622681820934
3ig3p_c,1.1955843738922274,-0.0,0.0
sl26da_c,0.7359339924127415,-0.0,0.0
3hoctACP_c,0.13528139445460569,-0.0,0.0
dctp_c,0.022925419154192814,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.00021029696720492008,0.0
grxrd_c,0.0010000000000000002,-0.00017232089285993562,0.0
ru5p__D_c,0.3821872756215635,-0.0,0.0
