,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07466405688794962,-0.0,0.0
prbatp_c,0.07965140094379652,-0.0,0.0
10fthf_c,0.8864192260299828,-0.0,0.0
co2_e,10.00000000000001,-0.0,0.0004451352940388504
akg_e,0.0010000000000000002,-0.00020148901730492966,0.0
2pg_c,0.027710015236225544,-0.0,0.0
13dpg_c,0.08033767896353422,-0.0,0.0
prbamp_c,1.9070730679235988,-0.0,0.0
fpram_c,0.0010002478403312995,-1.6577436029002974e-06,0.0
thr__L_c,0.18519540804057036,-0.0,0.0
fum_p,0.0010000000000000002,-0.0002302161251764833,0.0
gln__L_e,0.0010000000000000002,-0.00019906080878547594,0.0
3ohexACP_c,0.3873617791162009,-0.0,0.0
3ocddec5eACP_c,0.10094887246052392,-0.0,0.0
r5p_c,0.0016359299773184694,-0.0,0.0
akg_c,0.0010000000000865514,-0.002097230711258661,0.0
ac_c,0.6124704425771831,-0.0,0.0
citr__L_c,0.14097400909594043,-0.0,0.0
34hpp_c,0.02805453332805647,-0.0,0.0
pep_c,0.003580922569056146,-0.0,0.0
h_c,0.1752623546992085,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.00016203551206072769,0.0
gthrd_c,0.0010000000000000002,-0.00017662022301376322,0.0
actACP_c,0.5874886392033615,-0.0,0.0
actp_c,2.235320995318778,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00022925192412394174,0.0
cyst__L_c,0.37354763846193795,-0.0,0.0
dutp_c,0.03384846965689362,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.027657541130528603,-0.0,0.0
2ahbut_c,0.1878844719902172,-0.0,0.0
ser__L_c,9.999999999034738,-0.0,0.0032137239185980374
toct2eACP_c,0.0068536448616427865,-0.0,0.0
ump_c,0.4151423107506294,-0.0,0.0
3pg_c,0.5200705100952618,-0.0,0.0
ctp_c,0.1279525207037141,-0.0,0.0
dadp_c,0.21158210018337498,-0.0,0.0
xu5p__D_c,0.01485879453946211,-0.0,0.0
aspsa_c,0.0010000000000019392,-0.137652546662905,0.0
thex2eACP_c,0.006776755094368826,-0.0,0.0
t3c9palmeACP_c,0.006129445813447812,-0.0,0.0
accoa_c,9.999999999988145,-0.0,0.22555586931394964
arg__L_c,0.030691489637290226,-0.0,0.0
26dap_LL_c,0.024742305611173156,-0.0,0.0
asp__L_c,9.999999999967201,-0.0,0.0823056522714002
acg5sa_c,0.003871655217443428,-0.0,0.0
hexACP_c,0.3664431007300879,-0.0,0.0
skm_c,0.007731582326936998,-0.0,0.0
imp_c,0.1419723573449956,-0.0,0.0
o2_c,0.0010000000000000002,-0.000434256557175701,0.0
h_p,0.20956696952628054,-0.0,0.0
succ_p,0.0010000000000000002,-0.000279160563642038,0.0
phpyr_c,0.10797544596370572,-0.0,0.0
fru_e,0.0010000000000000002,-0.00017042937975424115,0.0
pyr_e,0.0010000000000000002,-0.0001895838087489949,0.0
5mthf_c,0.13482500663044697,-0.0,0.0
nad_c,0.030100216542863847,-0.0,0.0
tdeACP_c,0.3552275520584686,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.0001558047560134805,0.0
3hoctaACP_c,0.0010000000000000002,-0.00014112053491416304,0.0
adp_c,0.020321483542279497,-0.0,0.0
mal__L_c,0.18846346253880114,-0.0,0.0
g3p_c,0.003526547207599247,-0.0,0.0
etoh_c,0.001000000000001186,-0.22543392547377128,0.0
so3_c,0.1044409908599044,-0.0,0.0
met__L_c,0.020480693858122855,-0.0,0.0
aicar_c,0.003426453205289088,-0.0,0.0
5aizc_c,0.0010000000000006664,-0.4017315949287933,0.0
ac_e,0.0010000000000000002,-0.00023216477023207518,0.0
glx_c,0.0010000000000000002,-0.00032231548960008806,0.0
etoh_e,0.0009999999999999994,-0.0004728846227330274,0.0
glcn_p,0.0010000000000000002,-0.00013979890980372292,0.0
air_c,1.1010987034314175,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0001898082660053919,0.0
nh4_c,4.691103749608597,-0.0,0.0
tdec2eACP_c,0.08081330793643897,-0.0,0.0
hdeACP_c,0.05044114864085175,-0.0,0.0
pi_c,0.19306387664821198,-0.0,0.0
argsuc_c,0.1496849458618576,-0.0,0.0
nh4_p,0.0009999999999999994,-0.00044513903442728654,0.0
chor_c,0.04747750358870272,-0.0,0.0
hom__L_c,0.014340286933166085,-0.0,0.0
dgdp_c,0.14319621956154044,-0.0,0.0
q8h2_c,9.999999999971376,-0.0,0.09327839449330179
3odecACP_c,0.8991779984160324,-0.0,0.0
tyr__L_c,0.03803910194535089,-0.0,0.0
cys__L_c,0.08783033596595305,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.0001597006353843239,0.0
h2s_c,0.10366617609305932,-0.0,0.0
e4p_c,0.0011041524850812364,-0.0,0.0
trp__L_c,0.07526776969856214,-0.0,0.0
acser_c,0.08319686721322056,-0.0,0.0
lys__L_c,0.03484617137023156,-0.0,0.0
dudp_c,0.16093775438654007,-0.0,0.0
atp_c,1.959945859519042,-0.0,0.0
indole_c,0.008559438501932248,-0.0,0.0
eig3p_c,0.4829469052575769,-0.0,0.0
26dap__M_c,0.0029168317079415695,-0.0,0.0
thf_c,0.09684969930983602,-0.0,0.0
orot5p_c,0.012754563526029097,-0.0,0.0
h_e,0.0010000000000000002,-0.0003212360946607103,0.0
gln__L_p,0.0010000000000000002,-0.00024212666475081752,0.0
glyc_p,0.0010000000000000002,-0.00011794861133153951,0.0
5caiz_c,9.99999999999335,-0.0,0.4017590155501485
mal__L_p,0.0010000000000000002,-0.00023502560241705093,0.0
3hcpalm9eACP_c,0.3017898491917842,-0.0,0.0
3ocpalm9eACP_c,0.3693271708283195,-0.0,0.0
butACP_c,0.371189216544317,-0.0,0.0
dttp_c,0.030165559102165444,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00013734997739774788,0.0
trdox_c,10.000000000000002,-0.0,0.00015671635069048392
3ig3p_c,1.3073510941457152,-0.0,0.0
sl26da_c,1.5101717112182473,-0.0,0.0
3hoctACP_c,0.325216045181473,-0.0,0.0
dctp_c,0.023530678751677265,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.0001352492959475899,0.0
grxrd_c,0.0010000000000000002,-0.00011247214056816417,0.0
ru5p__D_c,0.0010737692367226547,-0.0,0.0
23dhmb_c,0.03152894686268828,-0.0,0.0
pran_c,0.4057528737855187,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00015187355129654098,0.0
paps_c,0.054513005531662724,-0.0,0.0
utp_c,0.02564590769691752,-0.0,0.0
dhor__S_c,0.0010000000000026576,-0.09986043489818813,0.0
glyc_e,0.0010000000000000002,-0.00011962150827289194,0.0
4mop_c,10.000000000000002,-0.0,0.000155929113275205
fdp_c,9.999999999977877,-0.0,0.12111806214639921
dtmp_c,0.2692779498762346,-0.0,0.0
gdp_c,0.037505608905215496,-0.0,0.0
o2_p,0.0010000000000000002,-0.00011794861133174052,0.0
datp_c,0.024516731200937985,-0.0,0.0
ppi_c,0.0036904145972950107,-0.0,0.0
nadp_c,0.0010000000000000002,-0.0001651853922557798,0.0
glu__L_c,9.999999999949758,-0.0,0.053852725672590133
fum_c,0.016075402210293584,-0.0,0.0
akg_p,0.0010000000000000002,-0.00026106374680516953,0.0
acorn_c,0.022776981393292147,-0.0,0.0
glu5sa_c,0.0024368225102913243,-0.0,0.0
ile__L_c,0.03281986323493745,-0.0,0.0
ocACP_c,0.47271510194066463,-0.0,0.0
3dhq_c,1.5976247617452832,-0.0,0.0
hisp_c,0.0929891713651533,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.00021254203288487313
glu__L_e,0.0010000000000000002,-0.00020289230150109973,0.0
cbp_c,0.41739248696734926,-0.0,0.0
3mob_c,0.17444472520834928,-0.0,0.0
suchms_c,0.028557978026616474,-0.0,0.0
tpalm2eACP_c,0.00608643567747729,-0.0,0.0
3hpalmACP_c,0.2994441392334705,-0.0,0.0
gln__L_c,9.987601859905574,-0.0,0.0
3c3hmp_c,4.108327556549374,-0.0,0.0
anth_c,0.45364728446152264,-0.0,0.0
pap_c,0.22841917187717375,-0.0,0.0
xmp_c,0.043906964052622816,-0.0,0.0
2cpr5p_c,0.03518020674441925,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.00014117427471467873,0.0
xyl__D_p,0.0010000000000000002,-0.00013447767292904705,0.0
octeACP_c,0.0010000000000000002,-0.00012882964469510065,0.0
3hhexACP_c,0.3240652366380336,-0.0,0.0
t3c5ddeceACP_c,0.005054682300194774,-0.0,0.0
co2_p,0.0010000000000000002,-0.00044513977824241755,0.0
ala__L_c,0.03529482322826242,-0.0,0.0
hco3_c,0.015254059076130934,-0.0,0.0
phe__L_c,0.044388905954701706,-0.0,0.0
mlthf_c,0.15219399952234205,-0.0,0.0
t3c7mrseACP_c,0.00666910768726992,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.0001352832644023232,0.0
1pyr5c_c,10.000000000000002,-0.0,0.00014467914502632072
acald_p,0.0010000000000000002,-0.00011794861133164023,0.0
2ippm_c,0.14697619974144335,-0.0,0.0
3psme_c,0.024527076962327015,-0.0,0.0
imacp_c,0.2841035522525851,-0.0,0.0
3c2hmp_c,0.011384503598528857,-0.0,0.0
pser__L_c,0.3610438094710038,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00012884797338850746,0.0
gmp_c,0.2666247560770292,-0.0,0.0
3dhsk_c,0.0853502898344083,-0.0,0.0
acACP_c,0.0010000000000000002,-0.0002685287623403294,0.0
h2o_c,9.9999999996889,-0.0,0.01107740744743184
alac__S_c,0.22646069253138662,-0.0,0.0
dcdp_c,0.21555583778483242,-0.0,0.0
gly_c,1.8234951580302918,-0.0,0.0
malcoa_c,5.729380997647997,-0.0,0.0
fru_p,0.0010000000000000002,-0.0001702244010668961,0.0
xyl__D_e,0.0010000000000000002,-0.0001331666246827609,0.0
phom_c,0.07828160696131262,-0.0,0.0
glc__D_e,10.000000000000002,-0.0,0.0003158088434707438
nh4_e,10.000000000000002,-0.0,0.0004451345373217389
f6p_c,1.0452840242814627,-0.0,0.0
pphn_c,0.5952551133525443,-0.0,0.0
prlp_c,0.005488858603078452,-0.0,0.0
s7p_c,0.032435972390601496,-0.0,0.0
prfp_c,0.007428764635914334,-0.0,0.0
tmrs2eACP_c,0.006635787904438041,-0.0,0.0
o2_e,0.0010000000000000002,-0.00011962150826970918,0.0
succ_e,0.0010000000000000002,-0.00020592287830428215,0.0
mql8_c,0.0067731951890699195,-0.0,0.0
glyc__R_c,0.0010000000000000002,-0.00018811807049634433,0.0
g6p_c,9.301141773094125,-0.0,0.0
trdrd_c,0.5737600237596734,-0.0,0.0
methf_c,0.006748523234043045,-0.0,0.0
ddcaACP_c,0.35829341550348587,-0.0,0.0
prpp_c,0.11311144631609127,-0.0,0.0
histd_c,0.05561109607092574,-0.0,0.0
for_p,0.005331240006235746,-0.0,0.0
orot_c,0.014339673583117706,-0.0,0.0
glc__D_p,0.02931244220258274,-0.0,0.0
q8_c,0.0010000000000000002,-0.09327839449902921,0.0
orn_c,0.03145779520033467,-0.0,0.0
dcaACP_c,0.4167307624068103,-0.0,0.0
3hcddec5eACP_c,0.1754190856019177,-0.0,0.0
tddec2eACP_c,0.006729778637776081,-0.0,0.0
fgam_c,9.976525530146791,-0.0,0.0
cit_c,5.620147104297279,-0.0,0.0
skm5p_c,0.2360631089025011,-0.0,0.0
oaa_c,0.0010809613436959897,-0.0,0.0
23dhmp_c,0.028556569881058615,-0.0,0.0
fprica_c,0.001000000000046522,-0.006277314917917415,0.0
glcn_e,0.0010000000000000002,-0.00013746126032488493,0.0
ac_p,0.008566480797442695,-0.0,0.0
his__L_c,0.0926725171773994,-0.0,0.0
so4_c,0.008839771490779058,-0.0,0.0
6pgl_c,0.0010000000000000002,-0.00021902839452838895,0.0
2dda7p_c,0.07230456459185687,-0.0,0.0
sl2a6o_c,0.004811886422924505,-0.0,0.0
gtp_c,0.14008581476238968,-0.0,0.0
so4_p,0.35860426913341087,-0.0,0.0
succ_c,2.2068552348323265,-0.0,0.0
aps_c,0.019908619700901107,-0.0,0.0
thdp_c,3.6150039496203648,-0.0,0.0
cdp_c,0.21974656725920297,-0.0,0.0
glyc__R_e,0.0010000000000000002,-0.00014814360329957335,0.0
nadph_c,0.0020749606751405765,-0.0,0.0
acglu_c,5.3991368034125955,-0.0,0.0
3hddecACP_c,0.3233246563472986,-0.0,0.0
2obut_c,0.12550326408394594,-0.0,0.0
cddec5eACP_c,0.3517285691003133,-0.0,0.0
glyc_c,0.0010000000000000002,-0.00023655117759991336,0.0
val__L_c,0.04496467682240385,-0.0,0.0
pro__L_c,0.030634064319177572,-0.0,0.0
cbasp_c,9.999999999973436,-0.0,0.09989529093967939
mqn8_c,10.000000000000002,-0.0,0.00014409505871764295
lac__D_p,0.0010000000000000002,-0.00014136468262460346,0.0
malACP_c,1.1600691661868188,-0.0,0.0
3hdecACP_c,1.600304611488003,-0.0,0.0
cdec3eACP_c,0.00884016260048696,-0.0,0.0
3hcmrs7eACP_c,0.3178970406948917,-0.0,0.0
glu__L_p,0.0010000000000000002,-0.0002667973181343295,0.0
3oddecACP_c,0.39443038013178733,-0.0,0.0
glyc__R_p,0.0010000000000000002,-0.0001566778899376263,0.0
3ooctdACP_c,0.0010000000000000002,-0.00015578725237968004,0.0
but2eACP_c,0.00727512349850518,-0.0,0.0
pyr_c,0.01256817044930244,-0.0,0.0
dump_c,0.12079152204536973,-0.0,0.0
acon_C_c,0.0029374161259727648,-0.0,0.0
grxox_c,0.0010000000000000002,-0.0001250695893666718,0.0
icit_c,0.004110996786621788,-0.0,0.0
lac__D_c,0.0010000000000000002,-0.00015392821911253178,0.0
nadh_c,0.0010000000000000002,-0.00015723344802488052,0.0
amp_c,0.004471954462366147,-0.0,0.0
3php_c,0.0010000000000011079,-0.24151734975794836,0.0
dtdp_c,0.07359252126718221,-0.0,0.0
dhf_c,0.20062424366967505,-0.0,0.0
for_c,0.001093142913087013,-0.0,0.0
pi_e,10.000000000000002,-0.0,0.00025655167696657355
3opalmACP_c,0.36644741604409165,-0.0,0.0
3hcvac11eACP_c,0.0010000000000000002,-0.0001411057616115304,0.0
coa_c,0.001000000000001186,-0.2255735943392842,0.0
asn__L_c,0.0844613743692937,-0.0,0.0
udp_c,0.09588860954518892,-0.0,0.0
leu__L_c,0.9938514385046668,-0.0,0.0
25aics_c,9.999999999528494,-0.0,0.0063024014971905466
3omrsACP_c,0.37865636423974075,-0.0,0.0
acald_c,0.0015299260471399471,-0.0,0.0
3hmrsACP_c,0.3165027330080723,-0.0,0.0
pram_c,0.43037581131241476,-0.0,0.0
3c4mop_c,0.0030321052803060555,-0.0,0.0
hcys__L_c,0.12277504574606184,-0.0,0.0
mal__L_e,0.0010000000000000002,-0.00019382882144510118,0.0
co2_c,0.0010000000000890828,-0.0028983191095704663,0.0
pi_p,2.200209797450764,-0.0,0.0
fum_e,0.0010000000000000002,-0.0001938612970377654,0.0
acald_e,0.0010000000000000002,-0.00011962150827129643,0.0
etoh_p,10.000000000000002,-0.0,0.0004728816739412136
gthox_c,0.0010000000000000002,-9.694757383094853e-05,0.0
gar_c,5.20090608244263,-0.0,0.0
3haACP_c,0.3776080351166502,-0.0,0.0
3ooctACP_c,0.3864876133696802,-0.0,0.0
3ocmrs7eACP_c,0.37693001285366495,-0.0,0.0
acg5p_c,0.004629798221681376,-0.0,0.0
4pasp_c,9.999999999946667,-0.0,0.04988679239352693
glu5p_c,0.0010000000000053373,-0.05066164357873517,0.0
h2o_e,0.0010000000000000002,-0.0,0.0
23dhdp_c,1.0329379233584408,-0.0,0.0
3mop_c,0.13551363391185417,-0.0,0.0
dgtp_c,0.025844701785920826,-0.0,0.0
rib__D_e,0.0010000000000000002,-0.00013941467507155972,0.0
dcamp_c,1.2519025818979,-0.0,0.0
myrsACP_c,0.35108007975111466,-0.0,0.0
ACP_c,0.020352362876905672,-0.0,0.0
palmACP_c,0.04986624159112414,-0.0,0.0
succoa_c,0.29692923379036745,-0.0,0.0
xyl__D_c,0.0010000000000000002,-0.00014179790702673758,0.0
for_e,0.0010000000000000002,-0.00022526064629131514,0.0
