,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.11539280618406776,-0.0,0.0
prbatp_c,0.11306970257102895,-0.0,0.0
10fthf_c,0.2362764320534973,-0.0,0.0
co2_e,0.0009999999999999994,-0.0011369494235670707,0.0
akg_e,0.0010000000000000002,-0.0005087515697764777,0.0
2pg_c,0.0045466134385302994,-0.0,0.0
13dpg_c,0.4183428145971038,-0.0,0.0
prbamp_c,9.999992728665912,-0.0,0.00274896951483872
fpram_c,0.0010000180423383352,-0.0009145966243277149,0.0
thr__L_c,0.260845217484387,-0.0,0.0
fum_p,0.0010000000000000002,-0.0007027150646599135,0.0
gln__L_e,0.0010000000000000002,-0.000472940672275951,0.0
3ohexACP_c,0.8072336238318227,-0.0,0.0
3ocddec5eACP_c,0.040138158557272825,-0.0,0.0
r5p_c,0.0010000000000009587,-0.03172233097175588,0.0
akg_c,0.0032687326443224403,-0.0,0.0
ac_c,0.6299839390382306,-0.0,0.0
citr__L_c,0.14749661079342755,-0.0,0.0
34hpp_c,0.15850158584926322,-0.0,0.0
pep_c,0.07854302094728127,-0.0,0.0
h_c,0.004596091983225273,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.0005097080713847197,0.0
gthrd_c,0.0010000000000000002,-0.00043565470327796164,0.0
actACP_c,0.4876707519165597,-0.0,0.0
actp_c,0.02401881887262699,-0.0,0.0
pyr_p,0.0010000000000000002,-0.000678653198961701,0.0
cyst__L_c,0.8030626926632566,-0.0,0.0
dutp_c,0.036534551612636613,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,9.999999999999904,-0.0,0.2288411684752958
2ahbut_c,0.4212380730111606,-0.0,0.0
ser__L_c,9.99999999997818,-0.0,0.012739067613454906
toct2eACP_c,0.7003166520471779,-0.0,0.0
ump_c,0.7029323259304582,-0.0,0.0
3pg_c,0.33226587943428953,-0.0,0.0
ctp_c,0.11086622424724275,-0.0,0.0
dadp_c,0.2446392493572238,-0.0,0.0
xu5p__D_c,0.019543560430368045,-0.0,0.0
aspsa_c,0.0010000000000006842,-0.07705005748726736,0.0
thex2eACP_c,0.40564867646534897,-0.0,0.0
t3c9palmeACP_c,0.007649517796901081,-0.0,0.0
accoa_c,0.05842139249589906,-0.0,0.0
arg__L_c,0.01123024508043934,-0.0,0.0
26dap_LL_c,0.01008803832078683,-0.0,0.0
asp__L_c,9.999999999996174,-0.0,0.09137551940825132
acg5sa_c,0.008269303672594425,-0.0,0.0
hexACP_c,2.8421630620999814,-0.0,0.0
skm_c,0.002881789597964083,-0.0,0.0
imp_c,0.1280697659412573,-0.0,0.0
o2_c,0.06544777234075422,-0.0,0.0
h_p,0.03204346858226082,-0.0,0.0
succ_p,0.0010000000000000002,-0.0009293254537568109,0.0
phpyr_c,0.18048317717625337,-0.0,0.0
fru_e,0.0010000000000000002,-0.0004736738557117804,0.0
pyr_e,0.0010000000000000002,-0.0005012295104007189,0.0
5mthf_c,0.001072024778808234,-0.0,0.0
nad_c,9.999999999999051,-0.0,0.14948739251782042
tdeACP_c,0.1355472027834855,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00040459973732967264,0.0
3hoctaACP_c,0.0010000000000000002,-0.00035360613340818566,0.0
adp_c,0.005924586983208374,-0.0,0.0
mal__L_c,0.001000000000000313,-0.07566579136058045,0.0
g3p_c,0.0013107268825303072,-0.0,0.0
etoh_c,0.0010000000000000002,-0.0004252991298076089,0.0
so3_c,0.10809178491870107,-0.0,0.0
met__L_c,0.017006844090663404,-0.0,0.0
aicar_c,0.0010000000000004523,-0.05604795130640759,0.0
5aizc_c,0.0010000000000000375,-0.4394551854712745,0.0
ac_e,0.0010000000000000002,-0.0004180816894809733,0.0
glx_c,0.0010000000000000002,-0.0009994984918500684,0.0
etoh_e,0.0010000000000000002,-0.0003012214261748118,0.0
glcn_p,0.0010000000000000002,-0.00034248190548075635,0.0
air_c,0.4641425381819825,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0006260824530735175,0.0
nh4_c,0.5643563306585972,-0.0,0.0
tdec2eACP_c,1.2646686807601297,-0.0,0.0
hdeACP_c,0.0060008597237102956,-0.0,0.0
pi_c,0.0010000000000009329,-0.01607675967429472,0.0
argsuc_c,0.6990900948217893,-0.0,0.0
nh4_p,0.0009999999999999994,-0.001136471076190107,0.0
chor_c,0.06127972909076681,-0.0,0.0
hom__L_c,0.0010000000000007418,-0.05420589270085089,0.0
dgdp_c,0.15903929606008207,-0.0,0.0
q8h2_c,5.300366016832969,-0.0,0.0
3odecACP_c,2.4175672703080413,-0.0,0.0
tyr__L_c,0.035977488219585706,-0.0,0.0
cys__L_c,0.08336085673218417,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.0005662728136104555,0.0
h2s_c,0.10173605411039541,-0.0,0.0
e4p_c,0.0010000000000003084,-0.09931389897259399,0.0
trp__L_c,0.08514783071532919,-0.0,0.0
acser_c,0.05683602410929618,-0.0,0.0
lys__L_c,0.011401202870616219,-0.0,0.0
dudp_c,0.18831021396349357,-0.0,0.0
atp_c,1.0678979300908717,-0.0,0.0
indole_c,0.006744264179007648,-0.0,0.0
eig3p_c,0.4267982188648825,-0.0,0.0
26dap__M_c,0.0010000000000017898,-0.011110845457833175,0.0
thf_c,0.01544774493849998,-0.0,0.0
orot5p_c,0.028086191185953388,-0.0,0.0
h_e,0.0010000000000000002,-0.0007890421005706924,0.0
gln__L_p,0.0010000000000000002,-0.0005995786296931022,0.0
glyc_p,0.0009999999999999994,-0.0011364709047184554,0.0
5caiz_c,10.000000000002409,-0.0,0.4395045807756931
mal__L_p,0.0010000000000000002,-0.000670476663325802,0.0
3hcpalm9eACP_c,0.001379945116333154,-0.0,0.0
3ocpalm9eACP_c,0.0563340423077784,-0.0,0.0
butACP_c,1.684537298404049,-0.0,0.0
dttp_c,0.031586527509139845,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.0003472626586375806,0.0
trdox_c,10.000000000000002,-0.0,0.0004172198103984675
3ig3p_c,1.469270543440242,-0.0,0.0
sl26da_c,0.46360596282479555,-0.0,0.0
3hoctACP_c,0.039615479636505406,-0.0,0.0
dctp_c,0.02347593585058251,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.0003433999529456306,0.0
grxrd_c,0.0010000000000000002,-0.00029042855285903223,0.0
ru5p__D_c,0.001000000000000216,-0.12552553427606636,0.0
23dhmb_c,0.0010000000000011291,-0.007544456834441255,0.0
pran_c,0.513623066825378,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00036856546309597005,0.0
paps_c,0.0629940433868287,-0.0,0.0
utp_c,0.018639229929225454,-0.0,0.0
dhor__S_c,0.0012497576255621667,-0.0,0.0
glyc_e,10.000000000000002,-0.0,0.0011364705972587343
4mop_c,0.020176224571514686,-0.0,0.0
fdp_c,0.11522771324139133,-0.0,0.0
dtmp_c,0.3581703378073599,-0.0,0.0
gdp_c,0.03400983372897334,-0.0,0.0
o2_p,0.0010000000000000002,-0.0011364709046670922,0.0
datp_c,0.024841613236254462,-0.0,0.0
ppi_c,0.0030042134435538915,-0.0,0.0
nadp_c,0.0010000000000000002,-0.00041677965987362936,0.0
glu__L_c,10.000000000000881,-0.0,0.13459706840260605
fum_c,0.20104977645726943,-0.0,0.0
akg_p,0.0010000000000000002,-0.0007023178431115454,0.0
acorn_c,0.0396007503348855,-0.0,0.0
glu5sa_c,0.0019010550390854673,-0.0,0.0
ile__L_c,0.02275865659642966,-0.0,0.0
ocACP_c,4.9666548027255955,-0.0,0.0
3dhq_c,0.938231646005446,-0.0,0.0
hisp_c,0.05606022189637251,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.0005474303044103552
glu__L_e,0.0010000000000000002,-0.0005013879492610055,0.0
cbp_c,0.2709943195469483,-0.0,0.0
3mob_c,0.3153463064794335,-0.0,0.0
suchms_c,0.02529764183256593,-0.0,0.0
tpalm2eACP_c,0.009744520391996666,-0.0,0.0
3hpalmACP_c,0.002041378083450418,-0.0,0.0
gln__L_c,9.999660808245546,-0.0,0.0016916531111382887
3c3hmp_c,3.372969473199668,-0.0,0.0
anth_c,0.3006467966800229,-0.0,0.0
pap_c,0.30883360712391905,-0.0,0.0
xmp_c,0.05225762316997641,-0.0,0.0
2cpr5p_c,0.022550749309912636,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.00039097994292102084,0.0
xyl__D_p,0.0010000000000000002,-0.00037544605345681567,0.0
octeACP_c,0.0010000000000000002,-0.0003286992726973441,0.0
3hhexACP_c,0.023173216539252823,-0.0,0.0
t3c5ddeceACP_c,0.019446220125988806,-0.0,0.0
co2_p,10.000000000000002,-0.0,0.0011369492386596627
ala__L_c,0.010444442157695839,-0.0,0.0
hco3_c,0.0019678787424251497,-0.0,0.0
phe__L_c,0.03914707024861225,-0.0,0.0
mlthf_c,9.177314732591292,-0.0,0.0
t3c7mrseACP_c,0.02314338336668093,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.0003434561745122052,0.0
1pyr5c_c,9.999999999991022,-0.0,0.009315706558115103
acald_p,0.0010000000000000002,-0.0003008043729328035,0.0
2ippm_c,9.999999999983118,-0.0,0.012786690949233386
3psme_c,0.05631175078081325,-0.0,0.0
imacp_c,0.7134342303216935,-0.0,0.0
3c2hmp_c,0.0010000000000023334,-0.012736502624860726,0.0
pser__L_c,1.1221281322830903,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00032866012572160136,0.0
gmp_c,0.38592367914008324,-0.0,0.0
3dhsk_c,2.61912548543436,-0.0,0.0
acACP_c,0.0010000000000000002,-0.0006667795207328887,0.0
h2o_c,0.01891462425689749,-0.0,0.0
alac__S_c,0.03115103907098789,-0.0,0.0
dcdp_c,0.23533420099528798,-0.0,0.0
gly_c,0.5528564262760188,-0.0,0.0
malcoa_c,9.758685795618558,-0.0,0.0
fru_p,0.0010000000000000002,-0.0006042908413867543,0.0
xyl__D_e,0.0010000000000000002,-0.00035415906348204817,0.0
phom_c,0.09977398477724057,-0.0,0.0
glc__D_e,0.0010000000000000002,-0.0003693100311773938,0.0
nh4_e,10.000000000000002,-0.0,0.0011364707679163023
f6p_c,10.000000000000508,-0.0,0.14120972508924645
pphn_c,0.17802681896864622,-0.0,0.0
prlp_c,0.001456177759545193,-0.0,0.0
s7p_c,0.3566885645869485,-0.0,0.0
prfp_c,0.0010000006674685063,-0.0028282989981468437,0.0
tmrs2eACP_c,0.07265253607374973,-0.0,0.0
o2_e,10.00000000000001,-0.0,0.0011364705972103193
succ_e,0.0010000000000000002,-0.0005726650203981694,0.0
mql8_c,0.0010000000000000002,-0.00029671477138384363,0.0
glyc__R_c,0.0010000000000000002,-0.0005710268014206208,0.0
g6p_c,0.0010000000000000002,-0.0006205499471577306,0.0
trdrd_c,0.005929943132678342,-0.0,0.0
methf_c,0.1138770017078008,-0.0,0.0
ddcaACP_c,0.9149561162839198,-0.0,0.0
prpp_c,0.1530153957710807,-0.0,0.0
histd_c,0.03914402619329442,-0.0,0.0
for_p,0.26504462488260805,-0.0,0.0
orot_c,0.5895328049154998,-0.0,0.0
glc__D_p,0.0010000000000000002,-0.0003996760053692912,0.0
q8_c,10.000000000000002,-0.0,0.0004143737697704147
orn_c,0.001132600848286364,-0.0,0.0
dcaACP_c,3.218882374726226,-0.0,0.0
3hcddec5eACP_c,0.0011808609823221621,-0.0,0.0
tddec2eACP_c,0.21045258705328473,-0.0,0.0
fgam_c,9.999864933708325,-0.0,0.0010769505832799087
cit_c,8.116816744857893,-0.0,0.0
skm5p_c,0.12315778141477252,-0.0,0.0
oaa_c,0.017072895015729853,-0.0,0.0
23dhmp_c,0.0036843752852175654,-0.0,0.0
fprica_c,0.0010000000000011334,-0.02513371392168888,0.0
glcn_e,0.0010000000000000002,-0.00033201258421924684,0.0
ac_p,0.0010000000000000002,-0.0004839460206843684,0.0
his__L_c,0.11430437111446475,-0.0,0.0
so4_c,0.008060332192353232,-0.0,0.0
6pgl_c,0.0010000000000000002,-0.0005256835693852455,0.0
2dda7p_c,0.07066278853208079,-0.0,0.0
sl2a6o_c,0.006716054125498363,-0.0,0.0
gtp_c,0.13101981684981287,-0.0,0.0
so4_p,0.16876108776167198,-0.0,0.0
succ_c,0.001000000000001908,-0.010007827082007115,0.0
aps_c,0.006085991067456499,-0.0,0.0
thdp_c,2.4023132610240387,-0.0,0.0
cdp_c,0.20260901525774547,-0.0,0.0
glyc__R_e,0.0010000000000000002,-0.0003825974325291941,0.0
nadph_c,0.001653548937231704,-0.0,0.0
acglu_c,8.98821146980217,-0.0,0.0
3hddecACP_c,0.019371438835777393,-0.0,0.0
2obut_c,1.5441143567623965,-0.0,0.0
cddec5eACP_c,0.12717487876528583,-0.0,0.0
glyc_c,0.2015152019498941,-0.0,0.0
val__L_c,0.03446747978274994,-0.0,0.0
pro__L_c,0.0010000000000000002,-0.009315706566159402,0.0
cbasp_c,7.950737949308889,-0.0,0.0
mqn8_c,0.0010000000000000002,-0.0003045867047601445,0.0
lac__D_p,0.0010000000000000002,-0.0003661872902737506,0.0
malACP_c,9.175340011854807,-0.0,0.0
3hdecACP_c,0.07084675170082588,-0.0,0.0
cdec3eACP_c,0.08332123034505225,-0.0,0.0
3hcmrs7eACP_c,0.001552930639895089,-0.0,0.0
glu__L_p,0.0010000000000000002,-0.0006794027640156916,0.0
3oddecACP_c,0.9968628689895505,-0.0,0.0
glyc__R_p,0.0010000000000000002,-0.00042219167505670735,0.0
