,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000039758,-0.09061976285672349,0.0
prbatp_c,0.10258884870261746,-0.0,0.0
10fthf_c,0.1335932430144493,-0.0,0.0
co2_e,0.0010000000000000002,-0.0012958286062740678,0.0
akg_e,0.0010000000000000002,-0.0004795454647786047,0.0
2pg_c,0.40503675820919743,-0.0,0.0
13dpg_c,0.03903991582705737,-0.0,0.0
prbamp_c,6.179663440676995,-0.0,0.0
fpram_c,0.0010034970959458176,-0.0,0.0
thr__L_c,0.21148257067997608,-0.0,0.0
fum_p,0.0010000000000000002,-0.0006601926804385818,0.0
gln__L_e,0.0010000000000000002,-0.00042709609564963466,0.0
3ohexACP_c,0.4826459444697994,-0.0,0.0
3ocddec5eACP_c,0.042636032049107445,-0.0,0.0
r5p_c,0.0010000000000079806,-0.04592347728786558,0.0
akg_c,0.001004184336166033,-0.0,0.0
ac_c,0.9888740546156267,-0.0,0.0
citr__L_c,0.1634929798283986,-0.0,0.0
34hpp_c,0.0709010677845671,-0.0,0.0
pep_c,9.999999999985658,-0.0,0.25023772948501877
h_c,0.04526557482329206,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.0005763842114084198,0.0
gthrd_c,0.0010000000000000002,-0.0005360849924840956,0.0
actACP_c,0.5063286427778181,-0.0,0.0
actp_c,0.18131708676370478,-0.0,0.0
pyr_p,0.0010000000000000002,-0.0006499275861653241,0.0
cyst__L_c,0.62094264989048,-0.0,0.0
dutp_c,0.04956368078299259,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.005586091856591022,-0.0,0.0
2ahbut_c,0.30742434442867034,-0.0,0.0
ser__L_c,9.999999999845343,-0.0,0.02382860879527181
toct2eACP_c,0.006637432648991566,-0.0,0.0
ump_c,0.1316432018399938,-0.0,0.0
3pg_c,0.2580795818504936,-0.0,0.0
ctp_c,0.11618474460184529,-0.0,0.0
dadp_c,0.12791750838401977,-0.0,0.0
xu5p__D_c,0.01908400349886162,-0.0,0.0
aspsa_c,0.001000000000015468,-0.023105552224395535,0.0
thex2eACP_c,0.0062594943937784985,-0.0,0.0
t3c9palmeACP_c,0.00548648819525172,-0.0,0.0
accoa_c,0.10184033659845473,-0.0,0.0
arg__L_c,0.02119016975561648,-0.0,0.0
26dap_LL_c,0.2334438182477827,-0.0,0.0
asp__L_c,2.0641571659697266,-0.0,0.0
acg5sa_c,0.06587826191746969,-0.0,0.0
hexACP_c,0.5480988941068925,-0.0,0.0
skm_c,0.005044687062347396,-0.0,0.0
imp_c,0.015247966796553691,-0.0,0.0
o2_c,0.12183596643663039,-0.0,0.0
h_p,0.966644852073112,-0.0,0.0
succ_p,0.0010000000000000002,-0.0010199792749732677,0.0
phpyr_c,0.13671290679877487,-0.0,0.0
fru_e,0.0010000000000000002,-0.0005073337713838372,0.0
pyr_e,0.0010000000000000002,-0.0005239645953069442,0.0
5mthf_c,0.061447107615094455,-0.0,0.0
nad_c,0.061585251973391285,-0.0,0.0
tdeACP_c,0.5248479895202993,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.0004814226750919683,0.0
3hoctaACP_c,0.0010000000000000002,-0.00039078894691595156,0.0
adp_c,0.001996113609287159,-0.0,0.0
mal__L_c,0.07096502925356926,-0.0,0.0
g3p_c,0.001009924583534761,-0.0,0.0
etoh_c,0.0010000000000000002,-0.0004960163838423167,0.0
so3_c,0.09938937779518084,-0.0,0.0
met__L_c,0.015238664687231321,-0.0,0.0
aicar_c,0.001408381439786841,-0.0,0.0
5aizc_c,0.0010000000000016337,-0.21943076137189668,0.0
ac_e,0.0010000000000000002,-0.00044775906845349585,0.0
glx_c,0.0019010755931133504,-0.0,0.0
etoh_e,0.0010000000000000002,-0.00034235283276289887,0.0
glcn_p,0.0010000000000000002,-0.0003689554635030084,0.0
air_c,0.820987839955054,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0007546458413716957,0.0
nh4_c,3.642318598452238,-0.0,0.0
tdec2eACP_c,0.19171515549145482,-0.0,0.0
hdeACP_c,0.03770352667918826,-0.0,0.0
pi_c,0.001300616963070296,-0.0,0.0
argsuc_c,0.2700682576321484,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0012699429183428855,0.0
chor_c,0.05221379866578371,-0.0,0.0
hom__L_c,0.00426590246811329,-0.0,0.0
dgdp_c,0.09357188555267301,-0.0,0.0
q8h2_c,10.000000000000002,-0.0,0.0004696744562991948
3odecACP_c,2.359312195970339,-0.0,0.0
tyr__L_c,0.04028228838348353,-0.0,0.0
cys__L_c,0.08029647451658461,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.0005682820934143786,0.0
h2s_c,0.12545526897111273,-0.0,0.0
e4p_c,0.001000000000006284,-0.05753403585794987,0.0
trp__L_c,0.07763430355311111,-0.0,0.0
acser_c,0.06797907578456622,-0.0,0.0
lys__L_c,0.036679369313386924,-0.0,0.0
dudp_c,0.13086413016604226,-0.0,0.0
atp_c,5.8244140699107945,-0.0,0.0
indole_c,0.01083135495047218,-0.0,0.0
eig3p_c,0.47398362125890126,-0.0,0.0
26dap__M_c,0.005166369850206792,-0.0,0.0
thf_c,0.38981740180325103,-0.0,0.0
orot5p_c,0.0456861543537622,-0.0,0.0
h_e,10.000000000000002,-0.0,0.322696263378924
gln__L_p,0.0010000000000000002,-0.00043385072182438824,0.0
glyc_p,0.0010000000000000002,-0.00034102618846833883,0.0
5caiz_c,9.999999999983686,-0.0,0.21947067176308357
mal__L_p,0.0010000000000000002,-0.0006401289276256663,0.0
3hcpalm9eACP_c,0.16490503825755295,-0.0,0.0
3ocpalm9eACP_c,0.4569066906938927,-0.0,0.0
butACP_c,0.541909970165227,-0.0,0.0
dttp_c,0.04730316805544515,-0.0,0.0
lac__D_e,10.000000000000002,-0.0,0.0006878505769512521
trdox_c,10.000000000000002,-0.0,0.0004642481316024091
3ig3p_c,0.9134902983520103,-0.0,0.0
sl26da_c,0.7915729191032321,-0.0,0.0
3hoctACP_c,0.1870253762457974,-0.0,0.0
dctp_c,0.032765007334509724,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.00038965598208065447,0.0
grxrd_c,0.0010000000000000002,-0.00033076099685768525,0.0
ru5p__D_c,0.001000000000007238,-0.046317321318229084,0.0
23dhmb_c,0.022114172812988036,-0.0,0.0
pran_c,0.48921111457015776,-0.0,0.0
glcn_c,0.0010000000000000002,-0.0003960778002699566,0.0
paps_c,0.06123596168919698,-0.0,0.0
utp_c,0.04208250206597938,-0.0,0.0
dhor__S_c,0.0010000000000016575,-0.21602518078140545,0.0
glyc_e,0.0010000000000000002,-0.00034235283276262815,0.0
4mop_c,0.012323059122074596,-0.0,0.0
fdp_c,0.001491611736403256,-0.0,0.0
dtmp_c,0.19590375340521676,-0.0,0.0
gdp_c,0.06373301639603704,-0.0,0.0
o2_p,0.0010000000000000002,-0.0012699418574906578,0.0
datp_c,0.03555446130119989,-0.0,0.0
ppi_c,0.005055559009812979,-0.0,0.0
nadp_c,2.0072937808839337,-0.0,0.0
glu__L_c,8.174410719540454,-0.0,0.0
fum_c,0.11866663042824516,-0.0,0.0
akg_p,0.0010000000000000002,-0.0005526872145084014,0.0
acorn_c,0.060849518873948925,-0.0,0.0
glu5sa_c,0.015249654732599122,-0.0,0.0
ile__L_c,0.027923638827314603,-0.0,0.0
ocACP_c,1.2132781869885607,-0.0,0.0
3dhq_c,1.7521625010719863,-0.0,0.0
hisp_c,0.05754237743477411,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.0006238120583156436
glu__L_e,0.0010000000000000002,-0.0004669489604140173,0.0
cbp_c,0.32832078764348915,-0.0,0.0
3mob_c,0.21399200939809987,-0.0,0.0
suchms_c,0.06437097104022146,-0.0,0.0
tpalm2eACP_c,0.00545639868877619,-0.0,0.0
3hpalmACP_c,0.1638124328432409,-0.0,0.0
gln__L_c,9.867085513006002,-0.0,0.0
3c3hmp_c,6.24615506361685,-0.0,0.0
anth_c,0.35233785089627356,-0.0,0.0
pap_c,0.192576382438135,-0.0,0.0
xmp_c,0.029060189578329974,-0.0,0.0
2cpr5p_c,0.027071433010652568,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.0004238675995331562,0.0
xyl__D_p,0.0010000000000000002,-0.00038901930132628705,0.0
octeACP_c,0.0010000000000000002,-0.00035726893700448257,0.0
3hhexACP_c,0.18011100268428182,-0.0,0.0
t3c5ddeceACP_c,0.0027560065299833333,-0.0,0.0
co2_p,10.00000000000001,-0.0,0.0012958247399120287
ala__L_c,0.029380205072424424,-0.0,0.0
hco3_c,0.005964957318515581,-0.0,0.0
phe__L_c,0.046020691241751115,-0.0,0.0
mlthf_c,0.768606004139114,-0.0,0.0
