,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000018538,-0.09033567705905682,0.0
prbatp_c,0.11063856575838393,-0.0,0.0
10fthf_c,0.13068490468860855,-0.0,0.0
co2_e,0.0010000000000000002,-0.0013314604216257129,0.0
akg_e,0.0010000000000000002,-0.0004853095008237229,0.0
2pg_c,0.4050355256282545,-0.0,0.0
13dpg_c,0.036995789223259024,-0.0,0.0
prbamp_c,5.945201689343615,-0.0,0.0
fpram_c,0.0011079483742662238,-0.0,0.0
thr__L_c,0.2127676724577101,-0.0,0.0
fum_p,0.0010000000000000002,-0.0006461642654030246,0.0
gln__L_e,0.0010000000000000002,-0.00043265122497530037,0.0
3ohexACP_c,0.523727751996328,-0.0,0.0
3ocddec5eACP_c,0.03983967632865052,-0.0,0.0
r5p_c,0.001000000000003727,-0.04595146758072097,0.0
akg_c,0.0010215687799815256,-0.0,0.0
ac_c,0.9714180063425584,-0.0,0.0
citr__L_c,0.15968528214909028,-0.0,0.0
34hpp_c,0.07057982410158954,-0.0,0.0
pep_c,9.999999999993314,-0.0,0.2499940037668662
h_c,0.045265564455774024,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.0005915433244239438,0.0
gthrd_c,0.0010000000000000002,-0.0005392138278509968,0.0
actACP_c,0.5728349341354608,-0.0,0.0
actp_c,0.17551170980409772,-0.0,0.0
pyr_p,0.05233574561580492,-0.0,0.0
cyst__L_c,0.8281832940363901,-0.0,0.0
dutp_c,0.04908509165290296,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.005086979642529932,-0.0,0.0
2ahbut_c,0.34284856973808664,-0.0,0.0
ser__L_c,9.999999999927855,-0.0,0.023851241668648476
toct2eACP_c,0.006771641401387091,-0.0,0.0
ump_c,0.149311539168317,-0.0,0.0
3pg_c,0.2580787808293805,-0.0,0.0
ctp_c,0.09309604992160905,-0.0,0.0
dadp_c,0.12358209352879283,-0.0,0.0
xu5p__D_c,0.019083974379226938,-0.0,0.0
aspsa_c,0.0010000000000072167,-0.023087267851896617,0.0
thex2eACP_c,0.006316921130999616,-0.0,0.0
t3c9palmeACP_c,0.0055164844429918215,-0.0,0.0
accoa_c,0.09908557497370662,-0.0,0.0
arg__L_c,0.02172574160402588,-0.0,0.0
26dap_LL_c,0.2615263587315438,-0.0,0.0
asp__L_c,2.15582629481839,-0.0,0.0
acg5sa_c,0.06161730388199565,-0.0,0.0
hexACP_c,0.6124216148432694,-0.0,0.0
skm_c,0.005206431818374744,-0.0,0.0
imp_c,0.015147602214884552,-0.0,0.0
