,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07051378341918962,-0.0,0.0
prbatp_c,0.0879699872845982,-0.0,0.0
10fthf_c,0.002292651235069813,-0.0,0.0
co2_e,0.0010000000000000002,-0.0006543889975551688,0.0
akg_e,0.0010000000000000002,-0.000279783185413148,0.0
2pg_c,0.02535396569934695,-0.0,0.0
13dpg_c,9.99999999998088,-0.0,0.0052174126352616465
prbamp_c,9.999967850215441,-0.0,0.0015165301798305121
fpram_c,0.0010000320450889223,-0.00021044014116199648,0.0
thr__L_c,0.10900172590483669,-0.0,0.0
fum_p,0.0010000000000000002,-0.0003627664671546822,0.0
gln__L_e,0.0010000000000000002,-0.00027773870228411045,0.0
3ohexACP_c,0.05862391589956549,-0.0,0.0
3ocddec5eACP_c,0.016916773568388048,-0.0,0.0
r5p_c,8.048478772507016,-0.0,0.0
akg_c,0.0010000000000003546,-0.03330624951854951,0.0
ac_c,3.7770775818063616,-0.0,0.0
citr__L_c,0.14722824034013532,-0.0,0.0
34hpp_c,0.13039766569633773,-0.0,0.0
pep_c,0.1155520359046987,-0.0,0.0
h_c,0.009364653436417448,-0.0,0.0
rib__D_c,0.06228468744399422,-0.0,0.0
gthrd_c,0.0010000000000000002,-0.00024744308710139914,0.0
actACP_c,0.03417619488232623,-0.0,0.0
actp_c,0.20881531986493373,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00036245532973268004,0.0
cyst__L_c,0.3383395712084439,-0.0,0.0
dutp_c,0.0382249573641452,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.022084350228650365,-0.0,0.0
2ahbut_c,0.10894369000619296,-0.0,0.0
ser__L_c,9.999999999997453,-0.0,0.0438448816801953
toct2eACP_c,0.17724060986431495,-0.0,0.0
ump_c,0.5284880690859198,-0.0,0.0
3pg_c,2.5013062029763065,-0.0,0.0
ctp_c,0.07074793387983623,-0.0,0.0
dadp_c,0.2919134913183165,-0.0,0.0
xu5p__D_c,0.00438058397309097,-0.0,0.0
aspsa_c,0.0010000000000001236,-0.09026920214785225,0.0
thex2eACP_c,0.10852930571530017,-0.0,0.0
t3c9palmeACP_c,0.025624733720073966,-0.0,0.0
accoa_c,0.003953672078882897,-0.0,0.0
arg__L_c,0.014140667549990415,-0.0,0.0
26dap_LL_c,0.0227400999513743,-0.0,0.0
asp__L_c,9.999999999997613,-0.0,0.04483003323275667
acg5sa_c,0.020866244327854912,-0.0,0.0
hexACP_c,0.2023038561188369,-0.0,0.0
skm_c,0.011910293884103588,-0.0,0.0
imp_c,0.04804092198226186,-0.0,0.0
o2_c,0.2348445558485454,-0.0,0.0
h_p,0.4609815190488442,-0.0,0.0
succ_p,0.0010000000000000002,-0.0004021927508780285,0.0
phpyr_c,0.1645657080068802,-0.0,0.0
fru_e,0.0010000000000000002,-0.00023275743784762138,0.0
pyr_e,0.0010000000000000002,-0.0002805933095745147,0.0
5mthf_c,0.0024437651192657393,-0.0,0.0
nad_c,10.000000000000002,-0.0,0.1794498818368201
tdeACP_c,0.11609566544001866,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00023419200968757147,0.0
3hoctaACP_c,0.0010000000000000002,-0.00018721732492859796,0.0
adp_c,0.006595019720213064,-0.0,0.0
mal__L_c,0.001000000000000257,-0.04058454882340771,0.0
g3p_c,0.0010000000000000243,-0.469437371071051,0.0
etoh_c,0.0010000000000000002,-0.0002241315044925137,0.0
so3_c,0.11646882638443931,-0.0,0.0
met__L_c,0.022904324475292195,-0.0,0.0
aicar_c,0.0011289664264715945,-0.0,0.0
5aizc_c,0.0010000000000000232,-0.48267569446996733,0.0
ac_e,0.0010000000000000002,-0.00023995359223830223,0.0
glx_c,0.0010000000000000002,-0.0007514296254398576,0.0
etoh_e,0.0010000000000000002,-0.00017070685132986523,0.0
glcn_p,0.0010000000000000002,-0.00019898564741321589,0.0
air_c,0.26458932531872775,-0.0,0.0
6pgc_c,1.311991152183716,-0.0,0.0
nh4_c,0.020015058204379994,-0.0,0.0
tdec2eACP_c,1.1484114516831019,-0.0,0.0
hdeACP_c,0.010469948827404138,-0.0,0.0
pi_c,0.0845006952115759,-0.0,0.0
argsuc_c,0.39232885763288944,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0006494464427484473,0.0
chor_c,0.05038378351993155,-0.0,0.0
hom__L_c,0.012055044250290132,-0.0,0.0
dgdp_c,0.20241928281724272,-0.0,0.0
q8h2_c,0.007288494487284687,-0.0,0.0
3odecACP_c,0.20764186267941034,-0.0,0.0
tyr__L_c,0.03905025541161496,-0.0,0.0
cys__L_c,0.07850188640949084,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.00025254032867233077,0.0
h2s_c,0.09538064376654447,-0.0,0.0
e4p_c,0.0027275844697677593,-0.0,0.0
trp__L_c,0.10124170458253919,-0.0,0.0
acser_c,0.038776094649876296,-0.0,0.0
lys__L_c,0.018231469602804824,-0.0,0.0
dudp_c,0.23012246000516792,-0.0,0.0
atp_c,2.7967751021297196,-0.0,0.0
indole_c,0.008192327989906373,-0.0,0.0
eig3p_c,0.6504442519574125,-0.0,0.0
26dap__M_c,0.001215362062909386,-0.0,0.0
thf_c,0.004719446491126331,-0.0,0.0
orot5p_c,0.03159661074626261,-0.0,0.0
h_e,0.0010000000000000002,-0.00048720917237712977,0.0
gln__L_p,0.0010000000000000002,-0.00034992333472331566,0.0
glyc_p,0.0010000000000000002,-0.00016353685634695931,0.0
5caiz_c,9.99999999999978,-0.0,0.48266893387932047
mal__L_p,0.0010000000000000002,-0.00033820717849023066,0.0
3hcpalm9eACP_c,0.04117227133793361,-0.0,0.0
3ocpalm9eACP_c,0.03706221703236721,-0.0,0.0
butACP_c,0.15102155941631634,-0.0,0.0
dttp_c,0.031855307803842686,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00018724880690491297,0.0
trdox_c,0.024386245637718053,-0.0,0.0
3ig3p_c,1.0751885418676135,-0.0,0.0
sl26da_c,0.7388141783485922,-0.0,0.0
3hoctACP_c,0.13664378493051962,-0.0,0.0
dctp_c,0.02368795983950141,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.00019809982765958933,0.0
grxrd_c,0.0010000000000000002,-0.0001635514288669735,0.0
ru5p__D_c,0.027977986478600482,-0.0,0.0
23dhmb_c,0.009935020148654923,-0.0,0.0
pran_c,0.4828918866932248,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00023136258624432136,0.0
paps_c,0.052070607095865445,-0.0,0.0
utp_c,0.027259277649503543,-0.0,0.0
dhor__S_c,0.0010179081381005812,-0.0,0.0
glyc_e,0.0010000000000000002,-0.00017070685133116958,0.0
4mop_c,10.000000000000002,-0.0,0.00022521317436285777
fdp_c,9.999999999999602,-0.0,0.2805016920522183
dtmp_c,0.3268230873235132,-0.0,0.0
gdp_c,0.020068769980824824,-0.0,0.0
o2_p,0.0009999999999999994,-0.0006494474633248641,0.0
datp_c,0.025537126675241106,-0.0,0.0
ppi_c,0.003056127281421501,-0.0,0.0
nadp_c,0.03769236301286856,-0.0,0.0
glu__L_c,9.99999999999891,-0.0,0.105548690656228
fum_c,0.09079403028583481,-0.0,0.0
akg_p,0.0010000000000000002,-0.000360423841880785,0.0
acorn_c,0.19002875166919192,-0.0,0.0
glu5sa_c,0.0033212829132167276,-0.0,0.0
ile__L_c,0.02622591424425376,-0.0,0.0
ocACP_c,0.4065167283922099,-0.0,0.0
3dhq_c,0.6640682060279932,-0.0,0.0
hisp_c,0.10170519378489083,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.000295769561464543
glu__L_e,0.0010000000000000002,-0.0002806332250847403,0.0
cbp_c,0.357668783328522,-0.0,0.0
3mob_c,0.42124765822927407,-0.0,0.0
suchms_c,0.03767676456707349,-0.0,0.0
tpalm2eACP_c,0.02581576505639508,-0.0,0.0
3hpalmACP_c,0.04224345124703585,-0.0,0.0
gln__L_c,9.999646263626472,-0.0,0.00014424511092287412
3c3hmp_c,5.269222997066015,-0.0,0.0
anth_c,0.3282698143063325,-0.0,0.0
pap_c,0.692738929932795,-0.0,0.0
xmp_c,0.05367933386915678,-0.0,0.0
2cpr5p_c,0.024432211558981044,-0.0,0.0
rib__D_p,0.014990393802453164,-0.0,0.0
xyl__D_p,0.0010000000000000002,-0.0001846474049979205,0.0
octeACP_c,0.0010000000000000002,-0.00018037579106106922,0.0
3hhexACP_c,0.09395583579394497,-0.0,0.0
t3c5ddeceACP_c,0.053157879748048864,-0.0,0.0
co2_p,10.00000000000001,-0.0,0.0006543892180134281
ala__L_c,0.014784012356527416,-0.0,0.0
hco3_c,0.001000000000001266,-0.008081284530323788,0.0
phe__L_c,0.04397246598377534,-0.0,0.0
mlthf_c,9.999999999992603,-0.0,0.014969371769415636
t3c7mrseACP_c,0.07269787319462823,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.00019810888969977252,0.0
1pyr5c_c,10.000000000000002,-0.0,0.0002176308733418463
acald_p,0.0010000000000000002,-0.00016353685634891988,0.0
2ippm_c,7.852498171081043,-0.0,0.0
3psme_c,0.035653524718483286,-0.0,0.0
imacp_c,0.5540734078329181,-0.0,0.0
3c2hmp_c,0.0011676765955622721,-0.0,0.0
pser__L_c,6.91792166493466,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00018037399990031663,0.0
gmp_c,0.2964433969399117,-0.0,0.0
3dhsk_c,0.242045826860408,-0.0,0.0
acACP_c,0.0010000000000000002,-0.00038944440139882766,0.0
h2o_c,0.05420974638204798,-0.0,0.0
alac__S_c,0.023094025716683363,-0.0,0.0
dcdp_c,0.2578073055835121,-0.0,0.0
gly_c,0.029172083855694128,-0.0,0.0
malcoa_c,8.021251087154814,-0.0,0.0
fru_p,0.0010000000000000002,-0.00025032096614424593,0.0
xyl__D_e,0.0010000000000000002,-0.00018500016625990124,0.0
phom_c,0.14915176788752899,-0.0,0.0
glc__D_e,0.0010000000000000002,-0.00021930130032715839,0.0
nh4_e,10.000000000000002,-0.0,0.000649450982055669
f6p_c,0.02509749308607713,-0.0,0.0
pphn_c,0.2917048445267234,-0.0,0.0
prlp_c,0.0014815098732530753,-0.0,0.0
s7p_c,1.1562722344051797,-0.0,0.0
prfp_c,0.0010000012477358192,-0.001516118710109569,0.0
tmrs2eACP_c,0.08467117618563924,-0.0,0.0
o2_e,10.000000000000002,-0.0,0.0006494519888395386
succ_e,0.0010000000000000002,-0.0002947257733862068,0.0
mql8_c,0.0010000000000000002,-0.0001567615302146897,0.0
glyc__R_c,0.0010000000000000002,-0.00031977376924170585,0.0
g6p_c,0.002476282412782391,-0.0,0.0
trdrd_c,0.0010000000000000002,-0.0002209819408743215,0.0
methf_c,0.0010000000000007418,-0.014989451522051769,0.0
ddcaACP_c,0.18900872426938387,-0.0,0.0
prpp_c,0.5891600674578978,-0.0,0.0
histd_c,0.022288181516096378,-0.0,0.0
for_p,0.28149728201513813,-0.0,0.0
orot_c,0.5556252237552464,-0.0,0.0
glc__D_p,0.0010000000000000002,-0.00023372445505538754,0.0
q8_c,0.0010000000000000002,-0.00024498876183331986,0.0
orn_c,0.0019208117728369372,-0.0,0.0
dcaACP_c,0.5339762072346845,-0.0,0.0
3hcddec5eACP_c,0.03820449911755475,-0.0,0.0
tddec2eACP_c,0.12508275955503811,-0.0,0.0
fgam_c,5.878617709244109,-0.0,0.0
cit_c,9.999999999996476,-0.0,0.031897079379036644
skm5p_c,0.19716462059801734,-0.0,0.0
oaa_c,0.006391348542533593,-0.0,0.0
23dhmp_c,0.016493644969093564,-0.0,0.0
fprica_c,0.0010000000000001282,-0.08722210412712508,0.0
glcn_e,0.0010000000000000002,-0.00019573942056793416,0.0
ac_p,0.0010000000000000002,-0.000266290099870204,0.0
his__L_c,0.11258631132956826,-0.0,0.0
so4_c,0.02899491311993927,-0.0,0.0
6pgl_c,0.0015285395582607694,-0.0,0.0
2dda7p_c,0.061622022158431974,-0.0,0.0
sl2a6o_c,0.0042430284511756145,-0.0,0.0
gtp_c,0.2525866418162464,-0.0,0.0
so4_p,0.12388190076028016,-0.0,0.0
succ_c,0.0011849410400922569,-0.0,0.0
aps_c,0.004509140041388518,-0.0,0.0
thdp_c,8.375784494545677,-0.0,0.0
cdp_c,0.181799742706404,-0.0,0.0
glyc__R_e,0.0010000000000000002,-0.00020939585963732684,0.0
nadph_c,10.000000000000002,-0.0,0.00023028314830875714
acglu_c,6.621897250530127,-0.0,0.0
3hddecACP_c,0.13729002940626078,-0.0,0.0
2obut_c,0.4256462989357933,-0.0,0.0
cddec5eACP_c,0.10971432357956587,-0.0,0.0
glyc_c,0.0010000000000000002,-0.0003273742489200116,0.0
val__L_c,0.03925781250262853,-0.0,0.0
pro__L_c,0.017218478308647547,-0.0,0.0
cbasp_c,9.8165325389339,-0.0,0.0
mqn8_c,0.0010000000000000002,-0.00017859423829502324,0.0
lac__D_p,0.0010000000000000002,-0.00019472451563695042,0.0
malACP_c,4.221084232043096,-0.0,0.0
3hdecACP_c,0.54272993971804,-0.0,0.0
cdec3eACP_c,0.02732757767041486,-0.0,0.0
3hcmrs7eACP_c,0.06799208181559926,-0.0,0.0
glu__L_p,0.0010000000000000002,-0.00036012886031530877,0.0
