,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07466406239056328,-0.0,0.0
prbatp_c,0.11132720431486294,-0.0,0.0
10fthf_c,0.8563643374004638,-0.0,0.0
co2_e,10.000000000000002,-0.0,0.00045230413183793564
akg_e,0.0010000000000000002,-0.00020562371219359963,0.0
2pg_c,0.02760213268288718,-0.0,0.0
13dpg_c,0.08033811668786585,-0.0,0.0
prbamp_c,2.036451774525495,-0.0,0.0
fpram_c,0.0010011760850253085,-0.0,0.0
thr__L_c,0.22491628425857177,-0.0,0.0
fum_p,0.0010000000000000002,-0.00023498059373864373,0.0
gln__L_e,0.0010000000000000002,-0.0002042172571927809,0.0
3ohexACP_c,0.4646181830268304,-0.0,0.0
3ocddec5eACP_c,0.10787291348749867,-0.0,0.0
r5p_c,5.071734674900746,-0.0,0.0
akg_c,0.0010000000000501947,-0.002101826211858436,0.0
ac_c,0.5117431421694891,-0.0,0.0
citr__L_c,0.10751551889357139,-0.0,0.0
34hpp_c,0.02971522571255514,-0.0,0.0
pep_c,0.003559702289416623,-0.0,0.0
h_c,0.17526254064606858,-0.0,0.0
rib__D_c,0.10692176121378934,-0.0,0.0
gthrd_c,0.0010000000000000002,-0.0001796731975069833,0.0
actACP_c,0.7267073886467502,-0.0,0.0
actp_c,1.6504954634106963,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00022758421967100415,0.0
cyst__L_c,0.40005404536962974,-0.0,0.0
dutp_c,0.0320746225267807,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.02341504961371474,-0.0,0.0
2ahbut_c,0.21664316093537708,-0.0,0.0
ser__L_c,9.999999999491031,-0.0,0.00321882134746565
toct2eACP_c,0.006279385999471926,-0.0,0.0
ump_c,0.6142054927195755,-0.0,0.0
3pg_c,0.5200702829641098,-0.0,0.0
ctp_c,0.10000849079054973,-0.0,0.0
dadp_c,0.21302077660836496,-0.0,0.0
xu5p__D_c,0.01411008998808905,-0.0,0.0
aspsa_c,0.0010000000000011194,-0.1376320592962344,0.0
thex2eACP_c,0.006188887776402377,-0.0,0.0
t3c9palmeACP_c,0.005618616848514648,-0.0,0.0
accoa_c,9.999999999993172,-0.0,0.22554347305282518
arg__L_c,0.02695869465517245,-0.0,0.0
26dap_LL_c,0.022227126231575613,-0.0,0.0
asp__L_c,9.999999999981075,-0.0,0.0822432754478908
acg5sa_c,0.0033210068702862953,-0.0,0.0
hexACP_c,0.3609575746254847,-0.0,0.0
skm_c,0.0063065478851029935,-0.0,0.0
imp_c,0.1619554947718103,-0.0,0.0
o2_c,0.0010000000000000002,-0.0004237028240025961,0.0
h_p,0.209567051607264,-0.0,0.0
succ_p,0.0010000000000000002,-0.00028544555952726843,0.0
phpyr_c,0.11314003739138732,-0.0,0.0
fru_e,0.0010000000000000002,-0.00015818851255589378,0.0
pyr_e,0.0010000000000000002,-0.00019115316090216036,0.0
5mthf_c,0.13602816705386053,-0.0,0.0
nad_c,0.030100238957835184,-0.0,0.0
tdeACP_c,0.3592864786006243,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00016041281400043305,0.0
3hoctaACP_c,0.0010000000000000002,-0.00014309624593026842,0.0
adp_c,0.0175599250263954,-0.0,0.0
mal__L_c,0.18846337952664233,-0.0,0.0
g3p_c,0.003526543328307646,-0.0,0.0
etoh_c,0.0010000000000006833,-0.22542412837355508,0.0
so3_c,0.10846940477369034,-0.0,0.0
met__L_c,0.014774341379632279,-0.0,0.0
aicar_c,0.00342644466880131,-0.0,0.0
5aizc_c,0.0010000000000003838,-0.40174079069265717,0.0
ac_e,0.0010000000000000002,-0.0002364775576186207,0.0
glx_c,0.0010000000000000002,-0.00032374208148298374,0.0
etoh_e,0.0009999999999999994,-0.0004819887657956698,0.0
glcn_p,0.0010000000000000002,-0.00013915248616006105,0.0
air_c,0.9259167364940205,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0001785897418311948,0.0
nh4_c,4.691104961490547,-0.0,0.0
tdec2eACP_c,0.08391997213887366,-0.0,0.0
hdeACP_c,0.03990490640810134,-0.0,0.0
pi_c,0.19306526643358446,-0.0,0.0
argsuc_c,0.17513468888194259,-0.0,0.0
nh4_p,0.0009999999999999994,-0.00045230807479350847,0.0
chor_c,0.05829912322057957,-0.0,0.0
hom__L_c,0.01157493352340691,-0.0,0.0
dgdp_c,0.14141305976245364,-0.0,0.0
q8h2_c,9.999999999983526,-0.0,0.09324865826567065
3odecACP_c,1.1084999156975042,-0.0,0.0
tyr__L_c,0.030511287484784978,-0.0,0.0
cys__L_c,0.08496948721398057,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.00015585867525800005,0.0
h2s_c,0.11260824992853377,-0.0,0.0
e4p_c,0.012266985894850115,-0.0,0.0
trp__L_c,0.050526491468928354,-0.0,0.0
acser_c,0.08067905182855373,-0.0,0.0
lys__L_c,0.027515279641561873,-0.0,0.0
dudp_c,0.16982261037537216,-0.0,0.0
atp_c,1.6936116419493656,-0.0,0.0
indole_c,0.007130638673139129,-0.0,0.0
eig3p_c,0.3298772575925313,-0.0,0.0
26dap__M_c,0.002812126056073058,-0.0,0.0
thf_c,0.09356628295770678,-0.0,0.0
orot5p_c,0.021025905606558,-0.0,0.0
h_e,0.0010000000000000002,-0.00032779869515637893,0.0
gln__L_p,0.0010000000000000002,-0.00024916016950326684,0.0
glyc_p,0.0010000000000000002,-0.000119827743165013,0.0
5caiz_c,9.999999999996174,-0.0,0.4017619752485845
mal__L_p,0.0010000000000000002,-0.0002391615357164061,0.0
3hcpalm9eACP_c,0.2967991589220131,-0.0,0.0
3ocpalm9eACP_c,0.4537851725612288,-0.0,0.0
butACP_c,0.3647254475313987,-0.0,0.0
dttp_c,0.021069131626828202,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00013884384535468037,0.0
trdox_c,0.01855012805137184,-0.0,0.0
3ig3p_c,1.4270899082861035,-0.0,0.0
sl26da_c,1.4140526210127848,-0.0,0.0
3hoctACP_c,0.31519176081014366,-0.0,0.0
dctp_c,0.018603917046850615,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.000137191519965758,0.0
grxrd_c,0.0010000000000000002,-0.0001146701466680083,0.0
ru5p__D_c,0.0363746224212223,-0.0,0.0
23dhmb_c,0.02692977080459225,-0.0,0.0
pran_c,0.4433842334376348,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00014772185679221407,0.0
paps_c,0.06706660096020492,-0.0,0.0
utp_c,0.018938612609957536,-0.0,0.0
dhor__S_c,0.0010000000000015324,-0.0998890902911056,0.0
glyc_e,0.0010000000000000002,-0.00012187763999264303,0.0
4mop_c,0.014206566254838597,-0.0,0.0
fdp_c,9.999999999987239,-0.0,0.12123912552648926
dtmp_c,0.30528770298192476,-0.0,0.0
gdp_c,0.03746939770345541,-0.0,0.0
o2_p,0.0010000000000000002,-0.00011982774316510822,0.0
datp_c,0.018674488985902446,-0.0,0.0
ppi_c,0.0032790845279629765,-0.0,0.0
nadp_c,0.0010000000000000002,-0.00016886078523044944,0.0
glu__L_c,9.999999999971038,-0.0,0.05385462688122526
fum_c,0.0160753948636076,-0.0,0.0
akg_p,0.0010000000000000002,-0.0002662787890145614,0.0
acorn_c,0.018597675394153995,-0.0,0.0
glu5sa_c,0.002198645776298077,-0.0,0.0
ile__L_c,0.02416435451410524,-0.0,0.0
ocACP_c,0.49350506114868886,-0.0,0.0
3dhq_c,2.0558916075615854,-0.0,0.0
hisp_c,0.10750049545397032,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.0002097542342828872
glu__L_e,0.0010000000000000002,-0.00020719161189397816,0.0
cbp_c,0.43264561096782095,-0.0,0.0
3mob_c,0.1462997808776966,-0.0,0.0
suchms_c,0.03076843872300799,-0.0,0.0
tpalm2eACP_c,0.005649424622040204,-0.0,0.0
3hpalmACP_c,0.2984648405991073,-0.0,0.0
gln__L_c,9.989384722080155,-0.0,0.0
3c3hmp_c,4.140888108004398,-0.0,0.0
anth_c,0.28031249049939083,-0.0,0.0
pap_c,0.22301815666946917,-0.0,0.0
xmp_c,0.044850383355733804,-0.0,0.0
2cpr5p_c,0.03191782963408254,-0.0,0.0
rib__D_p,0.025366690788704217,-0.0,0.0
xyl__D_p,0.0010000000000000002,-0.0001347095169930366,0.0
octeACP_c,0.0010000000000000002,-0.00013037673651034292,0.0
3hhexACP_c,0.3127817546991219,-0.0,0.0
t3c5ddeceACP_c,0.00462104434624278,-0.0,0.0
co2_p,0.0009999999999999994,-0.00045230883042134926,0.0
ala__L_c,0.026000201167612036,-0.0,0.0
hco3_c,0.019472886988125132,-0.0,0.0
phe__L_c,0.03603780781423663,-0.0,0.0
mlthf_c,0.14703386181872485,-0.0,0.0
t3c7mrseACP_c,0.0062416639391286105,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.00013722401142826507,0.0
1pyr5c_c,10.000000000000002,-0.0,0.0001482277624448785
acald_p,0.0010000000000000002,-0.00011982774316506084,0.0
2ippm_c,0.1436720219636998,-0.0,0.0
3psme_c,0.027444333386965978,-0.0,0.0
imacp_c,0.19181516285023034,-0.0,0.0
3c2hmp_c,0.011658203536764774,-0.0,0.0
pser__L_c,0.36005844924045716,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00013040176270759878,0.0
gmp_c,0.3155563709058134,-0.0,0.0
3dhsk_c,0.09184882066017348,-0.0,0.0
acACP_c,0.0010000000000000002,-0.00027383379746578337,0.0
h2o_c,9.999999999831807,-0.0,0.011063464562047166
alac__S_c,0.22967466579805093,-0.0,0.0
dcdp_c,0.22806155508341458,-0.0,0.0
gly_c,1.823497894742872,-0.0,0.0
malcoa_c,6.819375200576616,-0.0,0.0
fru_p,0.0010000000000000002,-0.00015431977663580193,0.0
xyl__D_e,0.0010000000000000002,-0.00013391086547002802,0.0
phom_c,0.08422003414975733,-0.0,0.0
glc__D_e,0.0010000000000000002,-0.00013344847656488758,0.0
nh4_e,10.000000000000002,-0.0,0.00045230336269831147
f6p_c,0.00527901419997899,-0.0,0.0
pphn_c,0.6937725766804704,-0.0,0.0
prlp_c,0.00634579940201386,-0.0,0.0
s7p_c,0.29502559146455093,-0.0,0.0
prfp_c,0.013381740917637058,-0.0,0.0
tmrs2eACP_c,0.006276347817825445,-0.0,0.0
o2_e,0.0010000000000000002,-0.00012187763998936269,0.0
succ_e,0.0010000000000000002,-0.0002103519951584842,0.0
mql8_c,0.006941510857825825,-0.0,0.0
glyc__R_c,0.0010000000000000002,-0.00019693033179135147,0.0
g6p_c,0.0010000000000000002,-0.00018262144006851578,0.0
trdrd_c,0.0010000000000000002,-0.00015928382638118622,0.0
methf_c,0.0065197074781231925,-0.0,0.0
ddcaACP_c,0.36325106856022954,-0.0,0.0
prpp_c,0.648707845416407,-0.0,0.0
histd_c,0.05687313684775549,-0.0,0.0
for_p,0.005314819796107101,-0.0,0.0
orot_c,0.010649903645181017,-0.0,0.0
glc__D_p,0.0010000000000000002,-0.0001300149295922348,0.0
q8_c,0.0010000000000000002,-0.09324865826896865,0.0
orn_c,0.024319611429116646,-0.0,0.0
dcaACP_c,0.42459043623355613,-0.0,0.0
3hcddec5eACP_c,0.1646413759525564,-0.0,0.0
tddec2eACP_c,0.006271780958849048,-0.0,0.0
fgam_c,9.993459449857852,-0.0,0.0
cit_c,5.541201276862394,-0.0,0.0
skm5p_c,0.269154551193099,-0.0,0.0
oaa_c,0.0010809612674371897,-0.0,0.0
23dhmp_c,0.027421077512433598,-0.0,0.0
fprica_c,0.0010000000000256438,-0.00628493532459494,0.0
glcn_e,0.0010000000000000002,-0.0001377937570811433,0.0
ac_p,0.00813905844074274,-0.0,0.0
his__L_c,0.07115839159232504,-0.0,0.0
so4_c,0.0082774116873997,-0.0,0.0
6pgl_c,0.0010000000000000002,-0.0001762982847949365,0.0
2dda7p_c,0.0874767547744043,-0.0,0.0
sl2a6o_c,0.0048252378229082715,-0.0,0.0
gtp_c,0.13657939956396106,-0.0,0.0
so4_p,0.3565181870676012,-0.0,0.0
succ_c,2.3207370864849013,-0.0,0.0
aps_c,0.017931949296767443,-0.0,0.0
thdp_c,3.6968597809178374,-0.0,0.0
cdp_c,0.27856648378993226,-0.0,0.0
glyc__R_e,0.0010000000000000002,-0.0001521022901468777,0.0
nadph_c,0.002074956699621317,-0.0,0.0
acglu_c,5.56646026786228,-0.0,0.0
3hddecACP_c,0.31872153048289825,-0.0,0.0
2obut_c,0.13819909103235706,-0.0,0.0
cddec5eACP_c,0.3575772724509213,-0.0,0.0
glyc_c,0.0010000000000000002,-0.00023961867902295015,0.0
val__L_c,0.0331563948878021,-0.0,0.0
pro__L_c,0.020788255079373742,-0.0,0.0
cbasp_c,9.999999999984698,-0.0,0.09993611780565807
mqn8_c,10.000000000000002,-0.0,0.00014825319247323222
lac__D_p,0.0010000000000000002,-0.00014228399980611409,0.0
malACP_c,1.2822602247650259,-0.0,0.0
3hdecACP_c,1.6698548665743966,-0.0,0.0
cdec3eACP_c,0.008872821006303088,-0.0,0.0
3hcmrs7eACP_c,0.31493384834073773,-0.0,0.0
glu__L_p,0.0010000000000000002,-0.00027215915806819304,0.0
3oddecACP_c,0.48304487148635505,-0.0,0.0
glyc__R_p,0.0010000000000000002,-0.00016180759998878438,0.0
3ooctdACP_c,0.0010000000000000002,-0.00016037216721921484,0.0
but2eACP_c,0.006706992254337284,-0.0,0.0
pyr_c,0.012676594659890511,-0.0,0.0
dump_c,0.143392703091811,-0.0,0.0
acon_C_c,0.002842639493370078,-0.0,0.0
grxox_c,0.0010000000000000002,-0.0001267298350211708,0.0
icit_c,0.004092566133370238,-0.0,0.0
lac__D_c,0.0010000000000000002,-0.0001530892803230124,0.0
nadh_c,0.0010000000000000002,-0.00015947013372235146,0.0
amp_c,0.006073090106193417,-0.0,0.0
3php_c,0.0010000000000006388,-0.24158317646062122,0.0
dtdp_c,0.07354647516342842,-0.0,0.0
dhf_c,0.2286073157778355,-0.0,0.0
for_c,0.0010899173981427721,-0.0,0.0
pi_e,10.000000000000002,-0.0,0.00025863009003448864
3opalmACP_c,0.4567728371760813,-0.0,0.0
3hcvac11eACP_c,0.0010000000000000002,-0.00014308115518042112,0.0
coa_c,0.0010000000000006833,-0.22556126975428695,0.0
asn__L_c,0.1065044574772023,-0.0,0.0
udp_c,0.09934614463635613,-0.0,0.0
leu__L_c,0.0010000000000000002,-0.0001578246110186321,0.0
25aics_c,9.999999999745548,-0.0,0.006318608467375671
3omrsACP_c,0.4689713118877356,-0.0,0.0
acald_c,0.0015299254968525132,-0.0,0.0
3hmrsACP_c,0.316517271579745,-0.0,0.0
pram_c,0.48576679586442023,-0.0,0.0
3c4mop_c,0.00283396520734838,-0.0,0.0
hcys__L_c,0.12111305870320041,-0.0,0.0
mal__L_e,0.0010000000000000002,-0.00019784554013916702,0.0
co2_c,0.0010000000000497365,-0.002829617102257035,0.0
pi_p,2.2426934345998113,-0.0,0.0
fum_e,0.0010000000000000002,-0.00019798814854927576,0.0
acald_e,0.0010000000000000002,-0.00012187763999099859,0.0
etoh_p,10.000000000000002,-0.0,0.00048198566399144867
gthox_c,0.0010000000000000002,-9.84129682421526e-05,0.0
gar_c,6.0109777957393655,-0.0,0.0
3haACP_c,0.3729891953056843,-0.0,0.0
3ooctACP_c,0.4651009340291249,-0.0,0.0
3ocmrs7eACP_c,0.4645054692081595,-0.0,0.0
acg5p_c,0.004613659125488006,-0.0,0.0
4pasp_c,9.999999999969244,-0.0,0.049874534618855014
glu5p_c,0.001000000000003077,-0.050639593427215565,0.0
h2o_e,0.0010000000000000002,-0.0,0.0
23dhdp_c,1.269172515516201,-0.0,0.0
3mop_c,0.1261453340738639,-0.0,0.0
dgtp_c,0.02001052565489795,-0.0,0.0
rib__D_e,10.000000000000002,-0.0,0.00023232746761373964
dcamp_c,1.7595144794268442,-0.0,0.0
myrsACP_c,0.3609264429120801,-0.0,0.0
ACP_c,0.016236516892720775,-0.0,0.0
palmACP_c,0.04008224165925096,-0.0,0.0
succoa_c,0.294550965644907,-0.0,0.0
xyl__D_c,0.0010000000000000002,-0.00014052245431012584,0.0
for_e,0.0010000000000000002,-0.00022684488573118387,0.0
