,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.0010000000000043568,-0.07022009149256343,0.0
prbatp_c,0.10780217165778788,-0.0,0.0
10fthf_c,0.02120017031725385,-0.0,0.0
co2_e,0.0010000000000000002,-0.0006738781219011075,0.0
akg_e,0.0010000000000000002,-0.0002843318483718088,0.0
2pg_c,0.43183021826647516,-0.0,0.0
13dpg_c,0.0552095145994582,-0.0,0.0
prbamp_c,4.743185611995156,-0.0,0.0
fpram_c,0.001165264970266852,-0.0,0.0
thr__L_c,0.10702790552949537,-0.0,0.0
fum_p,0.0010000000000000002,-0.000337712638959842,0.0
gln__L_e,0.0010000000000000002,-0.00022906420920284695,0.0
3ohexACP_c,0.12116432060777196,-0.0,0.0
3ocddec5eACP_c,0.026228238814632456,-0.0,0.0
r5p_c,0.0010000000000106096,-0.02665809045523656,0.0
akg_c,0.0019882346398073856,-0.0,0.0
ac_c,0.6966420902909846,-0.0,0.0
citr__L_c,0.2160039719727031,-0.0,0.0
34hpp_c,0.13832638113765144,-0.0,0.0
pep_c,9.999999999987896,-0.0,0.23842346062920824
h_c,0.048739545645098865,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.0002734510236073383,0.0
gthrd_c,0.0010000000000000002,-0.00025495762224623397,0.0
actACP_c,0.12951817393232337,-0.0,0.0
actp_c,0.14393557663614132,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00033478696566411606,0.0
cyst__L_c,0.14696914807813266,-0.0,0.0
dutp_c,0.04869706868485488,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.022248761395813724,-0.0,0.0
2ahbut_c,0.12834135460511883,-0.0,0.0
ser__L_c,9.999999999849393,-0.0,0.019489242402602785
toct2eACP_c,0.010244139233508646,-0.0,0.0
ump_c,0.1781353228825542,-0.0,0.0
3pg_c,0.2809421316499,-0.0,0.0
ctp_c,0.1172309909386716,-0.0,0.0
dadp_c,0.16321957050205788,-0.0,0.0
xu5p__D_c,0.01929415852125391,-0.0,0.0
aspsa_c,0.001000000000454974,-0.001280565001125289,0.0
thex2eACP_c,0.010136999870376227,-0.0,0.0
t3c9palmeACP_c,0.009200251967746704,-0.0,0.0
accoa_c,0.04241614088542023,-0.0,0.0
arg__L_c,0.018625946364096226,-0.0,0.0
26dap_LL_c,0.15470281186310947,-0.0,0.0
asp__L_c,0.0769550014902425,-0.0,0.0
acg5sa_c,0.6986152279999046,-0.0,0.0
hexACP_c,0.22739867114973547,-0.0,0.0
skm_c,0.01677179003953054,-0.0,0.0
imp_c,0.013843468618106581,-0.0,0.0
o2_c,0.1225472303939196,-0.0,0.0
h_p,0.9819528274029954,-0.0,0.0
succ_p,0.019892202625909624,-0.0,0.0
phpyr_c,0.2332935261723255,-0.0,0.0
fru_e,0.0010000000000000002,-0.0002657667128041036,0.0
pyr_e,0.0010000000000000002,-0.00027273039523146176,0.0
5mthf_c,0.07266480632263345,-0.0,0.0
nad_c,0.0649038742308905,-0.0,0.0
tdeACP_c,0.22469112894857066,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.000250158284800344,0.0
3hoctaACP_c,0.0010000000000000002,-0.00020350146078270323,0.0
adp_c,0.001744764724873953,-0.0,0.0
mal__L_c,0.07071740841370121,-0.0,0.0
g3p_c,0.0010000000000157582,-0.018250812994887428,0.0
etoh_c,0.0010000000000000002,-0.000254006899342843,0.0
so3_c,0.1001773353811409,-0.0,0.0
met__L_c,0.02919085836166447,-0.0,0.0
aicar_c,0.001037921095177829,-0.0,0.0
5aizc_c,0.0010000000000014613,-0.19668212009659905,0.0
ac_e,0.0010000000000000002,-0.00024069756698369692,0.0
glx_c,0.0010000000000000002,-0.0006074861444432913,0.0
etoh_e,0.0010000000000000002,-0.00017574584989686533,0.0
glcn_p,0.0010000000000000002,-0.00019939183466046928,0.0
air_c,0.6112143326451577,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.00038910729545887094,0.0
nh4_c,0.0011974793427295956,-0.0,0.0
tdec2eACP_c,0.16737997764427745,-0.0,0.0
hdeACP_c,0.038417050482758015,-0.0,0.0
pi_c,0.0019318169900219375,-0.0,0.0
argsuc_c,0.26609607178013406,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0006576094864582505,0.0
chor_c,0.06224775778853633,-0.0,0.0
hom__L_c,0.03266478119179206,-0.0,0.0
dgdp_c,0.12401766611158878,-0.0,0.0
q8h2_c,0.042536840441557255,-0.0,0.0
3odecACP_c,0.22169351905593815,-0.0,0.0
tyr__L_c,0.024371848556105958,-0.0,0.0
cys__L_c,0.0849438596418267,-0.0,0.0
xylu__D_c,0.0010000000000000002,-0.00033947246089475986,0.0
h2s_c,0.1234951217208174,-0.0,0.0
e4p_c,0.0010000000000059742,-0.048415964206911015,0.0
trp__L_c,0.07909393434864381,-0.0,0.0
acser_c,0.05975350776700451,-0.0,0.0
lys__L_c,0.04097534866533561,-0.0,0.0
dudp_c,0.15373021229170836,-0.0,0.0
atp_c,6.373714055039972,-0.0,0.0
indole_c,0.010324254290887652,-0.0,0.0
eig3p_c,0.5099585145629085,-0.0,0.0
26dap__M_c,0.003787298914010982,-0.0,0.0
thf_c,0.038903338988569396,-0.0,0.0
orot5p_c,0.03408185400292001,-0.0,0.0
h_e,10.000000000000002,-0.0,0.35946155382970285
gln__L_p,0.0010000000000000002,-0.00023983310782487295,0.0
glyc_p,0.0010000000000000002,-0.000180268803286628,0.0
5caiz_c,9.999999999985409,-0.0,0.19667340119614185
mal__L_p,0.0010000000000000002,-0.00032993398138294195,0.0
3hcpalm9eACP_c,0.5342040298579532,-0.0,0.0
3ocpalm9eACP_c,0.11857958337417075,-0.0,0.0
butACP_c,0.22681876365992754,-0.0,0.0
dttp_c,0.04688279617007132,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.0001892789739644185,0.0
trdox_c,0.0024332956196426348,-0.0,0.0
3ig3p_c,0.9409761434396501,-0.0,0.0
sl26da_c,0.44855788602130425,-0.0,0.0
3hoctACP_c,0.566674396525079,-0.0,0.0
dctp_c,0.03347061415629715,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.00020634870629358243,0.0
grxrd_c,0.0010000000000000002,-0.0001652304727286675,0.0
ru5p__D_c,0.0010000000000056678,-0.0503735691060878,0.0
23dhmb_c,0.05689742430481537,-0.0,0.0
pran_c,0.5269773436950783,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00019936747221475636,0.0
paps_c,0.06562878364866764,-0.0,0.0
utp_c,0.04188874984825656,-0.0,0.0
dhor__S_c,0.001000000000001527,-0.18845183033429985,0.0
glyc_e,0.0010000000000000002,-0.00017574584989836706,0.0
4mop_c,0.03664193614931191,-0.0,0.0
fdp_c,0.0017466248830544477,-0.0,0.0
dtmp_c,0.2196100199543436,-0.0,0.0
gdp_c,0.044913671797696425,-0.0,0.0
o2_p,0.0009999999999999994,-0.0006576090473420316,0.0
datp_c,0.036017066161405625,-0.0,0.0
ppi_c,0.004736608310475084,-0.0,0.0
nadp_c,0.018638056707574555,-0.0,0.0
glu__L_c,0.6028816027819488,-0.0,0.0
fum_c,0.11271991686666502,-0.0,0.0
akg_p,0.0010000000000000002,-0.0003660262604826056,0.0
acorn_c,0.03556714442557023,-0.0,0.0
glu5sa_c,0.027710281814220854,-0.0,0.0
ile__L_c,0.013560423066521953,-0.0,0.0
ocACP_c,0.26924757357781276,-0.0,0.0
3dhq_c,0.9650998182433734,-0.0,0.0
hisp_c,0.02107538804686721,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.0003286918061719948
glu__L_e,0.0010000000000000002,-0.0002624145067154333,0.0
cbp_c,0.4768532556780107,-0.0,0.0
3mob_c,0.39140194816755464,-0.0,0.0
suchms_c,0.06791532517050639,-0.0,0.0
tpalm2eACP_c,0.009150476478467822,-0.0,0.0
3hpalmACP_c,0.5310108481564422,-0.0,0.0
gln__L_c,9.881629795451097,-0.0,0.0
3c3hmp_c,6.325962169484406,-0.0,0.0
anth_c,0.28178808778015624,-0.0,0.0
pap_c,0.20494952244504833,-0.0,0.0
xmp_c,0.027464053142572605,-0.0,0.0
2cpr5p_c,0.025502300562771585,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.00023219780567674674,0.0
xyl__D_p,0.0010000000000000002,-0.00021153281458995908,0.0
octeACP_c,0.0010000000000000002,-0.0001774399404581585,0.0
3hhexACP_c,0.5633059705131085,-0.0,0.0
t3c5ddeceACP_c,0.008347755115641243,-0.0,0.0
co2_p,10.00000000000001,-0.0,0.0006738723995786182
ala__L_c,0.005798497756216552,-0.0,0.0
hco3_c,0.003084161484839256,-0.0,0.0
phe__L_c,0.02874790105773606,-0.0,0.0
mlthf_c,9.999999999893038,-0.0,0.02679283845831402
t3c7mrseACP_c,0.010107567372763512,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.00020636238407227195,0.0
1pyr5c_c,10.000000000000002,-0.0,0.0002203455470085057
acald_p,0.0010000000000000002,-0.00018026880328883907,0.0
2ippm_c,0.42264800517703616,-0.0,0.0
3psme_c,0.06828714217220326,-0.0,0.0
imacp_c,1.027812405036672,-0.0,0.0
3c2hmp_c,0.0027645915907125187,-0.0,0.0
pser__L_c,0.0761452941847237,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00017735293548795726,0.0
gmp_c,0.21968690970599897,-0.0,0.0
3dhsk_c,0.04803352633018198,-0.0,0.0
acACP_c,0.0010000000000000002,-0.0003713749019020295,0.0
h2o_c,1.8272271876512869,-0.0,0.0
alac__S_c,0.12427021987543728,-0.0,0.0
dcdp_c,0.18246909547213055,-0.0,0.0
gly_c,0.010790094478478299,-0.0,0.0
malcoa_c,5.207972258546816,-0.0,0.0
fru_p,0.0010000000000000002,-0.00031674845502259143,0.0
xyl__D_e,0.0010000000000000002,-0.0001996064712663237,0.0
phom_c,0.1133176367529024,-0.0,0.0
glc__D_e,0.0010000000000000002,-0.00020437965321516507,0.0
nh4_e,10.000000000000002,-0.0,0.0006576053546368538
f6p_c,9.99999999994196,-0.0,0.05297082244452845
pphn_c,0.32181615641578626,-0.0,0.0
prlp_c,0.0022780052636771093,-0.0,0.0
s7p_c,0.5042863839485987,-0.0,0.0
prfp_c,0.0037599959934350056,-0.0,0.0
tmrs2eACP_c,0.010059496414710966,-0.0,0.0
o2_e,10.000000000000002,-0.0,0.0006576049259019644
succ_e,10.000000000000002,-0.0,0.000419152800628279
mql8_c,0.0010000000000000002,-0.00017242469894511835,0.0
glyc__R_c,0.0010000000000000002,-0.0002893260310477529,0.0
g6p_c,0.0010000000000000002,-0.0003356533233621788,0.0
trdrd_c,0.0010000000000000002,-0.00022926119422461214,0.0
methf_c,0.0010000000000106965,-0.026841891076845398,0.0
ddcaACP_c,0.2245933561724533,-0.0,0.0
prpp_c,0.14572690860754928,-0.0,0.0
histd_c,0.055602103490031085,-0.0,0.0
for_p,0.2565933190381805,-0.0,0.0
orot_c,0.5205984338199641,-0.0,0.0
glc__D_p,0.0010000000000000002,-0.0002315577044323112,0.0
q8_c,0.0010000000000000002,-0.00024257401286597357,0.0
orn_c,0.009776059854701797,-0.0,0.0
dcaACP_c,0.3069565672793062,-0.0,0.0
3hcddec5eACP_c,0.37789577358138166,-0.0,0.0
tddec2eACP_c,0.010152097919113139,-0.0,0.0
fgam_c,1.3378569019978326,-0.0,0.0
