,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07051378889521617,-0.0,0.0
prbatp_c,0.09548378076451954,-0.0,0.0
10fthf_c,0.00229266200186022,-0.0,0.0
co2_e,0.0010000000000000002,-0.0006528274085244922,0.0
akg_e,0.0010000000000000002,-0.0002795709987946464,0.0
2pg_c,0.0253540290295775,-0.0,0.0
13dpg_c,9.999999999996742,-0.0,0.00536407342180781
prbamp_c,9.999995073838475,-0.0,0.001811111511350425
fpram_c,0.0010000047067062773,-0.0007388056774356055,0.0
thr__L_c,0.10914377854747334,-0.0,0.0
fum_p,0.0010000000000000002,-0.0003646545151387883,0.0
gln__L_e,0.0010000000000000002,-0.0003016158423837295,0.0
3ohexACP_c,0.05986634169545792,-0.0,0.0
3ocddec5eACP_c,0.01657594451786847,-0.0,0.0
r5p_c,0.012436793020220563,-0.0,0.0
akg_c,0.0010000000000000597,-0.03229795052798992,0.0
ac_c,4.229657933605176,-0.0,0.0
citr__L_c,0.14789638235972016,-0.0,0.0
34hpp_c,0.12589874816673333,-0.0,0.0
pep_c,0.11555164852803224,-0.0,0.0
h_c,0.009364654265869238,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.00022946097804052055,0.0
gthrd_c,0.0010000000000000002,-0.00024305968252228753,0.0
actACP_c,0.036366567308506396,-0.0,0.0
actp_c,0.22755390347737445,-0.0,0.0
pyr_p,0.0010000000000000002,-0.0003627682522217495,0.0
cyst__L_c,0.3274835088305056,-0.0,0.0
dutp_c,0.038156149714846536,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.021807806634068946,-0.0,0.0
2ahbut_c,0.11058064829349841,-0.0,0.0
ser__L_c,9.999999999999584,-0.0,0.04407074502627578
toct2eACP_c,0.1827603187472197,-0.0,0.0
ump_c,0.5579078728744261,-0.0,0.0
3pg_c,2.5013123335714997,-0.0,0.0
ctp_c,0.07843664336593462,-0.0,0.0
dadp_c,0.29446402765146285,-0.0,0.0
xu5p__D_c,6.452411183536773,-0.0,0.0
aspsa_c,0.0010000000000000206,-0.0900070443217676,0.0
thex2eACP_c,0.10701281700589022,-0.0,0.0
t3c9palmeACP_c,0.02466351904652651,-0.0,0.0
accoa_c,0.0042373907037283574,-0.0,0.0
arg__L_c,0.014597313889337956,-0.0,0.0
26dap_LL_c,0.022991872400101313,-0.0,0.0
asp__L_c,9.999999999999602,-0.0,0.04494739725592271
acg5sa_c,0.01997818216558328,-0.0,0.0
hexACP_c,0.2015102758765768,-0.0,0.0
skm_c,0.011311283096004968,-0.0,0.0
imp_c,0.0443021376711874,-0.0,0.0
o2_c,0.3143018792610035,-0.0,0.0
h_p,0.5093359422362558,-0.0,0.0
succ_p,0.0010000000000000002,-0.0004008096876297715,0.0
phpyr_c,0.1596896194492144,-0.0,0.0
fru_e,0.0010000000000000002,-0.0002397252905815171,0.0
pyr_e,0.0010000000000000002,-0.00028030936192361013,0.0
5mthf_c,0.0023927045674245013,-0.0,0.0
nad_c,9.999999999999904,-0.0,0.1786498848734792
tdeACP_c,0.11742058299253683,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00023283271894372154,0.0
3hoctaACP_c,0.0010000000000000002,-0.00018714474673284346,0.0
adp_c,0.006728898350701125,-0.0,0.0
mal__L_c,0.0010000000000000438,-0.04081381395511837,0.0
g3p_c,0.0010000000000000046,-0.46864166928950196,0.0
etoh_c,0.0010000000000000002,-0.00022734498853168182,0.0
so3_c,0.11616587353915991,-0.0,0.0
met__L_c,0.023099595114105524,-0.0,0.0
aicar_c,0.0011289668284075879,-0.0,0.0
5aizc_c,0.0010000000000000037,-0.4830523363893598,0.0
ac_e,0.0010000000000000002,-0.00024040840891549034,0.0
glx_c,0.0010000000000000002,-0.0007401296832902105,0.0
etoh_e,0.0010000000000000002,-0.0001708371311083406,0.0
glcn_p,0.0010000000000000002,-0.00020035374495146465,0.0
air_c,0.5032005365762957,-0.0,0.0
6pgc_c,1.5932836068281817,-0.0,0.0
nh4_c,0.020015078696375605,-0.0,0.0
tdec2eACP_c,1.157517259848699,-0.0,0.0
hdeACP_c,0.010241766820586015,-0.0,0.0
pi_c,0.08450068390493795,-0.0,0.0
argsuc_c,0.40144954532049265,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0006479400362373239,0.0
chor_c,0.04690097809097893,-0.0,0.0
hom__L_c,0.011159987340297457,-0.0,0.0
dgdp_c,0.1973892935429317,-0.0,0.0
q8h2_c,0.007646861952435722,-0.0,0.0
3odecACP_c,0.22222131616630628,-0.0,0.0
tyr__L_c,0.03803084507604005,-0.0,0.0
cys__L_c,0.07910989628908852,-0.0,0.0
xylu__D_c,0.0038033043525155007,-0.0,0.0
h2s_c,0.09370364477330734,-0.0,0.0
e4p_c,0.0017708397540391304,-0.0,0.0
trp__L_c,0.10284256244914174,-0.0,0.0
acser_c,0.038487664024663394,-0.0,0.0
lys__L_c,0.018206098036054053,-0.0,0.0
dudp_c,0.23078943015352896,-0.0,0.0
atp_c,2.853541893361076,-0.0,0.0
indole_c,0.008260810057145957,-0.0,0.0
eig3p_c,0.5543947083078935,-0.0,0.0
26dap__M_c,0.0012234776121382972,-0.0,0.0
thf_c,0.004719444956907763,-0.0,0.0
orot5p_c,0.030277205255688795,-0.0,0.0
h_e,0.0010000000000000002,-0.0004930250317483638,0.0
gln__L_p,0.0010000000000000002,-0.0004219270049119066,0.0
glyc_p,0.0010000000000000002,-0.00016091762983526736,0.0
5caiz_c,9.999999999999975,-0.0,0.48294487467721875
mal__L_p,0.0010000000000000002,-0.00033958731743097655,0.0
3hcpalm9eACP_c,0.03948202337291381,-0.0,0.0
3ocpalm9eACP_c,0.03744654216172294,-0.0,0.0
butACP_c,0.15361223277143202,-0.0,0.0
dttp_c,0.03143652156075098,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00018716964955068168,0.0
trdox_c,0.02961843790047228,-0.0,0.0
3ig3p_c,1.088087769021828,-0.0,0.0
sl26da_c,0.752962761120431,-0.0,0.0
3hoctACP_c,0.13671655863651666,-0.0,0.0
dctp_c,0.023626828804386067,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.0001975092752141814,0.0
grxrd_c,0.0010000000000000002,-0.00016309449816877692,0.0
ru5p__D_c,0.03682081894612799,-0.0,0.0
23dhmb_c,0.009380651851161438,-0.0,0.0
pran_c,0.48827779558908757,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00022876130666202866,0.0
paps_c,0.053184134544769314,-0.0,0.0
utp_c,0.02492841125499964,-0.0,0.0
dhor__S_c,0.0010183359547107683,-0.0,0.0
