,optimised_conc_mM,shadow_price_lb,shadow_price_ub
dhap_c,0.07466406262674545,-0.0,0.0
prbatp_c,0.09728179503334351,-0.0,0.0
10fthf_c,0.8353292605040462,-0.0,0.0
co2_e,10.00000000000001,-0.0,0.0005559735632057257
akg_e,0.0010000000000000002,-0.00024987957200474294,0.0
2pg_c,0.027961405181753572,-0.0,0.0
13dpg_c,0.0803380155051055,-0.0,0.0
prbamp_c,1.705812227238792,-0.0,0.0
fpram_c,0.0010006607068585058,-0.0,0.0
thr__L_c,0.18287560864251964,-0.0,0.0
fum_p,0.0010000000000000002,-0.0002851943276220415,0.0
gln__L_e,0.0010000000000000002,-0.0002495788640746222,0.0
3ohexACP_c,0.3894268534742625,-0.0,0.0
3ocddec5eACP_c,0.10022428182945006,-0.0,0.0
r5p_c,0.03728126716852896,-0.0,0.0
akg_c,0.0010000000001217312,-0.002018305673539383,0.0
ac_c,0.6467256247601633,-0.0,0.0
citr__L_c,0.15012295352221142,-0.0,0.0
34hpp_c,0.030371977962526782,-0.0,0.0
pep_c,0.003647088512438122,-0.0,0.0
h_c,0.1752626089275161,-0.0,0.0
rib__D_c,0.0010000000000000002,-0.00019811848471032315,0.0
gthrd_c,0.0010000000000000002,-0.0002199049610291528,0.0
actACP_c,0.5826528931398636,-0.0,0.0
actp_c,2.1236412587013063,-0.0,0.0
pyr_p,0.0010000000000000002,-0.00027801300244198257,0.0
cyst__L_c,0.39329547380983604,-0.0,0.0
dutp_c,0.03669456283612576,-0.0,0.0
h2o_p,0.0010000000000000002,-0.0,0.0
glyc3p_c,0.028912503088933707,-0.0,0.0
2ahbut_c,0.19191144606941749,-0.0,0.0
ser__L_c,9.999999998782691,-0.0,0.0032402194128600586
toct2eACP_c,0.006731655411345654,-0.0,0.0
ump_c,0.44610368363785774,-0.0,0.0
3pg_c,0.5200705923825506,-0.0,0.0
ctp_c,0.11393479949946679,-0.0,0.0
dadp_c,0.22335439826792405,-0.0,0.0
xu5p__D_c,3.0543552989384426,-0.0,0.0
aspsa_c,0.0010000000000027652,-0.13760890119125802,0.0
thex2eACP_c,0.0066931118267085365,-0.0,0.0
t3c9palmeACP_c,0.006183671460898888,-0.0,0.0
accoa_c,9.999999999983135,-0.0,0.22556811129341742
arg__L_c,0.03341740113338291,-0.0,0.0
26dap_LL_c,0.025359328342840142,-0.0,0.0
asp__L_c,9.999999999953221,-0.0,0.08237913803050317
acg5sa_c,0.0037977512395037057,-0.0,0.0
hexACP_c,0.37168378538944546,-0.0,0.0
skm_c,0.008100913788984108,-0.0,0.0
imp_c,0.1536488047303948,-0.0,0.0
o2_c,0.0010000000000000002,-0.0005246862695283835,0.0
h_p,0.20956715941446055,-0.0,0.0
succ_p,0.0010000000000000002,-0.000345527466335736,0.0
phpyr_c,0.11618252139383384,-0.0,0.0
fru_e,0.0010000000000000002,-0.00019604358732015482,0.0
pyr_e,0.0010000000000000002,-0.000233193361042324,0.0
5mthf_c,0.1411411479795348,-0.0,0.0
nad_c,0.030100260931270766,-0.0,0.0
tdeACP_c,0.3593709671645443,-0.0,0.0
3ocvac11eACP_c,0.0010000000000000002,-0.00019760531602496637,0.0
3hoctaACP_c,0.0010000000000000002,-0.0001760607902034334,0.0
adp_c,0.018633447868954354,-0.0,0.0
mal__L_c,0.18846362907469666,-0.0,0.0
g3p_c,0.0035265467175827807,-0.0,0.0
etoh_c,0.0010000000000016886,-0.22540296834096418,0.0
so3_c,0.10224199578363692,-0.0,0.0
met__L_c,0.022968195168956027,-0.0,0.0
aicar_c,0.0034264578639053994,-0.0,0.0
5aizc_c,0.001000000000000949,-0.40170088098515805,0.0
ac_e,0.0010000000000000002,-0.0002907279154371581,0.0
glx_c,0.0010000000000000002,-0.0003957386852606742,0.0
etoh_e,0.0009999999999999994,-0.0005887362463727453,0.0
glcn_p,0.0010000000000000002,-0.00017027462736092657,0.0
air_c,0.8292177056858447,-0.0,0.0
6pgc_c,0.0010000000000000002,-0.0002124538200693936,0.0
nh4_c,4.691103187728052,-0.0,0.0
tdec2eACP_c,0.08043140623969641,-0.0,0.0
hdeACP_c,0.05636441359550774,-0.0,0.0
pi_c,0.19306480373276796,-0.0,0.0
argsuc_c,0.15519751078059255,-0.0,0.0
nh4_p,0.0009999999999999994,-0.0005559779154989347,0.0
chor_c,0.04858583187468717,-0.0,0.0
hom__L_c,0.013666368208556339,-0.0,0.0
dgdp_c,0.13857898587829892,-0.0,0.0
q8h2_c,10.000000000000002,-0.0,0.09316783323582574
3odecACP_c,0.9094480507797885,-0.0,0.0
tyr__L_c,0.04377535859748657,-0.0,0.0
cys__L_c,0.08334088700519146,-0.0,0.0
xylu__D_c,0.005745946428532959,-0.0,0.0
h2s_c,0.10408954500532269,-0.0,0.0
e4p_c,0.009226488331590132,-0.0,0.0
trp__L_c,0.08841562428092989,-0.0,0.0
acser_c,0.08379713773388431,-0.0,0.0
lys__L_c,0.039528782167685135,-0.0,0.0
dudp_c,0.17188787162062508,-0.0,0.0
atp_c,1.797146958976141,-0.0,0.0
indole_c,0.009363220931432747,-0.0,0.0
eig3p_c,0.6053316169899966,-0.0,0.0
26dap__M_c,0.002932074540404616,-0.0,0.0
thf_c,0.09126804994829803,-0.0,0.0
orot5p_c,0.033144151511746635,-0.0,0.0
h_e,0.0010000000000000002,-0.0004031091803569511,0.0
gln__L_p,0.0010000000000000002,-0.00030715521036205474,0.0
glyc_p,0.0010000000000000002,-0.00014729425761877559,0.0
5caiz_c,9.999999999990525,-0.0,0.40173801272584736
mal__L_p,0.0010000000000000002,-0.00029047161173122643,0.0
3hcpalm9eACP_c,0.3081385308054937,-0.0,0.0
3ocpalm9eACP_c,0.37235204699816893,-0.0,0.0
butACP_c,0.3765677543931294,-0.0,0.0
dttp_c,0.03661974283654154,-0.0,0.0
lac__D_e,0.0010000000000000002,-0.00016966188514768075,0.0
trdox_c,0.0184650046302148,-0.0,0.0
3ig3p_c,1.2450624649364628,-0.0,0.0
sl26da_c,1.744339288989994,-0.0,0.0
3hoctACP_c,0.3275637619668558,-0.0,0.0
dctp_c,0.025212175497660545,-0.0,0.0
toctd2eACP_c,0.0010000000000000002,-0.0001678918896003733,0.0
grxrd_c,0.0010000000000000002,-0.00013931867226921483,0.0
ru5p__D_c,0.05124305027613487,-0.0,0.0
23dhmb_c,0.032988918944416704,-0.0,0.0
pran_c,0.3816877045713972,-0.0,0.0
glcn_c,0.0010000000000000002,-0.00018160154011455124,0.0
paps_c,0.05533653447430569,-0.0,0.0
utp_c,0.02938352122933385,-0.0,0.0
dhor__S_c,0.0010000000000037865,-0.09978244828823446,0.0
glyc_e,0.0010000000000000002,-0.0001496670135753168,0.0
4mop_c,10.000000000000002,-0.0,0.00019614773136989415
fdp_c,9.999999999968463,-0.0,0.12123640289440943
dtmp_c,0.29293910339158247,-0.0,0.0
gdp_c,0.03601961839374557,-0.0,0.0
o2_p,0.0010000000000000002,-0.00014729425761885723,0.0
datp_c,0.02814964530379693,-0.0,0.0
ppi_c,0.004914566161094629,-0.0,0.0
nadp_c,4.819378395711436,-0.0,0.0
glu__L_c,9.999999999928441,-0.0,0.05417810946441458
fum_c,0.016075409619783085,-0.0,0.0
akg_p,0.0010000000000000002,-0.00032207128827345827,0.0
acorn_c,0.023038571008853006,-0.0,0.0
glu5sa_c,0.0023476837932763822,-0.0,0.0
ile__L_c,0.03726693361521168,-0.0,0.0
ocACP_c,0.47839379653082986,-0.0,0.0
3dhq_c,1.5108347622587883,-0.0,0.0
hisp_c,0.08737578281778607,-0.0,0.0
so4_e,10.000000000000002,-0.0,0.00026571407182778695
glu__L_e,0.0010000000000000002,-0.0002534114080140532,0.0
cbp_c,0.39627461475225384,-0.0,0.0
3mob_c,0.1796811252173719,-0.0,0.0
suchms_c,0.029166466929072345,-0.0,0.0
tpalm2eACP_c,0.0061277730409602625,-0.0,0.0
3hpalmACP_c,0.304639933485386,-0.0,0.0
gln__L_c,9.994723693234398,-0.0,0.0
3c3hmp_c,4.081765379373393,-0.0,0.0
anth_c,0.3960791254576312,-0.0,0.0
pap_c,0.23164249462369935,-0.0,0.0
xmp_c,0.0456055961044899,-0.0,0.0
2cpr5p_c,0.035622240467298574,-0.0,0.0
rib__D_p,0.0010000000000000002,-0.00017371207117232465,0.0
xyl__D_p,0.13064792571046116,-0.0,0.0
octeACP_c,0.0010000000000000002,-0.0001599643266557656,0.0
3hhexACP_c,0.32771981892009394,-0.0,0.0
t3c5ddeceACP_c,0.00491735738212713,-0.0,0.0
co2_p,0.0010000000000000002,-0.0005559787656756763,0.0
ala__L_c,0.03942160350787614,-0.0,0.0
hco3_c,0.018471957048657096,-0.0,0.0
phe__L_c,0.05212967466708714,-0.0,0.0
mlthf_c,0.14342193683690932,-0.0,0.0
t3c7mrseACP_c,0.006556536642744649,-0.0,0.0
t3c11vaceACP_c,0.0010000000000000002,-0.00016793441322750967,0.0
1pyr5c_c,10.000000000000002,-0.0,0.0001832160208715728
acald_p,0.0010000000000000002,-0.00014729425761881657,0.0
2ippm_c,0.1504608127954385,-0.0,0.0
3psme_c,0.026331336840962553,-0.0,0.0
imacp_c,0.3710616991384748,-0.0,0.0
3c2hmp_c,0.01116882181413613,-0.0,0.0
pser__L_c,0.3779186123802061,-0.0,0.0
ocdcaACP_c,0.0010000000000000002,-0.00015998311379880828,0.0
gmp_c,0.26598837891995547,-0.0,0.0
3dhsk_c,0.08353188026542469,-0.0,0.0
acACP_c,0.0010000000000000002,-0.0003360588526271181,0.0
h2o_c,9.999999999594237,-0.0,0.011466066997852038
alac__S_c,0.24099356881872452,-0.0,0.0
dcdp_c,0.21339710761722475,-0.0,0.0
