,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.7554190308930515,-25.939353510626752,-1.557713089139795e-11,0.005610538883297448
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.007213143717216,-15.262796320273662,-3.380876425304256e-11,0.07891428425837671
NDPK6,-1.116819043431931,1.2768398971776587,-2.7656636144263897,-26.928161116310605,-1.4836171524641853e-11,0.00543381428065148
NDPK8,2.470121880555603,1.468695227213398,0.6259415437475786,-24.490555799959917,-1.6807270300424146e-11,0.00543381428065148
DHORTS,-10.159995690685856,1.69271636881096,-8.26495469831307,-6.140544541125806,-0.07307657520856008,-0.0686951996853973
OMPDC,-20.217801086482,8.614866047121478,-30.84344448338942,-36.40484237454039,-1.0190521973597968e-11,0.0686951996853973
G5SD,-5.246545077958815,1.6151493062298607,-5.570012081594927,-21.632319133887858,-1.9908217667108327e-11,0.045905824956409574
CS,-41.7647413632181,0.4373194541395671,-41.67659617347123,-35.556965561438744,-1.0484664443633147e-11,7.090434038634855
ICDHyr,5.370438197274959,3.186776651523545,-2.7795359353075355,-6.1405445411181585,-0.00719222366208709,4.861044523464985
ACALD,-24.12217866234657,1.200287252088607,-24.11902946607641,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.577817429857065,-43.33079722464526,-8.292569149911708e-12,0.6501828961544602
PPCK,11.24511860422278,3.1202021049407436,3.7796888446058254,-11.436713423798752,-5.823231017934296e-11,1.037752548220723
ME1,12.02202495252163,3.1183285669496845,4.240562066157949,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.16151315572203018,-11.050397039675557,-6.28182374544315e-11,-0.1211028702167101
XYLK,-27.236620458122992,2.025821481498066,-26.867554389683985,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.82540377814551,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.13015787807198,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.6044499170545308,-6.140544541256159,-0.0005372583272965889,-0.6076720110383098
FBP,-10.583442091823857,0.6920454485715519,-10.783705181756403,-6.140544541092409,-0.0064245995371538835,0.18039255534671775
PYK,-22.78899668038584,0.4235342514480188,-22.932433019225932,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.124252013277792,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.96493701135266,-14.893453854488746,-3.523578344791523e-11,-0.06033328094257409
DHORD5,-17.729929939256685,5.020368326411074,-15.728884057432053,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-2.2682365915690426,-20.079801978914126,-2.2125590759892474e-11,-0.08787677591641983
IPPMIb,-0.3962300459374679,1.9071124388522913,2.1708712051510446,-7.617891300542989,-2.087854062655282e-10,-0.09356041357778001
ORPT,1.2108551867651682,1.3111724612514968,3.0075613312159337,-18.81618682979518,-2.4330718810947784e-11,-0.0686951996853973
ACHBS,-15.050902596477629,4.9084195657957075,-30.0444452761459,-24.06664912319767,-1.720455646577462e-11,0.06033328094257409
DHAD2,-36.928288805961145,1.4003928194704445,-37.69433782644042,-30.720211689651794,-1.2547418078147081e-11,0.06033328094257409
ACLS,-23.710138174913144,3.725894435449142,-39.41386644844816,-20.852844660837942,-2.0963910305005525e-11,0.1815568056764843
TRPS2,-50.41493032159709,1.1219658203374536,-48.66226727416036,-47.893022884486676,-7.386627529950796e-12,0.011804414322214785
PSCVT,-15.8822649112314,2.2982377493227832,-22.08413379949097,-45.279548566214714,-7.879848868867303e-12,0.07891428425837671
PFL,-20.304440003005613,1.4892371754120148,-22.447479181840365,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-90.30531165011494,-117.24682734755224,-2.7757783954078115e-12,0.011804414322214785
FRD2,-34.11618196023463,5.2613095561662035,-37.542070613387814,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-65.85603769320474,-73.36329753014284,-4.587886921665565e-12,0.011804414322214785
CHORM,-48.72492478822781,4.638893640788395,-50.149521826634526,-45.3903701452416,-7.857694495577488e-12,0.06710986993616193
PTAr,9.38796214078124,0.6064527562024628,9.368154211303253,-9.976705599561821,-8.038061617148258e-11,-10.120560236389812
CHORS,-47.04605201378517,3.83007178688998,-46.694599003234025,-63.61091379786906,-5.366425329913776e-12,0.07891428425837671
IGPS,-69.86559323790038,6.010880862433656,-73.0148805213537,-72.18849595061174,-4.669497417007605e-12,0.011804414322214785
ACKr,14.689587668969322,0.5495866609458808,14.751947398732248,-9.50068304559348,-9.176256957849582e-11,10.120560236389812
LEUTAi,0.0378851604100653,1.5770213931779395,0.21740859144589741,-23.889936208349525,-1.7375408948488337e-11,0.09356041357778001
ENO,-3.894828445649712,0.30491038787315633,-3.5170788985774726,-6.140544541146153,-0.09262967950297467,-0.8660725919290153
FBA,24.8482998500812,0.5290407445154958,25.391903684274688,-6.140544541113366,-0.006373176393463377,-0.18039255534671775
HCO3E,-11.271494293581018,3.09608666382253,-2.956254955112234,-8.987807512226022,-1.0830322958679872e-10,0.724077661763535
IMPC,19.601761381729027,5.443840609638234,20.043305788784256,-11.899144497799451,-5.355364114966211e-11,-0.11245997804571325
IMPD,13.621260142547593,3.981784993950954,-1.0597498156251728,-18.466507307870405,-2.5020557490178506e-11,0.050371495761696194
PPS,-10.10998356341738,0.49798702929259925,-9.89799418072737,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.3126083396632975,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.209233231265046,-6.140544541111471,-0.06969867996397229,0.4981676879412005
PGL,-28.028150075730945,1.6588836067672512,-27.856709586024703,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-1.4919875534288831,-6.140544541129023,-0.026337301963673926,-0.16077051744447068
DHQTi,-5.29022208506048,2.0731456914217943,-7.009699136114338,-13.258959677226137,-4.332610203466981e-11,0.07891428425837671
IPMD,12.727272581854775,0.9862312728831625,11.233105748248363,-8.047614650100991,-1.6172394006326103e-10,0.09356041357778001
AIRC3,-30.403133552927944,6.027288685196741,-17.610441837714298,-6.140544541105096,-0.07632398990076916,-0.09278602339768299
TALA,-1.22089935842082,1.413281168711095,-1.56262547608981,-6.140544541135199,-0.0038655568785612316,-0.04092811659304698
ADSL2r,24.94399731095891,2.931870753584037,23.143457860359007,-6.140544541110287,-0.014974648159952015,0.09278602339768299
TKT1,-1.4790398321905602,2.3695192108329284,-2.274739725898904,-6.140544541133921,-0.0038684256790218552,-0.04092811659304698
RNDR1,-44.05985206166142,3.7376646440123507,-50.20389592659214,-34.3769878476121,-1.0922525958650402e-11,0.00543381428065148
ALCD2x,15.1675782723426,0.3233520540517112,15.145064921694864,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-42.94615228079707,-38.69893363374235,-9.472520598845548e-12,0.005610538883297448
RNDR4,-44.77765087473715,2.41206326929862,-44.5824648553046,-39.88375341122717,-9.139911551005311e-12,0.00543381428065148
TMDS,-45.29303434274883,2.941525033941928,-45.928523215504825,-54.807352327099224,-6.337146501892116e-12,0.00543381428065148
DHAD1,-36.93208668299586,1.4003928194704445,-37.698135703478556,-30.92326325164496,-1.2444778627777006e-11,0.1815568056764843
IPPMIa,-3.6899432044935088,1.9030338036478531,-7.004359846647467,-7.47696693726544,-2.30797947590809e-10,-0.09356041357778001
MDH,23.56590302868453,0.3048878319058892,23.39330624351816,-6.140544541142755,-0.01469615516042137,8.73585859789389
FUM,-3.4245366324884285,0.27824312126906164,-3.383848295099553,-6.14054454113125,-0.014923226936002473,7.084332782670427
KARA1,13.037042450146856,1.0110966471913134,11.629280566529463,-22.214169977469872,-1.918806052984729e-11,-0.1815568056764843
KARA2,-13.036798417898837,1.0110966471913134,-11.629036534283749,-22.316790036521173,-1.906571763315304e-11,0.06033328094257409
ACCOAC,-11.766443833325402,1.4948897800518903,-10.041553407664065,-26.905161730294896,-1.4852802341907204e-11,0.501170206405653
KAS14,12.118530018222684,3.198489611869459,3.228623226590825,-0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,8.867918445001443,-26.59398084003454,-1.50786614768816e-11,0.06142623227480175
AGPR,2.709816348528677,1.6151493062298605,3.0332833521671283,-16.25362596391218,-3.049744529331012e-11,-0.06142623227480175
ICL,8.908189443721632,1.3512250300488837,9.362923995527204,-9.119404550102306,-1.0352436169472397e-10,2.2293895151698706
GLYCL,19.14678069839955,4.066891938591214,13.792565880421947,-6.140544541146338,-0.0074991899401854805,0.011352115632954185
XYLI1,3.6677142494769672,0.5844606793432598,3.700862874944665,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-35.93368595593959,-0.0,,0.0
G3PT,-13.153781593684872,2.080885819035162,-13.023839235901788,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,13.430861837360201,-22.271790183730293,-1.9117942950833305e-11,0.05105326646732099
GHMT2r,-9.957203408221565,2.505303797996174,-4.387897957978842,-6.140544541145203,-0.007511374405398983,0.23136282424311758
DHORD2,-125.47329094192456,6.326652864064789,-125.29669913606352,-99.00353244724708,-3.3211509054914808e-12,0.0686951996853973
SDPDS,8.202807774280949,3.740924516468003,12.608160071612462,-9.448733994987435,-9.322902365346225e-11,0.07703385972610968
UMPK,0.6286235339385082,3.1922841504635695,1.5293277010132957,-20.578889871901374,-2.1360176583252613e-11,0.07850621863652085
CTPS2,-25.32586820693869,2.6309324725198056,-21.772707249318096,-80.06323792576,-4.172034531377667e-12,0.03333574246738435
NDPK7,3.826286680399003,2.4051831110564037,1.7636216627530281,-23.844527115215808,-1.742033740178257e-11,0.005610538883297448
TRPS3,19.166513454819093,2.9318707535840245,16.31558622379666,-12.902922100752473,-4.5607185842844914e-11,0.011804414322214785
ADK1,0.6038461671316752,0.15979053472263874,0.6764300859490362,-20.749087760271642,-2.1110892838622036e-11,0.4690239804176632
NDPK2,-0.587918266864579,1.2628586546322247,-1.3027057361703278,-25.668198259443386,-1.579334391137129e-11,0.08288342330699291
NDPK4,0.8343423475710136,2.6171935835279214,-3.945119719549627,-26.593801926689178,-1.507867822737431e-11,0.00543381428065148
ACODA,-7.001151736473133,3.4970619113237573,-7.774574287912519,-15.01419158441266,-3.475656957369305e-11,0.06142623227480175
ADSS,-7.201337183171485,2.132881548959369,-10.947745484726168,-24.442453359037653,-1.6851294333295402e-11,0.06208848228401706
ASNS2,-31.93719233992353,3.563898932730688,-30.69096308575039,-55.892944855926224,-6.198900924698486e-12,0.05005916461906453
ASPCT,-22.925011990612784,2.9318707535840582,-17.931113536734458,-27.752676893229633,-1.4270280015225913e-11,0.0686951996853973
MCOATA,9.337677216374436,1.59701121075709,6.541897165601178,-7.402792697201113,-2.4437917155425517e-10,0.501170206405653
DAPE,-1.6526074298638112,2.931870753584056,-0.3121756078409046,-9.877980446597071,-8.251822422681825e-11,0.07703385972610968
DHDPRy,-18.51619950121769,3.9391747710777167,-15.482067161510278,-20.071397468419484,-2.2138969070994127e-11,0.07703385972610968
