,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.161452230622153,-24.390764399862505,-2.801253749740521e-11,0.014614737272187941
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.151275963332177,-10.127968843108285,-1.2924443718059065e-10,0.2055616323936968
NDPK6,-1.116819043431931,1.2768398971776587,-2.366423490613612,-25.687600073097514,-2.615019111496696e-11,0.014154392251695957
NDPK8,2.470121880555603,1.468695227213398,0.9893477375574253,-23.01420858606461,-3.0303704515991344e-11,0.014154392251695957
DHORTS,-10.159995690685856,1.69271636881096,-8.128267442981123,-6.18106184020936,-0.08393755776896207,-0.17894222215469557
OMPDC,-20.217801086482,8.614866047121478,-23.548523502407924,-29.964844441515954,-2.1447329256315216e-11,0.17894222215469557
G5SD,-5.246545077958815,1.6151493062298607,-6.265848512416927,-15.596574095918113,-5.417813670481198e-11,0.11957881140406061
CS,-41.7647413632181,0.4373194541395671,-41.71399756235539,-39.664465672266424,-1.5234642234689376e-11,2.4209522496949183
ICDHyr,5.370438197274959,3.186776651523545,1.4484762777542137,-13.203254673916165,-7.26455653485937e-11,2.4209522496949183
ACALD,-24.12217866234657,1.200287252088607,-24.009006781232895,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.581611697075186,-45.18705051228223,-1.3077451139281735e-11,1.6936434099861148
PPCK,11.24511860422278,3.1202021049407436,7.974332409053849,-6.941089694011438,-6.706901057689416e-10,2.703212857313869
ME1,12.02202495252163,3.1183285669496845,8.532485495235814,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.14433127816390012,-19.687237698731508,-3.776868016362261e-11,-0.31545751093429497
XYLK,-27.236620458122992,2.025821481498066,-26.888819615964987,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.81646053638244,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.067795979772473,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.642757194567249,-6.181061840227496,-0.008922145591732392,-1.5829079833000292
FBP,-10.583442091823857,0.6920454485715519,-10.766565952914572,-6.457787858213857,-1.8435066969479812e-09,0.4698995688452225
PYK,-22.78899668038584,0.4235342514480188,-22.85898584282241,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.22290605118787,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.850186974005414,-19.244542441646228,-3.9048406521142663e-11,-0.15716049172563534
DHORD5,-17.729929939256685,5.020368326411074,-15.60614111474632,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.8678901409869475,-25.870643371032436,-2.590742488565983e-11,-0.22890777856807173
IPPMIb,-0.3962300459374679,1.9071124388522913,1.999475015128933,-7.605634527169014,-3.581182010989833e-10,-0.24371292882170878
ORPT,1.2108551867651682,1.3111724612514968,3.078074401049699,-18.18297797078676,-4.250090282204183e-11,-0.17894222215469557
ACHBS,-15.050902596477629,4.9084195657957075,-24.901308535496845,-19.866085197402395,-3.727505546270663e-11,0.15716049172563534
DHAD2,-36.928288805961145,1.4003928194704445,-37.73946467647473,-30.566185018166912,-2.0918744940507215e-11,0.15716049172563534
ACLS,-23.710138174913144,3.725894435449142,-34.384581376043016,-21.7362987775014,-3.279417416596292e-11,0.4729322922685154
TRPS2,-50.41493032159709,1.1219658203374536,-48.438160803518315,-47.81785918721346,-1.2251282842584047e-11,0.03074899177417845
PSCVT,-15.8822649112314,2.2982377493227832,-21.48916866456983,-45.238494328474836,-1.3060356558533472e-11,0.2055616323936968
PFL,-20.304440003005613,1.4892371754120148,-22.402585607824193,0.0,,0.0
