,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.770507207293491,-22.6532621412448,-1.6710847386435328e-11,0.023386645487096753
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.436398468198627,-14.724746597387684,-3.4931004763418416e-11,0.3289417341554841
NDPK6,-1.116819043431931,1.2768398971776587,-3.080978887683342,-23.329045404108307,-1.5999537401756176e-11,0.022649996884012792
NDPK8,2.470121880555603,1.468695227213398,0.5219721602518006,-21.442158563584673,-1.8157609154026434e-11,0.022649996884012792
DHORTS,-10.159995690685856,1.69271636881096,-11.620204153289109,-7.503734449638438,-4.995944131569041e-09,-0.2863450936041815
OMPDC,-20.217801086482,8.614866047121478,-55.044348742424496,-53.26011941841496,-5.545214722278019e-12,0.2863450936041815
G5SD,-5.246545077958815,1.6151493062298607,-5.16842946000406,-10.881990738249643,-7.407863646658754e-11,0.19135118326054606
CS,-41.7647413632181,0.4373194541395671,-41.75952651678215,-30.53261979930219,-1.1006057008544092e-11,6.7230735336523075
ICDHyr,5.370438197274959,3.186776651523545,-3.0757484388303595,-7.45299539778847,-0.012191392145833115,6.7230735336523075
ACALD,-24.12217866234657,1.200287252088607,-24.80755540148527,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.638231086904362,-17.836389639230685,-2.446346845808652e-11,2.710184745248839
PPCK,11.24511860422278,3.1202021049407436,2.972700937009445,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,3.681459078728655,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.3235752521402411,-16.633788881076395,-2.7667516960069356e-11,-0.5047981935673781
XYLK,-27.236620458122992,2.025821481498066,-27.723121936604656,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-33.950243127769596,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.336830019312316,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.669590477359975,-7.452995397787971,-0.017784747360458687,-2.5329848326853956
FBP,-10.583442091823857,0.6920454485715519,-11.205764567608094,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.850595956003776,-7.452995397787273,-0.036934218880883204,1.9670152508976781
GTHOr,-10.804371769086424,0.7839423603123944,-10.677114573639528,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.590895454551738,-21.32462895820566,-1.8311425402915645e-11,-0.25148975558799025
DHORD5,-17.729929939256685,5.020368326411074,-13.891817911799079,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.643931314209258,-28.370666438252318,-1.214327779424866e-11,-0.3663004655443179
IPPMIb,-0.3962300459374679,1.9071124388522913,2.8180521705548474,-9.268983355880698,-1.3987814118380725e-10,-0.3899918117462038
ORPT,1.2108551867651682,1.3111724612514968,0.8272068606440879,-21.525505439888068,-1.8050057400394532e-11,-0.2863450936041815
ACHBS,-15.050902596477629,4.9084195657957075,-25.408760909177097,-16.915429217061128,-2.684410894896259e-11,0.25148975558799025
DHAD2,-36.928288805961145,1.4003928194704445,-39.000552081657645,-39.34102949515841,-7.965650294185062e-12,0.25148975558799025
ACLS,-23.710138174913144,3.725894435449142,-31.906423662800012,-11.896214900320226,-5.716960442591134e-11,0.7567908784601767
TRPS2,-50.41493032159709,1.1219658203374536,-50.36792932226513,-57.575313713091944,-5.067778991315979e-12,0.049204837303292025
PSCVT,-15.8822649112314,2.2982377493227832,-20.665390903911916,-25.932707807558824,-1.3745274421165293e-11,0.3289417341554841
PFL,-20.304440003005613,1.4892371754120148,-20.73301152426357,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-89.88556608087649,-115.05339400519728,-2.360579901865448e-12,0.049204837303292025
