,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.5324841586999245,-17.729758441620554,-7.211311289856379e-12,0.004236412096375812
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.333862921342718,-7.918095348059588,-2.1549605293298423e-11,0.059586687725180235
NDPK6,-1.116819043431931,1.2768398971776587,-3.041577430422606,-18.844341129667157,-6.704588917302812e-12,0.004102970681932468
NDPK8,2.470121880555603,1.468695227213398,0.5266210556429369,-16.8134101507949,-7.68912709539712e-12,0.004102970681932468
DHORTS,-10.159995690685856,1.69271636881096,-10.33908641397544,-2.9833681812805417,-0.03872309672361994,-0.051870449695400556
OMPDC,-20.217801086482,8.614866047121478,-33.944211502301314,-38.2856379444979,-3.0123537205964187e-12,0.051870449695400556
G5SD,-5.246545077958815,1.6151493062298607,-5.356863403933322,-4.69286653278964,-6.220651686757015e-11,0.034662622643681945
CS,-41.7647413632181,0.4373194541395671,-41.822842273189735,-53.938065081627926,-2.086950802425158e-12,0.1679315511224102
ICDHyr,5.370438197274959,3.186776651523545,3.9927742756158118,-15.583603753886694,-8.439633085603022e-12,0.1679315511224102
ACALD,-24.12217866234657,1.200287252088607,-24.214174798921647,-2.9833681812759933,-0.08742106199822781,-8.810221870456461
PPA,-15.645520146360042,0.1909427924166485,-15.644889869546624,-20.109983109485967,-6.209082721816004e-12,0.49094084247866093
PPCK,11.24511860422278,3.1202021049407436,9.830169067472815,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,10.700552688189944,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.1597606244241483,-20.928508910990114,-5.925885744959498e-12,-0.091442493308303
XYLK,-27.236620458122992,2.025821481498066,-27.655454670983858,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.48435182578931,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.08483018622742,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.782611998976151,-2.9833681813895225,-0.0021099564047087774,-0.45884167487999794
FBP,-10.583442091823857,0.6920454485715519,-11.003538764099032,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.725371286699065,-3.2146654026857813,-4.5978581541241673e-10,8.752964004595345
GTHOr,-10.804371769086424,0.7839423603123944,-10.876174045485559,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-7.432411397200465,-19.975313803501297,-6.258310168848155e-12,-0.045556522557943825
DHORD5,-17.729929939256685,5.020368326411074,4.744353651310817,-7.206353824858341,-2.5181736927693776e-11,0.051870449695400556
VALTA,1.3419631592724537,3.4657441762217793,0.11596800491700421,-27.363018621017783,-4.361860861812144e-12,-0.066354096144153
IPPMIb,-0.3962300459374679,1.9071124388522913,2.6467228091400665,-5.297440057198743,-4.595412153096866e-11,-0.07064570374920573
ORPT,1.2108551867651682,1.3111724612514968,1.1524612689616145,-10.280589156716413,-1.4572926629476953e-11,-0.051870449695400556
ACHBS,-15.050902596477629,4.9084195657957075,-17.1072742736454,-18.103181851263283,-7.033234792482014e-12,0.045556522557943825
DHAD2,-36.928288805961145,1.4003928194704445,-38.301692151723984,-28.348384393264993,-4.192432114364998e-12,0.045556522557943825
ACLS,-23.710138174913144,3.725894435449142,-25.641859161519786,-20.222121194242394,-6.168764676412277e-12,0.13709011981664823
TRPS2,-50.41493032159709,1.1219658203374536,-49.16589300854862,-43.559687789593134,-2.6207505083505757e-12,0.008913290624210323
PSCVT,-15.8822649112314,2.2982377493227832,-20.45651001861247,-16.013153139787736,-8.161406152898564e-12,0.059586687725180235
PFL,-20.304440003005613,1.4892371754120148,-20.643155716430556,-3.1897143902497307,-5.1523078545611e-10,18.316630023236684
ANS,-112.6948381329536,7.57875929989724,-77.65472090903579,-87.60798785098132,-1.2565893372019226e-12,0.008913290624210323
FRD2,-34.11618196023463,5.2613095561662035,-56.4873040383784,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-67.61481663285619,-76.7285932648634,-1.442007726413651e-12,0.008913290624210323
CHORM,-48.72492478822781,4.638893640788395,-44.5704379562377,-38.04951403895664,-3.032622822528049e-12,0.05067339710096991
PTAr,9.38796214078124,0.6064527562024628,9.383357649734997,-8.052010621925918,-2.0979919053097266e-11,8.733855434481393
CHORS,-47.04605201378517,3.83007178688998,-46.19779516746739,-48.73592589696962,-2.32429951303068e-12,0.059586687725180235
IGPS,-69.86559323790038,6.010880862433656,-69.07304084678954,-67.1349294517553,-1.65761291972259e-12,0.008913290624210323
ACKr,14.689587668969322,0.5495866609458808,14.72547567510966,-6.281798713138876,-3.223930820044292e-11,-8.733855434481393
LEUTAi,0.0378851604100653,1.5770213931779395,0.19952306072330828,-29.50511434106138,-4.0094780951835956e-12,0.07064570374920573
ENO,-3.894828445649712,0.30491038787315633,-3.843023995013338,-3.181807425872709,-5.360659612247124e-10,19.34604491990777
FBA,24.8482998500812,0.5290407445154958,24.208772225727348,-2.9833681812794857,-0.04688819227196379,9.863788983649682
HCO3E,-11.271494293581018,3.09608666382253,-9.772359981523895,-13.17424899373862,-1.043492464668386e-11,0.5467373863395522
IMPC,19.601761381729027,5.443840609638234,33.78827247472412,-15.071285134076986,-8.797235777024643e-12,-0.08491640843435917
IMPD,13.621260142547593,3.981784993950954,3.4158654816756338,-18.818331618820928,-6.7155485848575214e-12,0.038034566446490004
PPS,-10.10998356341738,0.49798702929259925,-10.194610735351555,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.4469429612659526,-3.1897714675464823,-5.151336006708414e-10,10.0
PGK,19.543984097843225,0.44127734067909075,19.58193272192795,-2.9833681812770076,-0.09368515608754201,-19.623842974246145
PGL,-28.028150075730945,1.6588836067672512,-27.80879578818013,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-3.5971387042703036,-3.1782613604340457,-5.456364291903575e-10,-0.12139478560070348
DHQTi,-5.29022208506048,2.0731456914217943,-6.251928155652087,-7.868597131679931,-2.1767982694782592e-11,0.059586687725180235
IPMD,12.727272581854775,0.9862312728831625,10.76728394563905,-5.914522973037257,-3.627959835636581e-11,0.07064570374920573
AIRC3,-30.403133552927944,6.027288685196741,-20.767618197540923,-2.9833681812758432,-0.15579759044996216,-0.07006097632914943
TALA,-1.22089935842082,1.413281168711095,-1.3655445738588856,-4.595280516950918,-6.5968655379139e-11,-0.03090404893776104
ADSL2r,24.94399731095891,2.931870753584037,28.24320165644263,-2.9833681813944093,-0.002455187927541449,0.07006097632914943
TKT1,-1.4790398321905602,2.3695192108329284,0.7492316174340132,-4.743128227593575,-6.042521469866519e-11,-0.03090404893776104
RNDR1,-44.05985206166142,3.7376646440123507,-46.61991774298097,-27.270029350954545,-4.378581577830953e-12,0.004102970681932468
ALCD2x,15.1675782723426,0.3233520540517112,15.15699882814911,-2.983368181275981,-0.08742039088592692,-8.810221870456461
RNDR3,-40.58892126572215,2.943661042715291,-41.048688303655666,-27.790249970985368,-4.286767046506854e-12,0.004236412096375812
RNDR4,-44.77765087473715,2.41206326929862,-43.424110532407106,-28.780673648300606,-4.122226534253646e-12,0.004102970681932468
TMDS,-45.29303434274883,2.941525033941928,-44.1782186921516,-41.39846131181167,-2.7682120737506713e-12,0.004102970681932468
DHAD1,-36.93208668299586,1.4003928194704445,-38.30549002875865,-27.956304236353205,-4.2582622541054914e-12,0.13709011981664823
IPPMIa,-3.6899432044935088,1.9030338036478531,-7.121745685622871,-5.412439043402143,-4.3778519124315715e-11,-0.07064570374920573
MDH,23.56590302868453,0.3048878319058892,23.595754907365748,-2.9833681813957935,-0.0021470956526534585,0.16332460781293395
