,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-3.1227702483514665,-21.09375386093142,-5.718833086983345e-11,0.01331254941196751
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.242351343469835,-9.225900881060602,-3.332328921078435e-10,0.18724588321224792
NDPK6,-1.116819043431931,1.2768398971776587,-4.136811441409364,-21.76029129395887,-5.4646413103375634e-11,0.01289322159801391
NDPK8,2.470121880555603,1.468695227213398,-0.5246008089643754,-19.817633949285785,-6.278166698084893e-11,0.01289322159801391
DHORTS,-10.159995690685856,1.69271636881096,-11.512925789065497,-7.423573180658892,-1.2480734704265272e-09,-0.1629982893264164
OMPDC,-20.217801086482,8.614866047121478,-50.823536186378206,-46.45316494496732,-2.0644752157538818e-11,0.1629982893264164
G5SD,-5.246545077958815,1.6151493062298607,-4.768862625085712,-8.342264278097705,-5.203443308058831e-10,0.10892421846476211
CS,-41.7647413632181,0.4373194541395671,-41.79140341835254,-40.03325054459158,-2.4628730216770512e-11,3.0962530634331014
ICDHyr,5.370438197274959,3.186776651523545,1.0179974864065695,-13.04531099245895,-1.3053465511674509e-10,3.0962530634331014
ACALD,-24.12217866234657,1.200287252088607,-24.572199157285205,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.642778316695187,-39.94086743037997,-2.4696809796803686e-11,1.5427380706049298
PPCK,11.24511860422278,3.1202021049407436,6.608597608348755,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,7.365249766757452,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.29138089746425244,-14.355468530840247,-1.079777639361309e-10,-0.287349927916999
XYLK,-27.236620458122992,2.025821481498066,-27.451305039701403,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-35.74147399193146,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-16.503655684093253,-33.71000294295091,-3.0408794398770606e-11,10.0
ASPTA,2.848671533336056,0.5435878302628501,2.5046672966168213,-6.767540465190643,-0.0012098479582710977,-1.4418692823428725
FBP,-10.583442091823857,0.6920454485715519,-11.018089835306064,-7.089407479802034,-2.546396713775324e-09,0.42803104239298195
PYK,-22.78899668038584,0.4235342514480188,-22.78980952053704,-6.767540465110283,-0.04243533999530729,6.081299946827909
GTHOr,-10.804371769086424,0.7839423603123944,-10.646818685351251,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.120145103882606,-18.984027828837363,-6.706542342103303e-11,-0.14315733309062845
DHORD5,-17.729929939256685,5.020368326411074,-14.72801581179495,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-0.7020362010904595,-25.703115892138204,-4.326786272142481e-11,-0.2085118641694857
IPPMIb,-0.3962300459374679,1.9071124388522913,2.436602834549293,-9.865998612988754,-2.644220534749043e-10,-0.22199786057382886
ORPT,1.2108551867651682,1.3111724612514968,0.824536301397881,-18.810086365930108,-6.803310345164972e-11,-0.1629982893264164
ACHBS,-15.050902596477629,4.9084195657957075,-21.194772858033552,-10.664420079727044,-2.1024300293691264e-10,0.14315733309062845
DHAD2,-36.928288805961145,1.4003928194704445,-39.36057247427768,-38.489602212889984,-2.5827291516844338e-11,0.14315733309062845
ACLS,-23.710138174913144,3.725894435449142,-29.51554540535283,-6.767540465110946,-0.002903087196157109,0.4307935470944747
TRPS2,-50.41493032159709,1.1219658203374536,-50.314296427517846,-59.94510329434639,-1.5406709062686676e-11,0.028009225532978094
PSCVT,-15.8822649112314,2.2982377493227832,-21.56347516506824,-34.83416321282291,-2.9190481819483275e-11,0.18724588321224792
PFL,-20.304440003005613,1.4892371754120148,-20.8204727752704,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-94.41166338186895,-122.00352159825303,-7.109609781514778e-12,0.028009225532978094
FRD2,-34.11618196023463,5.2613095561662035,-37.39047553347794,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-66.86377221587391,-75.61848320937015,-1.1899463865939077e-11,0.028009225532978094
CHORM,-48.72492478822781,4.638893640788395,-48.62453723621692,-45.87435948761503,-2.0950268398725136e-11,0.1592366576792698
PTAr,9.38796214078124,0.6064527562024628,9.415258799967845,-7.12316833225007,-2.311661328060151e-09,-0.28606237964651826
CHORS,-47.04605201378517,3.83007178688998,-46.624928562541896,-64.22014731595124,-1.4260221457311354e-11,0.18724588321224792
IGPS,-69.86559323790038,6.010880862433656,-73.91592258150237,-77.31023660241176,-1.1614075398491293e-11,0.028009225532978094
ACKr,14.689587668969322,0.5495866609458808,14.723528457645028,-7.095609068765273,-2.5083615647236928e-09,0.28606237964651826
LEUTAi,0.0378851604100653,1.5770213931779395,0.13778483617962678,-28.306755701901682,-3.8036673058048114e-11,0.22199786057382886
ENO,-3.894828445649712,0.30491038787315633,-3.88308582316127,-6.767540465109094,-0.042062619931357285,7.945004140559654
FBA,24.8482998500812,0.5290407445154958,24.22167462218624,-7.109884585236656,-2.3971115718983526e-09,-0.42803104239298195
HCO3E,-11.271494293581018,3.09608666382253,-6.581210530371029,-8.483727908055512,-4.771299244014128e-10,1.7180737627583387
IMPC,19.601761381729027,5.443840609638234,28.95903747028907,-26.677491983517644,-4.114870468276065e-11,-0.2668422848042531
IMPD,13.621260142547593,3.981784993950954,0.4629876094725116,-29.247750471991964,-3.6444696100041087e-11,0.11952025290807371
PPS,-10.10998356341738,0.49798702929259925,-10.172076397753601,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.618479579327501,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.568283589405013,-6.767540465108779,-0.042343329011166865,-8.817959896703385
PGL,-28.028150075730945,1.6588836067672512,-27.839296847543167,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-0.8981122752801678,-6.7675404651094855,-0.053799736530106154,-0.3814723508714219
DHQTi,-5.29022208506048,2.0731456914217943,-6.521119091231879,-14.10573564221968,-1.1164341223500472e-10,0.18724588321224792
IPMD,12.727272581854775,0.9862312728831625,10.275624171061226,-19.415802205142008,-6.477550944207196e-11,0.22199786057382886
AIRC3,-30.403133552927944,6.027288685196741,-16.9834459137125,-6.7675404651082225,-0.17047305150363704,-0.22016040649833543
TALA,-1.22089935842082,1.413281168711095,-1.1308417847772567,-6.767540465112122,-0.007798781922899658,-0.097113233829587
ADSL2r,24.94399731095891,2.931870753584037,21.120252622672602,-6.767540465109107,-0.031546274377618214,0.22016040649833543
TKT1,-1.4790398321905602,2.3695192108329284,-1.4194109234269199,-6.76754046511214,-0.007806436674301,-0.097113233829587
RNDR1,-44.05985206166142,3.7376646440123507,-51.06450185760693,-32.54101705839164,-3.178870745097407e-11,0.01289322159801391
ALCD2x,15.1675782723426,0.3233520540517112,15.153092602443321,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-42.88421049697062,-33.56923115811738,-3.056883418246939e-11,0.01331254941196751
RNDR4,-44.77765087473715,2.41206326929862,-44.15509554321009,-33.30094779658056,-3.087810212064316e-11,0.01289322159801391
TMDS,-45.29303434274883,2.941525033941928,-46.84160941157709,-51.11482090020277,-1.847449913289792e-11,0.01289322159801391
DHAD1,-36.93208668299586,1.4003928194704445,-39.364370351312274,-34.759140385682656,-2.926920880235977e-11,0.4307935470944747
