,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.1614506257051644,-24.17456137993005,-3.937844608845613e-11,0.010098494468397607
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.151276445401699,-10.192294532458378,-1.7664759700904773e-10,0.14203902328048873
NDPK6,-1.116819043431931,1.2768398971776587,-2.3664220995898084,-25.444804641245454,-3.678183254902234e-11,0.009780405161938475
NDPK8,2.470121880555603,1.468695227213398,0.9893492418345762,-22.886940663037088,-4.2413940859633117e-11,0.009780405161938475
DHORTS,-10.159995690685856,1.69271636881096,-8.12826804686606,-6.181061838104998,-0.08384069924049363,-0.12364553716821212
OMPDC,-20.217801086482,8.614866047121478,-23.54853445688206,-30.650995019193267,-2.895615679498602e-11,0.12364553716821212
G5SD,-5.246545077958815,1.6151493062298607,-6.265851796124744,-15.513299284384546,-7.59274171310794e-11,0.08262659417076779
CS,-41.7647413632181,0.4373194541395671,-41.713997288646695,-39.94516896819086,-2.0985746354820116e-11,4.76302786996891
ICDHyr,5.370438197274959,3.186776651523545,1.448475138407069,-13.506145512882318,-9.672817714816166e-11,3.6582880097516552
ACALD,-24.12217866234657,1.200287252088607,-24.009006434505398,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.581611895689283,-45.65973066155386,-1.794776031722958e-11,1.1702741067901747
PPCK,11.24511860422278,3.1202021049407436,7.974330413538365,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,8.532483501980497,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.14433095043780142,-20.372616743452795,-4.992855626080464e-11,-0.21797490230951921
XYLK,-27.236620458122992,2.025821481498066,-26.888820194264284,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.81646029498528,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.067796026423668,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.6427571548139923,-6.181061838138383,-0.008994829764913455,-1.0937581165935408
FBP,-10.583442091823857,0.6920454485715519,-10.766565988664247,-6.642100936593982,-1.5371128712906557e-09,0.3246913104429333
PYK,-22.78899668038584,0.4235342514480188,-22.85898563419116,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.222905778386682,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.850185434000485,-19.143746744611445,-5.466174390351979e-11,-0.10859479214602244
DHORD5,-17.729929939256685,5.020368326411074,-15.606141835356835,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.8678892375901057,-25.771121419805727,-3.6169385757226766e-11,-0.15817074864848313
IPPMIb,-0.3962300459374679,1.9071124388522913,1.999476954905763,-7.576659143861164,-5.07763276029e-10,-0.1684008147219026
ORPT,1.2108551867651682,1.3111724612514968,3.0780744963029347,-18.14430103329866,-5.922740464748533e-11,-0.12364553716821212
ACHBS,-15.050902596477629,4.9084195657957075,-24.90131006258561,-20.526694074540604,-4.9392285221202433e-11,0.10859479214602244
DHAD2,-36.928288805961145,1.4003928194704445,-37.73946684925325,-30.687736226714684,-2.8912956760268248e-11,0.10859479214602244
ACLS,-23.710138174913144,3.725894435449142,-34.38458155430784,-23.104577162506427,-4.186896127566119e-11,0.32678686236042154
TRPS2,-50.41493032159709,1.1219658203374536,-48.43816049430397,-47.83698384980571,-1.700979391881602e-11,0.021246945296188518
PSCVT,-15.8822649112314,2.2982377493227832,-21.489170640687544,-45.616705105788974,-1.7967456794681457e-11,0.14203902328048873
PFL,-20.304440003005613,1.4892371754120148,-22.402585056615422,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-90.32548698125832,-105.66883886047943,-7.121971702698452e-12,0.021246945296188518
FRD2,-34.11618196023463,5.2613095561662035,-37.64848375720209,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-64.75751131353918,-72.4312467373518,-1.0695142040163935e-11,0.021246945296188518
CHORM,-48.72492478822781,4.638893640788395,-50.860870076340106,-45.875723211025374,-1.7850325550490658e-11,0.12079207798430022
PTAr,9.38796214078124,0.6064527562024628,9.367307217340043,-10.177034707769675,-1.7732948238226218e-10,-0.21699820741190437
CHORS,-47.04605201378517,3.83007178688998,-47.723752322921584,-65.51219043046234,-1.1942455341832842e-11,0.14203902328048873
IGPS,-69.86559323790038,6.010880862433656,-72.29288563301995,-71.59044795948219,-1.0832622683107881e-11,0.021246945296188518
ACKr,14.689587668969322,0.5495866609458808,14.766660308322576,-10.182380666931778,-1.7709314324014048e-10,0.21699820741190437
LEUTAi,0.0378851604100653,1.5770213931779395,0.20008394962200882,-29.49673352847492,-3.0389574969115355e-11,0.1684008147219026
ENO,-3.894828445649712,0.30491038787315633,-3.5472310679110377,-6.181061838101243,-0.09772184542524592,-1.5588572614410636
FBA,24.8482998500812,0.5290407445154958,25.396832777176282,-6.577935568430443,-1.7873248665798162e-09,-0.3246913104429333
HCO3E,-11.271494293581018,3.09608666382253,-7.392301765488602,-12.228598414610444,-1.1716120515599089e-10,1.303278421931505
IMPC,19.601761381729027,5.443840609638234,20.73474438644901,-12.24918398351832,-1.1676764312174534e-10,-0.2024184289305201
IMPD,13.621260142547593,3.981784993950954,-0.4050010830794477,-18.809034198572142,-5.610982106325005e-11,0.09066442313210407
PPS,-10.10998356341738,0.49798702929259925,-9.994500497744959,-47.3629713346619,-1.720560353500999e-11,1.867866632021811
PGI,2.416048750882083,0.3826657823618915,2.3576942912564296,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.264033474744124,-6.181061838101507,-0.06213579056969567,0.8966596160637967
PGL,-28.028150075730945,1.6588836067672512,-27.74609021284377,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-1.4232290502606215,-6.181061838128586,-0.031653354970165117,-0.28937330528581173
DHQTi,-5.29022208506048,2.0731456914217943,-7.0452885384875215,-10.789804657727874,-1.5374623418476666e-10,0.14203902328048873
IPMD,12.727272581854775,0.9862312728831625,11.544362040366162,-8.018992334849074,-3.8554252263445315e-10,0.1684008147219026
AIRC3,-30.403133552927944,6.027288685196741,-17.569924540709383,-6.181061838102393,-0.08517215099051004,-0.1670069780311955
TALA,-1.22089935842082,1.413281168711095,-1.544725702098006,-6.181061838188752,-0.004829176924392691,-0.07366714100266153
ADSL2r,24.94399731095891,2.931870753584037,22.183263266644676,-6.181061838118457,-0.018265444468078568,0.1670069780311955
TKT1,-1.4790398321905602,2.3695192108329284,-2.239846111937778,-6.181061838172146,-0.004822796188649949,-0.07366714100266153
RNDR1,-44.05985206166142,3.7376646440123507,-49.79071773368728,-26.528525636174525,-3.482324495440598e-11,0.009780405161938475
ALCD2x,15.1675782723426,0.3233520540517112,15.155168046636442,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-43.0502250662195,-31.080331747130607,-2.845701228006436e-11,0.010098494468397607
RNDR4,-44.77765087473715,2.41206326929862,-44.610701264961484,-32.21826896990723,-2.721323909818987e-11,0.009780405161938475
TMDS,-45.29303434274883,2.941525033941928,-45.44599472942813,-46.32376341206354,-1.7650948245376553e-11,0.009780405161938475
DHAD1,-36.93208668299586,1.4003928194704445,-37.743264726286725,-30.430320683888905,-2.9219980963180574e-11,0.32678686236042154
IPPMIa,-3.6899432044935088,1.9030338036478531,-6.773679528853123,-7.412769664786618,-5.753384613470036e-10,-0.1684008147219026
MDH,23.56590302868453,0.3048878319058892,23.41713872265781,-6.1810618381176665,-0.017443208171875172,5.856785986562452
FUM,-3.4245366324884285,0.27824312126906164,-3.39530894475344,-6.18106183811937,-0.01801766405840219,4.7520461263451965
KARA1,13.037042450146856,1.0110966471913134,11.929292492421066,-15.429441034290482,-7.661613313324799e-11,-0.32678686236042154
KARA2,-13.036798417898837,1.0110966471913134,-11.929048460169716,-15.092261125433582,-7.951412181589917e-11,0.10859479214602244
ACCOAC,-11.766443833325402,1.4948897800518903,-9.791307268830899,-31.36939412216936,-2.8130644518658136e-11,0.9020638948212166
