,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.16146163416715,-23.944402544959527,-4.623861886193223e-11,0.008385059785471887
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.15127800901478,-10.025092461418946,-2.136726731750433e-10,0.11793893691817964
NDPK6,-1.116819043431931,1.2768398971776587,-2.3664294242653234,-25.330590685671332,-4.289151985224082e-11,0.008120941420093179
NDPK8,2.470121880555603,1.468695227213398,0.9893419873972888,-22.62708602831067,-4.994254471964316e-11,0.008120941420093179
DHORTS,-10.159995690685856,1.69271636881096,-8.128275140809109,-6.1810618381728935,-0.08395270942375478,-0.10266631571733253
OMPDC,-20.217801086482,8.614866047121478,-23.54862662708083,-30.14197358047708,-3.427881560983131e-11,0.10266631571733253
G5SD,-5.246545077958815,1.6151493062298607,-6.265856678653577,-15.704895777850037,-8.624287287681182e-11,0.06860715071538247
CS,-41.7647413632181,0.4373194541395671,-41.713998760542246,-39.865652803584304,-2.4383775273371494e-11,5.651596924414773
ICDHyr,5.370438197274959,3.186776651523545,1.4484484720083692,-13.526958513947058,-1.1180871266484371e-10,4.734300806235545
ACALD,-24.12217866234657,1.200287252088607,-24.009005762254823,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.581611900987731,-46.02503915945517,-2.0614224441800166e-11,0.97171101905673
PPCK,11.24511860422278,3.1202021049407436,7.974301002692206,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,8.532453606012918,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.14432972854702442,-23.02259690273941,-4.876969533508685e-11,-0.1809906014522708
XYLK,-27.236620458122992,2.025821481498066,-26.88882279926259,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.81646573922215,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.067798140791513,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.642755313155444,-6.1810618381884535,-0.008992639134425207,-0.9081776721453567
FBP,-10.583442091823857,0.6920454485715519,-10.766567537010037,-6.640069093199383,-1.7894981192995418e-09,0.2696001922273922
PYK,-22.78899668038584,0.4235342514480188,-22.858985605748515,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.222904520613756,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.850176707841676,-19.120662579497857,-6.347619371284625e-11,-0.09016926507063559
DHORD5,-17.729929939256685,5.020368326411074,-15.606145498707408,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.8678850623275842,-25.845720438796352,-4.176808602455852e-11,-0.13133355549986508
IPPMIb,-0.3962300459374679,1.9071124388522913,1.9994902768449485,-7.652434576246518,-5.582479723049306e-10,-0.13982786283482382
ORPT,1.2108551867651682,1.3111724612514968,3.078073654172096,-18.243254136272686,-6.809278170996637e-11,-0.10266631571733253
ACHBS,-15.050902596477629,4.9084195657957075,-24.901337180588506,-22.818651290487768,-4.9367537370485795e-11,0.09016926507063559
DHAD2,-36.928288805961145,1.4003928194704445,-37.73947969474322,-30.761252652501284,-3.341535210799177e-11,0.09016926507063559
ACLS,-23.710138174913144,3.725894435449142,-34.38461010350761,-28.9235821709573,-3.611557615417763e-11,0.271340187052031
TRPS2,-50.41493032159709,1.1219658203374536,-48.43816375473535,-47.73620604795804,-1.9765421583308523e-11,0.01764192743034306
PSCVT,-15.8822649112314,2.2982377493227832,-21.48919600299346,-45.69811146696432,-2.0784825948107534e-11,0.11793893691817964
PFL,-20.304440003005613,1.4892371754120148,-22.4025880232579,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-90.32547288684415,-103.20522823240897,-8.465395627542855e-12,0.01764192743034306
FRD2,-34.11618196023463,5.2613095561662035,-37.64847828429136,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-64.75751882558875,-71.98726188108823,-1.2481397798998405e-11,0.01764192743034306
CHORM,-48.72492478822781,4.638893640788395,-50.860863774059425,-46.042124223623475,-2.060550294942384e-11,0.10029700948783657
PTAr,9.38796214078124,0.6064527562024628,9.36730725009522,-10.302520008936586,-1.9929516968822747e-10,-0.18017962461468987
CHORS,-47.04605201378517,3.83007178688998,-47.72375859208006,-65.52354782925953,-1.384093503953412e-11,0.11793893691817964
IGPS,-69.86559323790038,6.010880862433656,-72.29289206535431,-71.61176442564785,-1.2553023616467252e-11,0.01764192743034306
ACKr,14.689587668969322,0.5495866609458808,14.76666247032768,-10.081689038292703,-2.1057878883835314e-10,0.18017962461468987
LEUTAi,0.0378851604100653,1.5770213931779395,0.20008648044770538,-29.23216236357211,-3.563174542677446e-11,0.13982786283482382
ENO,-3.894828445649712,0.30491038787315633,-3.5472312306476685,-6.181061838167361,-0.09768653316896102,-1.2943623799671773
FBA,24.8482998500812,0.5290407445154958,25.396839338883556,-6.718645541482722,-1.528377388308047e-09,-0.2696001922273922
HCO3E,-11.271494293581018,3.09608666382253,-7.392275002943325,-11.526073670235363,-1.5366587844959366e-10,1.0821481874560273
IMPC,19.601761381729027,5.443840609638234,20.73474525347674,-12.266222264502103,-1.3497606490766662e-10,-0.1680736305372347
IMPD,13.621260142547593,3.981784993950954,-0.4049882489037877,-18.815046494431314,-6.501129246492897e-11,0.07528118282948792
PPS,-10.10998356341738,0.49798702929259925,-9.994501688793207,-50.52986889262563,-1.8520346995282593e-11,1.5509414229818679
PGI,2.416048750882083,0.3826657823618915,2.357692474010596,0.0,,0.0
PGK,19.543984097843225,0.44127734067909075,19.264032904370296,-6.181061838170355,-0.06203330234476353,0.7445213255740217
PGL,-28.028150075730945,1.6588836067672512,-27.746086872400692,-0.0,,0.0
RPE,-3.390614099653265,1.1537200194917536,-1.423225115387634,-6.18106183821085,-0.03166507854533853,-0.24027467388673007
DHQTi,-5.29022208506048,2.0731456914217943,-7.045291579272129,-10.726386340916292,-1.807054424708698e-10,0.11793893691817964
IPMD,12.727272581854775,0.9862312728831625,11.544358444184263,-7.945838356367612,-4.654223916473669e-10,0.13982786283482382
AIRC3,-30.403133552927944,6.027288685196741,-17.569924540615162,-6.181061838201106,-0.08523980125741316,-0.13867052160744844
TALA,-1.22089935842082,1.413281168711095,-1.5447287206701787,-6.18106183822405,-0.004829643051347926,-0.06116786848427522
ADSL2r,24.94399731095891,2.931870753584037,22.183253526701407,-6.181061838179911,-0.018285149746258285,0.13867052160744844
TKT1,-1.4790398321905602,2.3695192108329284,-2.2398470281103062,-6.181061838201154,-0.0048223560927940865,-0.06116786848427522
RNDR1,-44.05985206166142,3.7376646440123507,-49.7907344250697,-27.101455085416923,-3.926111223576953e-11,0.008120941420093179
ALCD2x,15.1675782723426,0.3233520540517112,15.155167753561608,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-43.05023661106942,-31.507168712359483,-3.2431141820693776e-11,0.008385059785471887
RNDR4,-44.77765087473715,2.41206326929862,-44.610704677076654,-32.885276197195004,-3.075743594414163e-11,0.008120941420093179
TMDS,-45.29303434274883,2.941525033941928,-45.44598815789294,-45.99561255319487,-2.062948670833077e-11,0.008120941420093179
DHAD1,-36.93208668299586,1.4003928194704445,-37.743277571777725,-30.493835722871296,-3.3782949502908004e-11,0.271340187052031
IPPMIa,-3.6899432044935088,1.9030338036478531,-6.773693490913184,-7.4289484736514115,-6.582257238923832e-10,-0.13982786283482382
MDH,23.56590302868453,0.3048878319058892,23.417138209045866,-6.181061838182037,-0.017530930730480555,6.55977459656013
FUM,-3.4245366324884285,0.27824312126906164,-3.3953087024602837,-6.181061838175664,-0.018036484066964203,5.6424784783809026
KARA1,13.037042450146856,1.0110966471913134,11.929288415997293,-15.540665353413681,-8.77562037300458e-11,-0.271340187052031
KARA2,-13.036798417898837,1.0110966471913134,-11.929044383747025,-15.180198502281817,-9.12707952225587e-11,0.09016926507063559
ACCOAC,-11.766443833325402,1.4948897800518903,-9.79130701774142,-32.143624249664654,-3.163623706103851e-11,0.7490086479783684
KAS14,12.118530018222684,3.198489611869459,7.611571477177937,0.0,,0.0
ARGSS,10.457588719715206,4.514448690304906,9.64824481505164,-32.976505714486315,-3.0652821056762515e-11,0.09180270215287784
AGPR,2.709816348528677,1.6151493062298605,3.7291279492242424,-11.60808071997968,-1.5134817043774172e-10,-0.09180270215287784
ICL,8.908189443721632,1.3512250300488837,9.647674724329004,-7.712152146178434,-5.365110854610424e-10,0.9172961181792276
GLYCL,19.14678069839955,4.066891938591214,18.139676023919876,-6.181061838189657,-0.009156910884743769,0.016965958217893595
XYLI1,3.6677142494769672,0.5844606793432598,3.707235131281378,0.0,,0.0
PPC,-43.54025268089428,3.111905155070555,-40.151522433146155,-0.0,,0.0
G3PT,-13.153781593684872,2.080885819035162,-13.109423289662406,-0.0,,0.0
SADT2,16.1094509536888,1.7851184624010197,12.875322204253063,-21.601391260321055,-5.326384118808419e-11,0.07630010244586666
GHMT2r,-9.957203408221565,2.505303797996174,-4.420055178710109,-6.181061838189608,-0.00917666836617751,0.34577625318477967
DHORD2,-125.47329094192456,6.326652864064789,-125.55480738455408,-99.9310937612195,-8.761086014865312e-12,0.10266631571733253
SDPDS,8.202807774280949,3.740924516468003,12.157726828886204,-10.191084347958276,-2.0482831999691293e-10,0.11512860578010183
UMPK,0.6286235339385082,3.1922841504635695,1.139228765314896,-19.22521104102204,-6.296664668145562e-11,0.11732907488766359
CTPS2,-25.32586820693869,2.6309324725198056,-21.454320165310847,-75.3960302886845,-1.1866674893843757e-11,0.049820917276636
NDPK7,3.826286680399003,2.4051831110564037,2.3738903619367946,-22.075655859397475,-5.167505876014507e-11,0.008385059785471887
TRPS3,19.166513454819093,2.9318707535840245,17.17868378849085,-11.927099960537037,-1.429424638458368e-10,0.01764192743034306
ADK1,0.6038461671316752,0.15979053472263874,0.6762658641020813,-19.68958475029931,-6.080160544875143e-11,2.2519069092616157
NDPK2,-0.587918266864579,1.2628586546322247,-1.4460591324649883,-24.703082321255003,-4.434460209781926e-11,0.12387089263790145
NDPK4,0.8343423475710136,2.6171935835279214,-3.6526317453125827,-25.311255654252964,-4.293492335605845e-11,0.008120941420093179
ACODA,-7.001151736473133,3.4970619113237573,-7.8804862194005745,-13.536138269919991,-1.1167155456073699e-10,0.09180270215287784
ADSS,-7.201337183171485,2.132881548959369,-11.15913619535764,-33.5839967817553,-2.9973295816682757e-11,0.09279244770774679
ASNS2,-31.93719233992353,3.563898932730688,-30.645130874145572,-84.14304122086156,-1.0535364178250529e-11,0.07481439784531686
ASPCT,-22.925011990612784,2.9318707535840582,-18.165634984827634,-36.21961259695724,-2.7343394311280434e-11,0.10266631571733253
MCOATA,9.337677216374436,1.59701121075709,6.376220010583577,-6.857311161007996,-1.2147528574203885e-09,0.7490086479783684
DAPE,-1.6526074298638112,2.931870753584056,-0.5374630099720079,-10.547406562731076,-1.8811147416498034e-10,0.11512860578010183
DHDPRy,-18.51619950121769,3.9391747710777167,-15.428415891618942,-13.612984768683742,-1.10517904552084e-10,0.11512860578010183
HSK,-41.84905070105419,4.491288355819967,-31.65596729240807,-51.60809582381508,-1.808075833737364e-11,0.16890416020321902
SDPTA,-1.1727043932019643,2.9318707535840467,-1.8350697638122337,-13.006070533414894,-1.2034555304737156e-10,-0.11512860578010183
THRS,-29.691230538026925,2.8092824173653956,-30.401807865133062,-47.41953493243863,-1.9917216995982187e-11,0.16890416020321902
HSST,-29.196241305137136,5.452876154145601,-26.036755413186043,-42.84264332873117,-2.2403704278421873e-11,0.04769834912055492
PPNDH,-61.78177160255919,11.317291926000584,-39.835809531531815,-50.744833259656005,-1.8431066481808372e-11,0.057499281976364856
DTMPK,-2.326793088855694,2.931870753584062,-2.3258344499151775,-25.045146033323228,-4.35405119852943e-11,0.008120941420093179
NDPK1,-2.1632799430633853,1.332575434711222,1.8249525609762145,-17.205657186710596,-7.45010264786747e-11,0.2359886731976295
TRDR,-3.8606555887032,1.4734461038033018,-4.034658203474844,-10.759537162724314,-1.7938230251069888e-10,0.10931210485699677
DDPA,-74.23897251962109,2.3508607107719306,-76.5302247118117,-90.1089782503436,-9.786508244560937e-12,0.11793893691817964
MALS,-40.97608976438679,2.0817586174389335,-40.10301553958932,-52.10494647023937,-1.7885208232072683e-11,0.9172961181792276
NADTRHD,-0.313020936045943,0.33576292404529984,-0.38818103956762806,-0.0,,0.0
G3PD2,20.036644655571468,0.8053510709883477,19.925491718399606,-11.777894214180876,-1.4675148086707627e-10,-0.04314905769902601
GMPS2,-1.6143098946486134e-07,67656.96475850974,-0.0024424855796816303,-46.3168736066421,-2.0464384071819023e-11,0.07528118282948792
P5CR,-9.474892918314794,6.029368087295345,-6.438197397738987,-12.096064739096727,-1.388574329963803e-10,0.06860715071538247
AKGDH,-28.90329547062029,3.884974299684982,-28.704839393991346,-15.634348698736407,-8.688870319009989e-11,4.401916688733601
ATPPRT,-38.55768860311099,5.077037769398501,-52.72347411296866,-71.52349672679698,-1.2570093936154534e-11,0.02940310892978627
HISTD,-23.371544504808615,2.2415883556743212,-27.68594675177967,-72.75330216952345,-1.2337792657036021e-11,0.02940310892978627
DHDPS,-130.59541464377398,6.217347477050016,-125.3972706872102,-103.86817517770153,-8.408116225118455e-12,0.11512860578010183
IGPDH,-42.02433251451435,1.947905958690577,-40.980295684690596,-39.08105432761861,-2.4965238281379415e-11,0.02940310892978627
PRPPS,-3.834019867379797,2.024275520555874,-1.5501363096564909,-17.140921094698008,-7.4940989478857e-11,0.2890888791330099
PRATPP,-56.86468553301194,2.5552196465729087,-54.20967964677496,-66.92397706520546,-1.352191220285572e-11,0.02940310892978627
GLUN,-14.448119756944626,0.8598395736154263,-13.445844222969557,-0.0,,0.0
PRMICI,-9.77860710150586,1.3482617167971542,-9.692553487853615,-9.849624367204079,-2.2389511100176572e-10,0.02940310892978627
GLUPRT,-70.0879690388357,2.72337521655249,-67.33245951031788,-81.97903047151112,-1.083611860222412e-11,0.13867052160744844
SERAT,-6.19970017924708,2.9318707535840414,-6.1615392034541925,-30.9022964820153,-3.3224747520975614e-11,0.07630010244586666
CYSS,-50.852271424810255,5.237531617134726,-50.81779048475362,-52.82051335362781,-1.7610737063037428e-11,0.07630010244586666
