,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.770499696299943,-22.548057054486115,-1.4066816265887495e-11,0.01837106568802823
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.436396636393473,-14.54964659566475,-2.992106191242752e-11,0.2583957673210749
NDPK6,-1.116819043431931,1.2768398971776587,-3.0809734220867817,-23.311193410358015,-1.3389894930987949e-11,0.01779240125820582
NDPK8,2.470121880555603,1.468695227213398,0.5219758663741048,-21.36172923605374,-1.526664761150327e-11,0.01779240125820582
DHORTS,-10.159995690685856,1.69271636881096,-11.620201093762754,-7.50922251010996,-3.770381384537201e-09,-0.22493454766522183
OMPDC,-20.217801086482,8.614866047121478,-55.044291248999144,-53.548555201632425,-4.606524505379018e-12,0.22493454766522183
G5SD,-5.246545077958815,1.6151493062298607,-5.168431808260618,-10.791906487888264,-6.359688080432709e-11,0.1503133555045742
CS,-41.7647413632181,0.4373194541395671,-41.759527479291116,-30.61631705524338,-9.167255114995351e-12,6.428342141859274
ICDHyr,5.370438197274959,3.186776651523545,-3.0757323745104195,-7.45299539712562,-0.012194854564743136,6.428342141859274
ACALD,-24.12217866234657,1.200287252088607,-24.807553204438218,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.638231199330937,-17.977920319037647,-2.017513830684058e-11,2.128949276163995
PPCK,11.24511860422278,3.1202021049407436,2.972716588421244,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,3.681477218557731,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.3235774426520486,-16.481478590213857,-2.3518873166985227e-11,-0.39653745032997206
XYLK,-27.236620458122992,2.025821481498066,-27.723120189248945,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-33.95023719279587,-49.05952944285159,-5.103387813669222e-12,10.000000000000052
GLYK,-19.1413524829866,2.078842931300756,-19.33682470224459,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.6695912629136735,-7.452995397122216,-0.017693688503218463,-1.9897522615510248
FBP,-10.583442091823857,0.6920454485715519,-11.205763191304177,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.850594409654175,-7.452995397122528,-0.03716528763977095,10.547650223253903
GTHOr,-10.804371769086424,0.7839423603123944,-10.677117571930738,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.590903506907624,-21.15400206841504,-1.5498091274766408e-11,-0.19755440438528163
DHORD5,-17.729929939256685,5.020368326411074,-13.891820024934852,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.6439354952906022,-28.22656023282471,-1.0221607685553225e-11,-0.28774241768802616
IPPMIb,-0.3962300459374679,1.9071124388522913,2.8180539659575716,-9.306000230831293,-1.1459515657068573e-10,-0.30635283693574594
ORPT,1.2108551867651682,1.3111724612514968,0.8272046017030625,-21.78865733626035,-1.4811953339671387e-11,-0.22493454766522183
ACHBS,-15.050902596477629,4.9084195657957075,-25.40874228155819,-16.878210294068783,-2.2528991913911137e-11,0.19755440438528163
DHAD2,-36.928288805961145,1.4003928194704445,-39.000549681862985,-39.32741297676561,-6.6617410681763e-12,0.19755440438528163
ACLS,-23.710138174913144,3.725894435449142,-31.906407006298373,-11.76552343930581,-4.9239233306345144e-11,0.5944869240850855
TRPS2,-50.41493032159709,1.1219658203374536,-50.36792281873856,-57.33866220118333,-4.2565094609810614e-12,0.03865219998166298
PSCVT,-15.8822649112314,2.2982377493227832,-20.665385504092267,-25.88254995078754,-1.1521644598392299e-11,0.2583957673210749
