,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.5324633904600642,-18.357200155168677,-6.8572298710367e-12,0.0009279314992429188
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.333862362862967,-8.632672308588248,-1.8661098984753625e-11,0.013051696392578974
NDPK6,-1.116819043431931,1.2768398971776587,-3.041566392715664,-19.121727168762284,-6.5324100007150565e-12,0.0008987028763071478
NDPK8,2.470121880555603,1.468695227213398,0.5266294924991413,-17.53281545224287,-7.2457742482722355e-12,0.0008987028763071478
DHORTS,-10.159995690685856,1.69271636881096,-10.339089149788979,-2.98336818137204,-0.038737194682812046,-0.011361553847283611
OMPDC,-20.217801086482,8.614866047121478,-33.944121842019726,-38.5644612971142,-2.9629135136200057e-12,0.011361553847283611
G5SD,-5.246545077958815,1.6151493062298607,-5.356864950889816,-4.958078329348294,-5.338647991492571e-11,0.007592400990677848
CS,-41.7647413632181,0.4373194541395671,-41.82283980047887,-53.97453976637103,-2.0674393302065187e-12,0.03678324309774217
ICDHyr,5.370438197274959,3.186776651523545,3.9927997252373792,-15.571996140993843,-8.37439954467606e-12,0.03678324309774217
ACALD,-24.12217866234657,1.200287252088607,-24.214176542076046,-2.9833681812609627,-0.08741721677693519,-8.072727759937605
PPA,-15.645520146360042,0.1909427924166485,-15.644892229484423,-19.80520532610323,-6.266939524194434e-12,0.10753426759181517
PPCK,11.24511860422278,3.1202021049407436,9.830193848120038,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,10.7005769596762,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.1597638252719733,-21.738799377320078,-5.620876317354638e-12,-0.02002930026157609
XYLK,-27.236620458122992,2.025821481498066,-27.655450835502663,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.484325669156824,-40.80512608374861,-2.7871677545506736e-12,10.0
GLYK,-19.1413524829866,2.078842931300756,-19.08484445537488,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.7826121806057458,-2.983368181192538,-0.0021143559792379746,-0.10050335840814892
FBP,-10.583442091823857,0.6920454485715519,-11.003535269768934,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.725370027311175,-3.177174152240382,-5.43861566786005e-10,16.393519495310063
GTHOr,-10.804371769086424,0.7839423603123944,-10.876174959945388,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-7.432407027200762,-20.58007628777324,-5.991004388367128e-12,-0.009978569439373208
DHORD5,-17.729929939256685,5.020368326411074,4.744365770782977,-7.9101616372893915,-2.1397841444358155e-11,0.011361553847283611
VALTA,1.3419631592724537,3.4657441762217793,0.11596586546317411,-27.69487717832298,-4.266099297306321e-12,-0.014534010033779916
IPPMIb,-0.3962300459374679,1.9071124388522913,2.6467133085800727,-5.376421842594227,-4.40534499153565e-11,-0.01547403139820896
ORPT,1.2108551867651682,1.3111724612514968,1.1524593544672257,-13.033222332080665,-1.0489946613009291e-11,-0.011361553847283611
ACHBS,-15.050902596477629,4.9084195657957075,-17.107240462684,-18.006523524079224,-7.017320487310364e-12,0.009978569439373208
DHAD2,-36.928288805961145,1.4003928194704445,-38.30168301633248,-28.42847710011314,-4.1431244154426756e-12,0.009978569439373208
ACLS,-23.710138174913144,3.725894435449142,-25.64183962582901,-20.230065853512343,-6.1126449726097305e-12,0.030027824847747988
TRPS2,-50.41493032159709,1.1219658203374536,-49.16589216448542,-44.11648761078074,-2.562929684097789e-12,0.0019523414965194224
PSCVT,-15.8822649112314,2.2982377493227832,-20.456498964799607,-16.046288571657,-8.070341824395315e-12,0.013051696392578974
PFL,-20.304440003005613,1.4892371754120148,-20.643157564247215,-3.2194875067997897,-4.4640938700750155e-10,16.29794615724095
