,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.755417666874692,-25.95018706800353,-2.3896447501921887e-11,0.011604286035126492
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.00721815153663,-15.137202921075575,-5.261761449241798e-11,0.16321853316401552
NDPK6,-1.116819043431931,1.2768398971776587,-2.7656626225873886,-26.884267426203014,-2.282041910650653e-11,0.011238766272906679
NDPK8,2.470121880555603,1.468695227213398,0.6259435136304816,-24.42493197815921,-2.589012532406314e-11,0.011238766272906679
DHORTS,-10.159995690685856,1.69271636881096,-8.264956728618998,-6.140544540687444,-0.07308193685340432,-0.14208238512750002
OMPDC,-20.217801086482,8.614866047121478,-30.84348992195864,-36.6010534749656,-1.554080378877871e-11,0.14208238512750002
G5SD,-5.246545077958815,1.6151493062298607,-5.570017182549211,-21.53586916646431,-3.074860067376052e-11,0.09494708700058803
CS,-41.7647413632181,0.4373194541395671,-41.67659513402511,-36.93496142568706,-1.5372687884958792e-11,3.982140333388687
ICDHyr,5.370438197274959,3.186776651523545,-2.779556432157843,-6.140544540492412,-0.007214950364152719,3.982140333388687
ACALD,-24.12217866234657,1.200287252088607,-24.119031251428616,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.577818196982683,-43.35131071269879,-1.2721415885055627e-11,1.3447742648365497
PPCK,11.24511860422278,3.1202021049407436,3.7796721374162727,-11.436728039603937,-8.938138003165403e-11,2.1463851608059383
ME1,12.02202495252163,3.1183285669496845,4.240543681105223,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.1615073329137342,-11.004255196773132,-9.73327811507291e-11,-0.2504772491378884
XYLK,-27.236620458122992,2.025821481498066,-26.867556520633652,-0.0,,0.0
RBK,-31.776414167874613,2.0417243106380543,-34.82540735751002,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.13015980241857,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.604452891664245,-6.140544540872326,-0.0005345305072869655,-1.2568489370283984
FBP,-10.583442091823857,0.6920454485715519,-10.783706747740997,-6.140544540500846,-0.0063726646454605965,0.3731061943234117
PYK,-22.78899668038584,0.4235342514480188,-22.932433634841022,-0.0,,0.0
GTHOr,-10.804371769086424,0.7839423603123944,-11.124264396935967,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.964920727782244,-14.81663425481143,-5.4562218912966006e-11,-0.12478741597880091
DHORD5,-17.729929939256685,5.020368326411074,-15.728870684878496,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-2.2682274255335617,-19.864252266057647,-3.449400265156673e-11,-0.18175566817915373
IPPMIb,-0.3962300459374679,1.9071124388522913,2.170875243075418,-7.594147080493216,-3.256842406149727e-10,-0.19351114452720783
ORPT,1.2108551867651682,1.3111724612514968,3.007566891285979,-18.8735341094625,-3.717739538153545e-11,-0.14208238512750002
ACHBS,-15.050902596477629,4.9084195657957075,-30.044444896643064,-24.18153816309816,-2.6239271452374534e-11,0.12478741597880091
DHAD2,-36.928288805961145,1.4003928194704445,-37.69434124784756,-30.810863188979276,-1.9188362630938874e-11,0.12478741597880091
ACLS,-23.710138174913144,3.725894435449142,-39.413866472080514,-21.11111508562943,-3.162192152452573e-11,0.3755142150366067
TRPS2,-50.41493032159709,1.1219658203374536,-48.662268620196684,-47.794900204390586,-1.1364517379867694e-11,0.024415087948132477
