,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.770506929029768,-22.530359433320704,-1.3259959747466765e-11,0.01912340265788853
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.436398530529752,-14.810968950174843,-2.717131998719463e-11,0.26897766234623655
NDPK6,-1.116819043431931,1.2768398971776587,-3.080978696655862,-23.323301066973162,-1.2597449355626098e-11,0.018521040602076887
NDPK8,2.470121880555603,1.468695227213398,0.5219720415886657,-21.376774979432398,-1.4358566921492801e-11,0.018521040602076887
DHORTS,-10.159995690685856,1.69271636881096,-11.620202900701697,-7.5066597465572045,-3.7193305768233766e-09,-0.23414612955606603
OMPDC,-20.217801086482,8.614866047121478,-55.04433512316118,-53.29890508018561,-4.360837925506742e-12,0.23414612955606603
G5SD,-5.246545077958815,1.6151493062298607,-5.16842958743255,-10.903663900587995,-5.793946188710233e-11,0.15646902966797013
CS,-41.7647413632181,0.4373194541395671,-41.759526698561544,-30.827465129685496,-8.553346476621564e-12,5.872551850628211
ICDHyr,5.370438197274959,3.186776651523545,-3.0757469224701772,-7.452995398133762,-0.01220588635890657,5.872551850628211
ACALD,-24.12217866234657,1.200287252088607,-24.807555061094185,-0.0,,0.0
PPA,-15.645520146360042,0.1909427924166485,-15.638231056083358,-17.83680991088948,-1.925391466413735e-11,2.216134596526696
PPCK,11.24511860422278,3.1202021049407436,2.9727026008377537,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,3.681460824106763,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.3235752571924664,-16.5661230452251,-2.1938194084991886e-11,-0.4127765618155834
XYLK,-27.236620458122992,2.025821481498066,-27.723121881352405,-36.192649889422476,-6.9563287141403534e-12,9.999999999999995
RBK,-31.776414167874613,2.0417243106380543,-33.95024264945064,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.33682883454174,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.669590609734943,-7.452995398133725,-0.01754018788203044,-2.071237147221125
FBP,-10.583442091823857,0.6920454485715519,-11.205764677970947,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.850595933012926,-7.452995398133873,-0.0371776367483371,10.160554977400476
GTHOr,-10.804371769086424,0.7839423603123944,-10.677115008066634,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-8.590896420245425,-21.211985573647677,-1.4530520206387757e-11,-0.20564470706568816
DHORD5,-17.729929939256685,5.020368326411074,-13.891818929546536,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,-1.6439317359800327,-28.230047846421908,-9.622396431474909e-12,-0.29952612486647023
IPPMIb,-0.3962300459374679,1.9071124388522913,2.8180534867980773,-9.220127180168229,-1.131391036559675e-10,-0.31889868315731495
ORPT,1.2108551867651682,1.3111724612514968,0.8272073553560073,-21.008496572746818,-1.474866723058576e-11,-0.23414612955606603
ACHBS,-15.050902596477629,4.9084195657957075,-25.40876061626451,-16.88317749900958,-2.1200693140920552e-11,0.20564470706568816
DHAD2,-36.928288805961145,1.4003928194704445,-39.00055241386764,-39.19443461644315,-6.298546588830633e-12,0.20564470706568816
ACLS,-23.710138174913144,3.725894435449142,-31.906421858479305,-11.872764351505335,-4.523568198361626e-11,0.6188325172413498
TRPS2,-50.41493032159709,1.1219658203374536,-50.36792871943999,-57.31966235626422,-4.009185811767157e-12,0.040235095579907384
PSCVT,-15.8822649112314,2.2982377493227832,-20.665390629722243,-25.950156103020998,-1.080840400987356e-11,0.26897766234623655
PFL,-20.304440003005613,1.4892371754120148,-20.733011641445934,0.0,,0.0
ANS,-112.6948381329536,7.57875929989724,-89.88556631788877,-114.58650030972196,-1.866050634083761e-12,0.040235095579907384
FRD2,-34.11618196023463,5.2613095561662035,-37.74044422386623,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-65.24770477155751,-76.80816156970225,-2.882594001129779e-12,0.040235095579907384
CHORM,-48.72492478822781,4.638893640788395,-50.788633410963676,-46.137079334706776,-5.1681802858003135e-12,0.22874256676632918
PTAr,9.38796214078124,0.6064527562024628,9.401424101584395,-8.44852180091024,-2.0089665139382308e-10,-0.41092700593798553
CHORS,-47.04605201378517,3.83007178688998,-48.53457798391233,-54.12925086085452,-4.283212619293183e-12,0.26897766234623655
IGPS,-69.86559323790038,6.010880862433656,-73.47993435900742,-77.02014338002047,-2.8738278039226634e-12,0.040235095579907384
ACKr,14.689587668969322,0.5495866609458808,14.710170507635404,-8.4272165085667,-2.0530780930859566e-10,0.41092700593798553
LEUTAi,0.0378851604100653,1.5770213931779395,0.14711496707167981,-30.560221341005338,-8.651981036762611e-12,0.31889868315731495
ENO,-3.894828445649712,0.30491038787315633,-3.8476505141978086,-7.45299539813389,-0.037017423824914956,12.837755611855082
FBA,24.8482998500812,0.5290407445154958,23.13664781172477,-7.452995398134623,-0.10843873805185132,5.174881457836591
HCO3E,-11.271494293581018,3.09608666382253,-2.9249391595709557,-7.452995398134392,-0.0031122553761403645,2.4680033361337737
IMPC,19.601761381729027,5.443840609638234,20.02806039091815,-17.768719565348263,-1.9380437799274953e-11,-0.3833174473610227
IMPD,13.621260142547593,3.981784993950954,-1.5858282284091132,-29.290510574353398,-9.155115294291812e-12,0.17169017379038326
PPS,-10.10998356341738,0.49798702929259925,-10.087007070820968,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.463065692728054,-9.023435127404696,-1.2729158266220128e-10,-2.6307630423533688
PGK,19.543984097843225,0.44127734067909075,19.48054364749291,-7.45299539813376,-0.03716013871084929,-14.091751665552442
PGL,-28.028150075730945,1.6588836067672512,-27.701130155091725,-15.246843681662824,-2.5651423600748047e-11,2.6307630423533688
RPE,-3.390614099653265,1.1537200194917536,-3.5673284239549705,-9.754769606026347,-8.684905370119408e-11,-2.127474200245368
DHQTi,-5.29022208506048,2.0731456914217943,-6.404280900257868,-16.465364448686138,-2.2183551357905912e-11,0.26897766234623655
IPMD,12.727272581854775,0.9862312728831625,9.85864397368306,-18.76777186209651,-1.7669429034005655e-11,0.31889868315731495
AIRC3,-30.403133552927944,6.027288685196741,-16.2979909806863,-7.4529953981338775,-0.18733719265550133,-0.316259190670678
TALA,-1.22089935842082,1.413281168711095,-1.3732327238368462,-8.933355188565317,-1.3505099605748946e-10,4.07075173105043
ADSL2r,24.94399731095891,2.931870753584037,22.171990990146636,-7.45299539813378,-0.033787801833416856,0.316259190670678
TKT1,-1.4790398321905602,2.3695192108329284,0.09509871208710408,-9.406973226895362,-1.0232275171860768e-10,4.07075173105043
RNDR1,-44.05985206166142,3.7376646440123507,-49.377159663493146,-38.411741897412305,-6.457799035840287e-12,0.018521040602076887
ALCD2x,15.1675782723426,0.3233520540517112,15.139850781532491,-0.0,,0.0
RNDR3,-40.58892126572215,2.943661042715291,-41.765429661057794,-39.67604015812848,-6.204417177772486e-12,0.01912340265788853
RNDR4,-44.77765087473715,2.41206326929862,-43.47590731249758,-39.82911784706701,-6.175090766380092e-12,0.018521040602076887
TMDS,-45.29303434274883,2.941525033941928,-44.559473957984345,-51.56647544880899,-4.532050635302231e-12,0.018521040602076887
DHAD1,-36.93208668299586,1.4003928194704445,-39.0043502909023,-36.71873629266748,-6.831373891764653e-12,0.6188325172413498
IPPMIa,-3.6899432044935088,1.9030338036478531,-7.282983768191932,-7.957257730586444,-3.965145739939057e-10,-0.31889868315731495
