,drg0_prime_mean_kJ_mol,drg0_prime_std,adjusted_drg0_prime,driving_force_kJ_mol,driving_force_shadow_price,flux
NDPK5,1.4042465519029177,2.4051831110562962,-1.5324708523304977,-17.490027651169587,-7.662642418431474e-12,0.00267948005066622
SHK3Dr,-3.94507209140178,1.3111724612514963,-4.333863122510033,-7.742227597217143,-2.3358869168130673e-11,0.03768786827454441
NDPK6,-1.116819043431931,1.2768398971776587,-3.041578267069122,-18.805902905524796,-7.025454405764176e-12,0.0025950799498734986
NDPK8,2.470121880555603,1.468695227213398,0.5266267927960722,-16.596717803003735,-8.165495248999265e-12,0.0025950799498734986
DHORTS,-10.159995690685856,1.69271636881096,-10.33909015515404,-2.9833681807175236,-0.03868630331658761,-0.03280743988452205
OMPDC,-20.217801086482,8.614866047121478,-33.94416623890536,-40.56273704552884,-2.9580669257165e-12,0.03280743988452205
G5SD,-5.246545077958815,1.6151493062298607,-5.356856464833287,-4.788943874360475,-6.156747917946234e-11,0.021923694806974172
CS,-41.7647413632181,0.4373194541395671,-41.82284042361776,-53.949493873406354,-2.1810232190554045e-12,0.10621470028727359
ICDHyr,5.370438197274959,3.186776651523545,3.9927876896774386,-15.577311116904124,-8.82650257849629e-12,0.10621470028727359
ACALD,-24.12217866234657,1.200287252088607,-24.21417481679118,-2.9833681807100163,-0.08740911531860225,-7.5808128772696195
PPA,-15.645520146360042,0.1909427924166485,-15.644888800813105,-20.848668745970787,-6.222012014070391e-12,0.31051421900253723
PPCK,11.24511860422278,3.1202021049407436,9.830182725650932,-0.0,,0.0
ME1,12.02202495252163,3.1183285669496845,10.70057004071602,-0.0,,0.0
ALATA_L,-0.2530758376144055,0.5312336431379002,-0.15976334926961044,-20.689662287000864,-6.277960028029288e-12,-0.05783628481572573
XYLK,-27.236620458122992,2.025821481498066,-27.65548414761429,-27.74480635186338,-4.489068345732529e-12,10.0
RBK,-31.776414167874613,2.0417243106380543,-34.48433722095914,-0.0,,0.0
GLYK,-19.1413524829866,2.078842931300756,-19.084841933775916,-0.0,,0.0
ASPTA,2.848671533336056,0.5435878302628501,2.782612661824995,-2.9833681808646064,-0.0020799840725058897,-0.2902118788933229
FBP,-10.583442091823857,0.6920454485715519,-11.00353729568776,-0.0,,0.0
PYK,-22.78899668038584,0.4235342514480188,-22.725370597062284,-3.215565435149971,-4.782261228635868e-10,15.877931294343332
GTHOr,-10.804371769086424,0.7839423603123944,-10.876183652243883,-0.0,,0.0
ILETA,-6.296940232668628,3.5184885757568574,-7.432448620593743,-19.716034035832532,-6.643252892364712e-12,-0.028813956384498875
DHORD5,-17.729929939256685,5.020368326411074,4.74436544442052,0.0,,0.0
VALTA,1.3419631592724537,3.4657441762217793,0.11596137901608472,-27.111874535418284,-4.606957394378108e-12,-0.04196817326868338
IPPMIb,-0.3962300459374679,1.9071124388522913,2.6467367142683105,-5.220302360182549,-4.9693464839902593e-11,-0.04468256381932497
ORPT,1.2108551867651682,1.3111724612514968,1.152457582932625,-16.488308187078253,-8.231215909889249e-12,-0.03280743988452205
ACHBS,-15.050902596477629,4.9084195657957075,-17.107228765068783,-17.927280937845126,-7.438490606014621e-12,0.028813956384498875
DHAD2,-36.928288805961145,1.4003928194704445,-38.30169452606357,-28.310768405598292,-4.388906567706629e-12,0.028813956384498875
ACLS,-23.710138174913144,3.725894435449142,-25.641835440087824,-20.154319380140414,-6.473804800005203e-12,0.08670786336069532
TRPS2,-50.41493032159709,1.1219658203374536,-49.16589399204193,-43.375975040096165,-2.7519577326953503e-12,0.005637549858238144
PSCVT,-15.8822649112314,2.2982377493227832,-20.4565059108543,-15.783209873504344,-8.684549110166775e-12,0.03768786827454441
PFL,-20.304440003005613,1.4892371754120148,-20.643151076454032,-3.2042485132955285,-5.028475687982889e-10,15.601955262771012
ANS,-112.6948381329536,7.57875929989724,-77.65473709770416,-87.97298821172481,-1.3078756212336316e-12,0.005637549858238144
FRD2,-34.11618196023463,5.2613095561662035,-56.48731649280635,-0.0,,0.0
ANPRT,-65.80000819242568,3.624508680977635,-67.6148131036305,-76.95757498036974,-1.5026772457573848e-12,0.005637549858238144
CHORM,-48.72492478822781,4.638893640788395,-44.57043130418922,-38.13687611761322,-3.1621782107739054e-12,0.03205031841630626
PTAr,9.38796214078124,0.6064527562024628,9.383349157485721,-8.184198272034623,-2.1372358978218833e-11,7.532512018650137
CHORS,-47.04605201378517,3.83007178688998,-46.197784282977636,-48.85943950909552,-2.423070016987081e-12,0.03768786827454441
IGPS,-69.86559323790038,6.010880862433656,-69.07303655597381,-67.29301509727301,-1.7284564148972636e-12,0.005637549858238144
ACKr,14.689587668969322,0.5495866609458808,14.72546244848504,-6.009270339126878,-3.673290791113486e-11,-7.532512018650137
LEUTAi,0.0378851604100653,1.5770213931779395,0.19954280981314199,-29.256183915910714,-4.230837773564019e-12,0.04468256381932497
ENO,-3.894828445649712,0.30491038787315633,-3.843024540110349,-3.1578839291432073,-6.385559963642822e-10,16.25304788943803
FBA,24.8482998500812,0.5290407445154958,24.208772386401506,-2.9833681807142916,-0.046886682571281424,6.580514825748263
HCO3E,-11.271494293581018,3.09608666382253,-9.772366263619675,-12.680661587881788,-1.1462994961205755e-11,0.34580486655292086
IMPC,19.601761381729027,5.443840609638234,33.78828584067227,-14.867483017072473,-9.35339753308626e-12,-0.05370861408146243
IMPD,13.621260142547593,3.981784993950954,3.4158601856374435,-18.924270323376156,-6.973162110608478e-12,0.02405640898728755
PPS,-10.10998356341738,0.49798702929259925,-10.19461206977904,-0.0,,0.0
PGI,2.416048750882083,0.3826657823618915,2.4469393564689916,0.0,,0.0
