gene,carbon_source,fitness,overall_disruption
b0002,ac,-3.5309999999999997,primary_full
b0002,fru,-4.139,primary_full
b0002,glc__D,-3.66175,primary_full
b0002,glyc,-3.8625,primary_full
b0002,lac__D,-4.789,primary_full
b0002,pyr,-3.566,primary_full
b0002,rib__D,-3.596,primary_full
b0002,succ,-3.8259999999999996,primary_full
b0002,xyl__D,-4.019,primary_full
b0003,ac,-3.7960000000000003,complete
b0003,fru,-3.5140000000000002,complete
b0003,glc__D,-3.4995000000000003,complete
b0003,glyc,-3.0860000000000003,complete
b0003,lac__D,-4.3945,complete
b0003,pyr,-3.113,complete
b0003,rib__D,-4.398,complete
b0003,succ,-4.58,complete
b0003,xyl__D,-4.502,complete
b0004,ac,-4.7555,complete
b0004,fru,-5.155,complete
b0004,glc__D,-4.6290000000000004,complete
b0004,glyc,-3.154,complete
b0004,lac__D,-5.515499999999999,complete
b0004,pyr,-4.368,complete
b0004,rib__D,-3.936,complete
b0004,succ,-4.9864999999999995,complete
b0004,xyl__D,-4.9719999999999995,complete
b0032,ac,-2.6254999999999997,complete
b0032,fru,-3.3609999999999998,complete
b0032,glc__D,-3.49825,complete
b0032,glyc,-3.6790000000000003,complete
b0032,lac__D,-2.8855,complete
b0032,pyr,-3.5605,complete
b0032,rib__D,-2.996,complete
b0032,succ,-4.3015,complete
b0032,xyl__D,-3.169,complete
b0033,ac,-3.9635,complete
b0033,fru,-3.8665000000000003,complete
b0033,glc__D,-3.968,complete
b0033,glyc,-4.2025,complete
b0033,lac__D,-4.0705,complete
b0033,pyr,-4.0365,complete
b0033,rib__D,-3.4539999999999997,complete
b0033,succ,-4.6345,complete
b0033,xyl__D,-3.5115,complete
b0071,ac,-5.041,complete
b0071,fru,-5.2684999999999995,complete
b0071,glc__D,-4.656750000000001,complete
b0071,glyc,-4.2275,complete
b0071,lac__D,-5.462,complete
b0071,pyr,-4.1335,complete
b0071,rib__D,-5.085,complete
b0071,succ,-4.7985,complete
b0071,xyl__D,-5.3735,complete
b0072,ac,-5.035,complete
b0072,fru,-5.032,complete
b0072,glc__D,-4.77775,complete
b0072,glyc,-4.2445,complete
b0072,lac__D,-5.4905,complete
b0072,pyr,-3.6205,complete
b0072,rib__D,-4.912,complete
b0072,succ,-5.1125,complete
b0072,xyl__D,-5.3785,complete
b0073,ac,-5.369999999999999,primary_full
b0073,fru,-5.1185,primary_full
b0073,glc__D,-4.83625,primary_full
b0073,glyc,-4.134,primary_full
b0073,lac__D,-5.406,primary_full
b0073,pyr,-4.129,primary_full
b0073,rib__D,-5.557499999999999,primary_full
b0073,succ,-4.4094999999999995,primary_full
b0073,xyl__D,-5.4145,primary_full
b0074,ac,-4.9375,complete
b0074,fru,-4.4719999999999995,complete
b0074,glc__D,-4.51675,complete
b0074,glyc,-3.979,complete
b0074,lac__D,-5.3475,complete
b0074,pyr,-3.779,complete
b0074,rib__D,-4.853,complete
b0074,succ,-4.7,complete
b0074,xyl__D,-4.818,complete
b0077,ac,-0.1485,primary_partial
b0077,fru,-1.577,primary_partial
b0077,glc__D,-1.85275,primary_partial
b0077,glyc,-0.9515,primary_partial
b0077,lac__D,-2.6870000000000003,primary_partial
b0077,pyr,-3.6950000000000003,primary_partial
b0077,rib__D,-1.212,primary_partial
b0077,succ,-0.9715,primary_partial
b0077,xyl__D,-1.916,primary_partial
b0078,ac,-0.8115,primary_partial
b0078,fru,-1.7585000000000002,primary_partial
b0078,glc__D,-1.83325,primary_partial
b0078,glyc,-0.755,primary_partial
b0078,lac__D,-2.8965,primary_partial
b0078,pyr,-3.487,primary_partial
b0078,rib__D,-1.3155000000000001,primary_partial
b0078,succ,-1.3,primary_partial
b0078,xyl__D,-1.9325,primary_partial
b0118,ac,-2.9835000000000003,primary_partial
b0118,fru,-3.1105,primary_partial
b0118,glc__D,-2.4355,primary_partial
b0118,glyc,-2.5385,primary_partial
b0118,lac__D,-2.814,primary_partial
b0118,pyr,-2.559,primary_partial
b0118,rib__D,-2.94,primary_partial
b0118,succ,-2.8985000000000003,primary_partial
b0118,xyl__D,-2.947,primary_partial
b0241,ac,0.10650000000000001,primary_partial
b0241,fru,0.095,primary_partial
b0241,glc__D,0.06875,primary_partial
b0241,glyc,0.0885,primary_partial
b0241,lac__D,0.0635,primary_partial
b0241,pyr,0.07400000000000001,primary_partial
b0241,rib__D,0.0475,primary_partial
b0241,succ,0.0785,primary_partial
b0241,xyl__D,0.066,primary_partial
b0242,ac,-5.560499999999999,complete
b0242,fru,-4.4695,complete
b0242,glc__D,-4.148,complete
b0242,glyc,-3.7995,complete
b0242,lac__D,-5.541499999999999,complete
b0242,pyr,-3.893,complete
b0242,rib__D,-6.297000000000001,complete
b0242,succ,-5.1805,complete
b0242,xyl__D,-4.946,complete
b0243,ac,-5.1055,complete
b0243,fru,-4.405,complete
b0243,glc__D,-4.17325,complete
b0243,glyc,-3.8499999999999996,complete
b0243,lac__D,-5.2165,complete
b0243,pyr,-3.7965,complete
b0243,rib__D,-4.3919999999999995,complete
b0243,succ,-4.7204999999999995,complete
b0243,xyl__D,-4.5725,complete
b0273,ac,0.0585,primary_partial
b0273,fru,0.155,primary_partial
b0273,glc__D,0.06925,primary_partial
b0273,glyc,0.17049999999999998,primary_partial
b0273,lac__D,0.172,primary_partial
b0273,pyr,0.0535,primary_partial
b0273,rib__D,-0.012999999999999998,primary_partial
b0273,succ,0.135,primary_partial
b0273,xyl__D,0.094,primary_partial
b0339,ac,-0.009000000000000001,primary_partial
b0339,fru,-0.17600000000000002,primary_partial
b0339,glc__D,-0.03325000000000001,primary_partial
b0339,glyc,-0.2775,primary_partial
b0339,lac__D,-0.129,primary_partial
b0339,pyr,0.191,primary_partial
b0339,rib__D,0.49850000000000005,primary_partial
b0339,succ,0.276,primary_partial
b0339,xyl__D,0.081,primary_partial
b0383,ac,0.40449999999999997,primary_partial
b0383,fru,0.13,primary_partial
b0383,glc__D,0.0275,primary_partial
b0383,glyc,0.036,primary_partial
b0383,lac__D,0.266,primary_partial
b0383,pyr,0.2125,primary_partial
b0383,rib__D,0.185,primary_partial
b0383,succ,0.3275,primary_partial
b0383,xyl__D,0.17,primary_partial
b0386,ac,-5.051,complete
b0386,fru,-4.4445,complete
b0386,glc__D,-4.3305,complete
b0386,glyc,-4.16,complete
b0386,lac__D,-5.3165,complete
b0386,pyr,-3.9695,complete
b0386,rib__D,-5.094,complete
b0386,succ,-4.839499999999999,complete
b0386,xyl__D,-4.402,complete
b0388,ac,1.1825,primary_partial
b0388,fru,0.026,primary_partial
b0388,glc__D,-0.22075,primary_partial
b0388,glyc,0.23099999999999998,primary_partial
b0388,lac__D,0.385,primary_partial
b0388,pyr,0.6525,primary_partial
b0388,rib__D,1.041,primary_partial
b0388,succ,0.237,primary_partial
b0388,xyl__D,0.47850000000000004,primary_partial
b0522,ac,-4.9395,complete
b0522,fru,-4.1245,complete
b0522,glc__D,-4.2067499999999995,complete
b0522,glyc,-1.228,complete
b0522,lac__D,-5.021,complete
b0522,pyr,-4.0095,complete
b0522,rib__D,-4.292,complete
b0522,succ,-4.413,complete
b0522,xyl__D,-4.0755,complete
b0523,ac,-4.3545,complete
b0523,fru,-4.4655000000000005,complete
b0523,glc__D,-3.7105,complete
b0523,glyc,-0.9590000000000001,complete
b0523,lac__D,-5.18,complete
b0523,pyr,-3.6525,complete
b0523,rib__D,-4.7255,complete
b0523,succ,-3.7125,complete
b0523,xyl__D,-5.1585,complete
b0720,ac,-4.666,complete
b0720,fru,-3.2729999999999997,complete
b0720,glc__D,-3.715,complete
b0720,glyc,-3.3360000000000003,complete
b0720,lac__D,-4.9595,complete
b0720,pyr,-3.5164999999999997,complete
b0720,rib__D,-4.250500000000001,complete
b0720,succ,-2.6835,complete
b0720,xyl__D,-3.143,complete
b0754,ac,0.0275,primary_partial
b0754,fru,-0.377,primary_partial
b0754,glc__D,-0.36124999999999996,primary_partial
b0754,glyc,-0.1095,primary_partial
b0754,lac__D,-0.137,primary_partial
b0754,pyr,0.2025,primary_partial
b0754,rib__D,-0.1815,primary_partial
b0754,succ,-0.077,primary_partial
b0754,xyl__D,-0.050499999999999996,primary_partial
b0755,fru,-1.129,primary_full
b0755,glc__D,-1.61375,primary_full
b0755,glyc,-0.6890000000000001,primary_full
b0755,rib__D,-0.768,primary_full
b0755,xyl__D,-0.983,primary_full
b0904,ac,-0.4145,primary_partial
b0904,fru,0.1245,primary_partial
b0904,glc__D,0.009250000000000001,primary_partial
b0904,glyc,-0.058499999999999996,primary_partial
b0904,lac__D,-0.091,primary_partial
b0904,pyr,-0.0475,primary_partial
b0904,rib__D,-0.0175,primary_partial
b0904,succ,-0.1545,primary_partial
b0904,xyl__D,-0.16999999999999998,primary_partial
b0907,ac,-5.6405,complete
b0907,fru,-5.1905,complete
b0907,glc__D,-5.023,complete
b0907,glyc,-3.238,complete
b0907,lac__D,-6.2755,complete
b0907,pyr,-4.3305,complete
b0907,rib__D,-5.385999999999999,complete
b0907,succ,-4.545,complete
b0907,xyl__D,-5.4765,complete
b0908,ac,-4.614,complete
b0908,fru,-5.269500000000001,complete
b0908,glc__D,-4.34275,complete
b0908,glyc,-4.515499999999999,complete
b0908,lac__D,-5.218500000000001,complete
b0908,pyr,-4.2155000000000005,complete
b0908,rib__D,-4.448499999999999,complete
b0908,succ,-4.1005,complete
b0908,xyl__D,-4.805,complete
b0928,ac,-1.6375000000000002,primary_partial
b0928,fru,-2.059,primary_partial
b0928,glc__D,-2.9162500000000002,primary_partial
b0928,glyc,-2.5915,primary_partial
b0928,lac__D,-1.323,primary_partial
b0928,pyr,-2.0095,primary_partial
b0928,rib__D,-1.609,primary_partial
b0928,succ,-0.429,primary_partial
