reaction_id,flux,enzyme,enzyme_abundance_g_gDW,saturation,yield,saturable_reaction_proteome_fraction,substrate_concentration_mM
3OAR161,0.018004980223446723,CPLX0-8005,3.225979211064474e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ASNS1,0.0,ASNSYNB-CPLX,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ATPM,0.0,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
PGL,0.6025689468667493,6PGLUCONOLACT-MONOMER,0.0001866035806909198,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
3OAR80,0.04259587551466626,CPLX0-8005,3.365864535457744e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
O2tpp,2.906575225875431,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
3HAD120,0.024590895291219536,FABA-CPLX,2.268477552207477e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
FRUpts2pp,0.0,CPLX-165,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ACODA,0.035403841773165586,ACETYLORNDEACET-CPLX,9.257294096318804e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EX_glyc__R_e,0.0,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ME1,0.0,MALIC-NAD-CPLX,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
KAS15,0.04259587551466626,CPLX0-252,9.25322051844461e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EX_glc__D_e,-1.3445871078346445,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EX_fum_e,0.0,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
PYRt2rpp,0.0,EG10167-MONOMER,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
VALTA,-0.12044825234290908,BRANCHED-CHAINAMINOTRANSFER-CPLX,7.841025133466886e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EAR120y,0.024590895291219536,CPLX0-8006,5.2320026148632766e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
BPNT,0.029425242295932862,EG10043-MONOMER,3.218879241712395e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
SUCCt2_2pp,0.0,DCTA-MONOMER,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
CHORM,0.03867968339663671,CHORISMUTPREPHENDEHYDROG-CPLX,5.53071706186742e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
NDPK1,0.09100936519531855,NUCLEOSIDE-DIP-KIN-CPLX,3.0075940006077428e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
DHDPRy,0.044399509459059065,DIHYDROPICRED-CPLX,8.687787477678858e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
G6PDH2r,0.6025689468667493,GLU6PDEHYDROG-MONOMER,0.00014104913810898404,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ETOHtex,0.0,CPLX0-7533,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
RNDR1,0.0031318525309563835,RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,1.9175393609090723e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EAR100y,0.024590895291219536,CPLX0-8006,5.2320013097766314e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
GHMT2r,0.13334910051216248,GLYOHMETRANS-CPLX,0.001230455182063799,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
G5SD,0.02645844459338697,GLUTSEMIALDEHYDROG-CPLX,6.724313393652738e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
AICART,0.06481783305106528,AICARTRANSIMPCYCLO-CPLX,0.00011927162946856454,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
FRUtex,0.0,CPLX0-7533,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
3OAR60,0.04259587551466626,CPLX0-8005,3.365859564055846e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
CTPS2,0.019213507128784436,CTPSYN-CPLX,7.806841829539368e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
3OAS121,0.018004980223446723,FABB-CPLX,0.00014811503667220383,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
DHORTS,-0.03959340969111507,DIHYDROOROT-CPLX,0.00022812768665791405,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
FBA,1.0397590972209036,FRUCBISALD-CLASSII,0.0008154348115567598,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
HSDy,0.08353306371090431,ASPKINIHOMOSERDEHYDROGI-CPLX,0.0005995553227510618,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EAR160y,0.01527600989149665,CPLX0-8006,4.417868962749266e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
G3PT,0.0,G7187-MONOMER,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ADSL2r,0.05347848255508784,CPLX0-7959,7.244443788314684e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ATPPRT,0.011339350495977448,CPLX0-7614,0.00011856387646997957,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ETOHtrpp,0.0,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
EAR40x,0.04259587551466626,CPLX0-8006,5.755266625659447e-05,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
ACALDtpp,0.0,NA,0.0,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
PGM,-1.9891452196919006,PHOSGLYCMUTASE,0.00037842092472801825,0.001,0.08901742440371503,0.786438572994121,0.00011611611611611614
