reaction_id,flux,enzyme,enzyme_abundance_g_gDW,saturation,yield,saturable_reaction_proteome_fraction,substrate_concentration_mM
3OAR161,0.014061215456229617,CPLX0-8005,2.5193689846448297e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ASNS1,0.0,ASNSYNB-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ATPM,6.86,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PGL,0.16182979472223089,6PGLUCONOLACT-MONOMER,5.0115458678494956e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3OAR80,0.033265784006720804,CPLX0-8005,2.6286141857529614e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
O2tpp,3.988569622799876,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
3HAD120,0.019204568550491186,FABA-CPLX,1.771596037504758e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
FRUpts2pp,0.0,CPLX-165,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ACODA,0.02764907492108564,ACETYLORNDEACET-CPLX,7.229600100338391e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_glyc__R_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
ME1,0.0,MALIC-NAD-CPLX,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
KAS15,0.033265784006720804,CPLX0-252,7.226418788531555e-05,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_glc__D_e,-1.3365127225294648,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
EX_fum_e,0.0,NA,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
PYRt2rpp,0.0,EG10167-MONOMER,0.0,0.001,0.06993926826099992,0.7817159276406069,0.00011611611611611614
