	bigg_reaction_id	biocyc_reaction_id
0	NDPK5	ECOLI:DGDPKIN-RXN
1	SHK3Dr	ECOLI:SHIKIMATE-5-DEHYDROGENASE-RXN
2	NDPK6	ECOLI:DUDPKIN-RXN
3	NDPK8	ECOLI:DADPKIN-RXN
4	DHORTS	ECOLI:DIHYDROOROT-RXN
5	OMPDC	ECOLI:OROTPDECARB-RXN
6	G5SD	ECOLI:GLUTSEMIALDEHYDROG-RXN
7	CS	ECOLI:CITSYN-RXN
8	ICDHyr	ECOLI:ISOCITDEH-RXN
9	ACALD	ECOLI:ACETALD-DEHYDROG-RXN
10	PPA	ECOLI:INORGPYROPHOSPHAT-RXN
11	PPCK	ECOLI:PEPCARBOXYKIN-RXN
12	ME1	ECOLI:1.1.1.39-RXN
13	ALATA_L	ECOLI:ALANINE-AMINOTRANSFERASE-RXN
14	XYLK	ECOLI:XYLULOKIN-RXN
15	RBK	ECOLI:RIBOKIN-RXN
16	GLYK	ECOLI:GLYCEROL-KIN-RXN
17	ASPTA	ECOLI:ASPAMINOTRANS-RXN
18	FBP	ECOLI:F16BDEPHOS-RXN
19	PYK	ECOLI:PEPDEPHOS-RXN
20	GTHOr	ECOLI:GLUTATHIONE-REDUCT-NADPH-RXN
21	ILETA	ECOLI:BRANCHED-CHAINAMINOTRANSFERILEU-RXN
22	DHORD5	ECOLI:RXN0-6554
23	VALTA	ECOLI:BRANCHED-CHAINAMINOTRANSFERVAL-RXN
24	IPPMIb	ECOLI:RXN-13163
25	ORPT	ECOLI:OROPRIBTRANS-RXN
26	ACHBS	ECOLI:ACETOOHBUTSYN-RXN
27	DHAD2	ECOLI:DIHYDROXYMETVALDEHYDRAT-RXN
28	ACLS	ECOLI:ACETOLACTSYN-RXN
29	TRPS2	ECOLI:RXN0-2382
30	PSCVT	ECOLI:2.5.1.19-RXN
31	PFL	ECOLI:PYRUVFORMLY-RXN
32	ANS	ECOLI:ANTHRANSYN-RXN
33	FRD2	ECOLI:R601-RXN
34	ANPRT	ECOLI:PRTRANS-RXN
35	CHORM	ECOLI:CHORISMATEMUT-RXN
36	PTAr	ECOLI:PHOSACETYLTRANS-RXN
37	CHORS	ECOLI:CHORISMATE-SYNTHASE-RXN
38	IGPS	ECOLI:IGPSYN-RXN
39	ACKr	ECOLI:ACETATEKIN-RXN
40	LEUTAi	ECOLI:BRANCHED-CHAINAMINOTRANSFERLEU-RXN
41	ENO	ECOLI:2PGADEHYDRAT-RXN
