"reaction_id","direction","value","par_type","unit","condition","notes","saturation","model_type","directional_reaction_id","enzyme","MW","num_pp_subunits","kcat_times_pp_num","EC_kcat_value","ec_cost","enzyme_pool_bound_g_gDw"
"NDPK5","fw",5.00431842758334,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK5_fw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,20.0172737103334,20.0172737103334,0.000858314241976011,0.332285064086577
"NDPK5","bw",3.7609137738525,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK5_bw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,15.04365509541,15.04365509541,0.00114208355629964,0.332285064086577
"SHK3Dr","fw",14.0212825297704,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","SHK3Dr_fw","AROE-MONOMER",29.414,1,14.0212825297704,14.0212825297704,0.0005827252634135,0.332285064086577
"SHK3Dr","bw",3.46166351361112,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","SHK3Dr_bw","AROE-MONOMER",29.414,1,3.46166351361112,3.46166351361112,0.00236029744757954,0.332285064086577
"NDPK6","fw",0.0962113235024591,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK6_fw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,0.384845294009836,0.384845294009836,0.0446442021730217,0.332285064086577
"NDPK6","bw",4.99780049239237,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK6_bw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,19.9912019695695,19.9912019695695,0.000859433621713398,0.332285064086577
"NDPK8","fw",3.94856841844601,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK8_fw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,15.794273673784,15.794273673784,0.0010878063446266,0.332285064086577
"NDPK8","bw",2.49346855422433,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","NDPK8_bw","NUCLEOSIDE-DIP-KIN-CPLX",61.852,4,9.97387421689732,9.97387421689732,0.0017226115687326,0.332285064086577
"DHORTS","bw",9.34392419413212,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DHORTS_bw","DIHYDROOROT-CPLX",77.654,2,18.6878483882642,18.6878483882642,0.00115425570174797,0.332285064086577
"OMPDC","fw",17.8880442697449,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","OMPDC_fw","OROTPDECARB-CPLX",52.7,2,35.7760885394898,35.7760885394898,0.000409180810046644,0.332285064086577
"G5SD","fw",9.68192474118906,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","G5SD_fw","GLUTSEMIALDEHYDROG-CPLX",178.52,4,38.7276989647562,38.7276989647562,0.00128045017428009,0.332285064086577
"CS","fw",31.4913433767798,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CS_fw","CITRATE-SI-SYNTHASE",288.09,6,188.948060260679,188.948060260679,0.000423529089896953,0.332285064086577
"ICDHyr","fw",5.78649193023039,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ICDHyr_fw","ISOCITHASE-CPLX",91.514,2,11.5729838604608,11.5729838604608,0.00219654290216416,0.332285064086577
"ACALD","fw",16.370943793886,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACALD_fw","ADHE-CPLX",3845.08,40,654.83775175544,654.83775175544,0.00163105712050742,0.332285064086577
"ACALD","bw",8.19452345164255,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ACALD_bw","ADHE-CPLX",3845.08,40,327.780938065702,327.780938065702,0.00325851095576426,0.332285064086577
"PPA","fw",28.4366570900938,"k_appmax","s-1","NA","kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","PPA_fw","CPLX0-243",118.224,6,170.619942540563,170.619942540563,0.000192474569566759,0.332285064086577
