"reaction_id","direction","value","par_type","unit","condition","notes","saturation","model_type","enzyme","MW","num_pp_subunits","kcat_times_pp_num","EC_kcat_value","ec_cost","enzyme_pool_bound_g_gDw"
"NDPK5","fwd",5.00431842758334,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,5.00431842758334,5.00431842758334,0.0013092025940145,0.238325537615054
"NDPK5","bwd",3.7609137738525,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,3.7609137738525,3.7609137738525,0.00174204117951778,0.238325537615054
"SHK3Dr","fwd",14.0212825297704,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","AROE-MONOMER",29.414,1,14.0212825297704,14.0212825297704,0.0005827252634135,0.238325537615054
"SHK3Dr","bwd",3.46166351361112,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","AROE-MONOMER",29.414,1,3.46166351361112,3.46166351361112,0.00236029744757954,0.238325537615054
"NDPK6","fwd",0.0962113235024591,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,0.0962113235024591,0.0962113235024591,0.0680966275918573,0.238325537615054
"NDPK6","bwd",4.99780049239237,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,4.99780049239237,4.99780049239237,0.00131091000463896,0.238325537615054
"NDPK8","fwd",3.94856841844601,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,3.94856841844601,3.94856841844601,0.00165925114430336,0.238325537615054
"NDPK8","bwd",2.49346855422433,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ADENYL-KIN-MONOMER",23.586,1,2.49346855422433,2.49346855422433,0.00262753129794523,0.238325537615054
"DHORTS","bwd",9.34392419413212,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","DIHYDROOROT-CPLX",77.654,2,18.6878483882642,18.6878483882642,0.00115425570174797,0.238325537615054
"OMPDC","fwd",17.8880442697449,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","OROTPDECARB-CPLX",52.7,2,35.7760885394898,35.7760885394898,0.000409180810046644,0.238325537615054
"G5SD","fwd",9.68192474118906,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","GLUTSEMIALDEHYDROG-CPLX",178.52,4,38.7276989647562,38.7276989647562,0.00128045017428009,0.238325537615054
"CS","fwd",31.4913433767798,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","CITRATE-SI-SYNTHASE",288.09,6,188.948060260679,188.948060260679,0.000423529089896953,0.238325537615054
"ICDHyr","fwd",5.78649193023039,"k_app","s-1","Glucose","median of calculated k_app",1,"glucose_batch","ISOCITHASE-CPLX",91.514,2,11.5729838604608,11.5729838604608,0.00219654290216416,0.238325537615054
"ACALD","fwd",16.370943793886,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MHPF-MONOMER",33.442,1,16.370943793886,16.370943793886,0.000567434874946779,0.238325537615054
"ACALD","bwd",8.19452345164255,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","MHPF-MONOMER",33.442,1,8.19452345164255,8.19452345164255,0.00113361618881967,0.238325537615054
"PPA","fwd",28.4366570900938,"k_appmax","s-1",NA,"kappmax_KO_ALE_per_pp_per_s_ensemble_model",1,"glucose_batch","ALKAPHOSPHA-CPLX",98.878,2,56.8733141801876,56.8733141801876,0.000482934949493047,0.238325537615054
