"reaction_id","direction","value","par_type","unit","condition","notes"
"3OAR100","fwd",4.47652048309146,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR120","fwd",2.4328971608628,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR121","fwd",2.04362332222867,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR140","fwd",2.31638945361424,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR141","fwd",2.04362332222867,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR160","fwd",1.73385087980819,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR161","fwd",2.04362332222867,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR181","fwd",0.695044050628078,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR40","fwd",4.47656337056014,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR60","fwd",4.47656337056014,"k_app","s-1","Glucose","median of calculated k_app"
"3OAR80","fwd",4.47656337056014,"k_app","s-1","Glucose","median of calculated k_app"
"3OAS121","fwd",1.76042179472783,"k_app","s-1","Glucose","median of calculated k_app"
"3OAS141","fwd",1.76042179472783,"k_app","s-1","Glucose","median of calculated k_app"
"3OAS161","fwd",1.76042179472783,"k_app","s-1","Glucose","median of calculated k_app"
"3OAS181","fwd",1.05077272742585,"k_app","s-1","Glucose","median of calculated k_app"
"ACGK","fwd",6.48212821323525,"k_app","s-1","Glucose","median of calculated k_app"
"ACGS","fwd",23.3862454408317,"k_app","s-1","Glucose","median of calculated k_app"
"ACODA","fwd",10.9791125730085,"k_app","s-1","Glucose","median of calculated k_app"
"ADSK","fwd",39.2948342471692,"k_app","s-1","Glucose","median of calculated k_app"
"ADSL2r","fwd",8.20840409553331,"k_app","s-1","Glucose","median of calculated k_app"
"AGPR","bwd",12.4035235393376,"k_app","s-1","Glucose","median of calculated k_app"
"AICART","fwd",7.83467699709436,"k_app","s-1","Glucose","median of calculated k_app"
"AIRC2","fwd",27.0271489612158,"k_app","s-1","Glucose","median of calculated k_app"
"AIRC3","bwd",11.3400452404697,"k_app","s-1","Glucose","median of calculated k_app"
"ANPRT","fwd",2.19356022173354,"k_app","s-1","Glucose","median of calculated k_app"
