,bigg_id,group_descr,reaction
3,SULabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c
4,TSULabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + tsul_p --> adp_c + h_c + pi_c + tsul_c
5,Kt2pp,Inorganic Ion Transport and Metabolism,h_p + k_p --> h_c + k_c
7,FEOXAMabcpp,Inorganic Ion Transport and Metabolism,atp_c + feoxam_p + h2o_c --> adp_c + feoxam_c + h_c + pi_c
8,FEENTERabcpp,Inorganic Ion Transport and Metabolism,atp_c + feenter_p + h2o_c --> adp_c + feenter_c + h_c + pi_c
9,FECRMabcpp,Inorganic Ion Transport and Metabolism,atp_c + fecrm_p + h2o_c --> adp_c + fecrm_c + h_c + pi_c
10,FE3DCITabcpp,Inorganic Ion Transport and Metabolism,atp_c + fe3dcit_p + h2o_c --> adp_c + 2.0 cit_c + fe3_c + h_c + pi_c
11,FE2abcpp,Inorganic Ion Transport and Metabolism,atp_c + fe2_p + h2o_c --> adp_c + fe2_c + h_c + pi_c
15,FEOXAMUtex,Inorganic Ion Transport and Metabolism,feoxam_un_p + h_p --> feoxam_un_e + h_c
16,ARBTNtpp,Inorganic Ion Transport and Metabolism,arbtn_c + h_p --> arbtn_p + h_c
17,FEENTERtex,Inorganic Ion Transport and Metabolism,enter_p + h_p --> enter_e + h_c
18,FE3HOXUtpp,Inorganic Ion Transport and Metabolism,fe3hox_un_p + h_p --> fe3hox_un_e + h_c
19,FEOXAMUtpp,Inorganic Ion Transport and Metabolism,feoxam_un_c + h_p --> feoxam_un_p + h_c
20,FECRMUtpp,Inorganic Ion Transport and Metabolism,fecrm_un_c + h_p --> fecrm_un_p + h_c
27,CU1abcpp,Inorganic Ion Transport and Metabolism,atp_c + cu_c + h2o_c --> adp_c + cu_p + h_c + pi_c
28,HG2abcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + hg2_c --> adp_c + h_c + hg2_p + pi_c
49,AGt3,Inorganic Ion Transport and Metabolism,ag_c + h_e --> ag_e + h_c
50,CD2t3pp,Inorganic Ion Transport and Metabolism,cd2_c + h_p --> cd2_p + h_c
51,ZNabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + zn2_p --> adp_c + h_c + pi_c + zn2_c
52,FE2t2pp,Inorganic Ion Transport and Metabolism,fe2_p + h_p --> fe2_c + h_c
56,CPGNUtpp,Inorganic Ion Transport and Metabolism,cpgn_un_c + h_p --> cpgn_un_p + h_c
57,CPGNUtex,Inorganic Ion Transport and Metabolism,cpgn_un_p + h_p --> cpgn_un_e + h_c
59,TUNGSabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + tungs_p --> adp_c + h_c + pi_c + tungs_c
60,MOBDabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c
61,NI2uabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + ni2_p --> adp_c + h_c + ni2_c + pi_c
62,Kabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + k_p --> adp_c + h_c + k_c + pi_c
63,NAt3_1p5pp,Inorganic Ion Transport and Metabolism,3.0 h_p + 2.0 na1_c --> 3.0 h_c + 2.0 na1_p
64,NAt3_2pp,Inorganic Ion Transport and Metabolism,2.0 h_p + na1_c --> 2.0 h_c + na1_p
67,NO3t7pp,Inorganic Ion Transport and Metabolism,no2_c + no3_p --> no2_p + no3_c
68,PIuabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + pi_p --> adp_c + h_c + 2.0 pi_c
69,CU2abcpp,Inorganic Ion Transport and Metabolism,atp_c + cu2_c + h2o_c --> adp_c + cu2_p + h_c + pi_c
70,COBALT2abcpp,Inorganic Ion Transport and Metabolism,atp_c + cobalt2_c + h2o_c --> adp_c + cobalt2_p + h_c + pi_c
71,NI2abcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + ni2_c --> adp_c + h_c + ni2_p + pi_c
72,MG2uabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + mg2_p --> adp_c + h_c + mg2_c + pi_c
74,ZN2abcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + zn2_c --> adp_c + h_c + pi_c + zn2_p
75,FECRMUtex,Inorganic Ion Transport and Metabolism,fecrm_un_p + h_p --> fecrm_un_e + h_c
76,CD2abcpp,Inorganic Ion Transport and Metabolism,atp_c + cd2_c + h2o_c --> adp_c + cd2_p + h_c + pi_c
77,Kt3pp,Inorganic Ion Transport and Metabolism,h_p + k_c --> h_c + k_p
78,FE3HOXabcpp,Inorganic Ion Transport and Metabolism,atp_c + fe3hox_p + h2o_c --> adp_c + fe3hox_c + h_c + pi_c
79,ZN2t3pp,Inorganic Ion Transport and Metabolism,h_p + zn2_c --> h_c + zn2_p
81,FE3HOXUtex,Inorganic Ion Transport and Metabolism,fe3hox_un_c + h_p --> fe3hox_un_p + h_c
82,NAt3pp,Inorganic Ion Transport and Metabolism,h_p + na1_c --> h_c + na1_p
83,HG2t3pp,Inorganic Ion Transport and Metabolism,h_p + hg2_c --> h_c + hg2_p
84,SO4t2pp,Inorganic Ion Transport and Metabolism,h_p + so4_p --> h_c + so4_c
86,COBALT2tpp,Inorganic Ion Transport and Metabolism,cobalt2_p --> cobalt2_c
87,ZN2tpp,Inorganic Ion Transport and Metabolism,zn2_p --> zn2_c
88,NI2tpp,Inorganic Ion Transport and Metabolism,ni2_p --> ni2_c
89,COBALT2t3pp,Inorganic Ion Transport and Metabolism,cobalt2_c + h_p --> cobalt2_p + h_c
91,CA2t3pp,Inorganic Ion Transport and Metabolism,ca2_c + h_p --> ca2_p + h_c
92,FE2tpp,Inorganic Ion Transport and Metabolism,fe2_p --> fe2_c
93,MN2tpp,Inorganic Ion Transport and Metabolism,mn2_p --> mn2_c
94,MG2tpp,Inorganic Ion Transport and Metabolism,mg2_p --> mg2_c
95,NI2t3pp,Inorganic Ion Transport and Metabolism,h_p + ni2_c --> h_c + ni2_p
96,CU2tpp,Inorganic Ion Transport and Metabolism,cu2_p --> cu2_c
97,FE2t3pp,Inorganic Ion Transport and Metabolism,fe2_c + h_p --> fe2_p + h_c
98,MN2t3pp,Inorganic Ion Transport and Metabolism,h_p + mn2_c --> h_c + mn2_p
100,CD2tpp,Inorganic Ion Transport and Metabolism,cd2_p --> cd2_c
101,FE3abcpp,Inorganic Ion Transport and Metabolism,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c
102,CLt3_2pp,Inorganic Ion Transport and Metabolism,2.0 cl_p + h_c --> 2.0 cl_c + h_p
107,SELabcpp,Inorganic Ion Transport and Metabolism,atp_c + h2o_c + sel_p --> adp_c + h_c + pi_c + sel_c
