gene_name,bnum,uniprot_id,A1-1,A1-2,A1-3,C1,F1-1,F1-2,F1-3
aaeA,b3241,P46482,0,0,0,0,0,0,0
aaeB,b3240,P46481,0,0,0,0,0,0,0
aaeR,b3243,P67662,0,0,0,0,0,0,0
aaeX,b3242,P46478,0,0,0,0,0,0,0
aas,b2836,P31119,4.41658E-05,4.82415E-05,4.63135E-05,4.58926E-05,4.81888E-05,4.53731E-05,4.61926E-05
aat,b0885,P0A8P1,0,0,0,0,0,0,0
abgA,b1338,P77357,0,0,0,0,0,0,0
abgB,b1337,P76052,0,0,0,0,0,0,0
abgR,b1339,P77744,0,0,0,0,0,0,0
abgT,b1336,P46133,0,0,0,0,0,0,0
abpA,b2628,P52137,0,0,0,0,0,0,0
abpB,b2627,P52126,0,0,0,0,0,0,0
abrB,b0715,P75747,0,0,0,0,0,0,0
accA,b0185,P0ABD5,0.000411596,0.000419854,0.000422332,0.000480693,0.000500982,0.000484301,0.00047573
accB,b3255,P0ABD8,0.000687466,0.000692091,0.000688223,0.000694955,0.000660085,0.000645512,0.000685685
accC,b3256,P24182,0.000655333,0.000669751,0.000657778,0.00073083,0.000741095,0.000716507,0.000679254
accD,b2316,P0A9Q5,0.000602368,0.000583454,0.000584399,0.00061602,0.000585979,0.000593162,0.000590838
aceA,b4015,P0A9G6,0.004888647,0.00485244,0.004950173,0.004477145,0.0049047,0.004820618,0.005010142
aceB,b4014,P08997,0.003826036,0.003751669,0.00386706,0.003298474,0.003609559,0.00361216,0.003516438
aceE,b0114,P0AFG8,0.003797611,0.003812405,0.003857867,0.004546152,0.004441576,0.004389978,0.004399674
aceF,b0115,P06959,0.002296509,0.002322988,0.002503904,0.002682794,0.002492238,0.002593302,0.002636214
aceK,b4016,P11071,0,0,0,0,0,0,0
ackA,b2296,P0A6A3,0.000360511,0.000360092,0.000381342,0.000398507,0.000385354,0.000372408,0.000358749
acnA,b1276,P25516,0.000579563,0.000587582,0.00056861,0.000632206,0.000631277,0.00062648,0.000620168
acnB,b0118,P36683,0.005219692,0.005196094,0.005256595,0.004834011,0.005241207,0.005168998,0.005243032
acpH,b0404,P21515,0,0,0,0,0,0,0
acpP,b1094,P0A6A8,0.00525839,0.005362091,0.004898148,0.005146071,0.00562277,0.005528036,0.005514567
