#string_external_id	abundance
b3495	45935
b3986	12183
b3339	10296
b1779	8675
b3980	8595
b0440	8148
b1823	7607
b1237	7523
b1094	7063
b4015	6737
b3236	6597
b1677	6011
b2779	5839
b3065	5808
b3510	5773
b2926	5619
b0957	5583
b3908	5547
b3341	5543
b2096	5508
b3315	5469
b4000	5456
b3303	5130
b4143	5112
b3298	4873
b0605	4833
b2185	4803
b0014	4741
b3296	4591
b4142	4556
b3314	4539
b0755	4480
b3460	4471
b0023	4401
b4203	4337
b3637	4182
b3317	4159
b1136	4117
b2417	4115
b3305	4110
b3985	4071
b2609	4070
b2093	4058
b3294	4028
b2414	4010
b3308	4001
b4202	3890
b3307	3871
b3321	3843
b4243	3826
b3984	3815
b3304	3768
b2551	3754
b3340	3698
b0903	3655
b0170	3538
b4200	3534
b1716	3505
b2095	3504
b3312	3482
b3301	3470
b3310	3455
b3309	3445
b2606	3419
b0169	3405
b3231	3383
b3732	3329
b3320	3328
b0911	3309
b2579	3276
b3319	3240
b3230	3209
b0623	3201
b3983	3190
b3165	3140
b1324	3133
b2665	3075
b1415	3070
b1482	2951
b2007	2888
b4226	2812
b3302	2808
b3313	2804
b3928	2785
b2925	2783
b1480	2723
b3306	2692
b3734	2663
b1712	2653
b4245	2647
b3316	2580
b1241	2569
b0436	2559
b3636	2527
b3342	2492
b0114	2473
b0812	2436
b3708	2417
b4177	2371
b1243	2357
b3544	2354
b3919	2342
b3297	2323
b0197	2301
b3703	2288
b0008	2267
b3186	2248
b2415	2247
b0116	2230
b0811	2207
b3185	2186
b1923	2177
b0474	2164
b2150	2164
b1089	2144
b3774	2107
b3609	2107
b2518	2106
b0329	2038
b3831	2037
b4244	2023
b1004	2017
b2029	2016
b3829	2005
b2310	2003
b0912	1996
b2094	1972
b4014	1972
b1288	1968
b2323	1955
b0728	1948
b1676	1935
b0729	1908
b3781	1907
b3295	1905
b3098	1896
b3203	1891
b2913	1881
b3751	1880
b3311	1834
b0118	1786
b0172	1766
b1920	1755
b3433	1717
b3517	1699
b4034	1676
b0178	1668
b0607	1656
b3783	1630
b0753	1622
b0115	1607
b0928	1602
b2498	1592
b0720	1557
b0407	1556
b0525	1552
b3649	1514
b2614	1476
b2942	1467
b0166	1464
b0415	1457
b4401	1436
b4045	1434
b2476	1431
b3764	1427
b0907	1421
b4069	1420
b2416	1416
b3988	1414
b4139	1414
b3870	1413
b3509	1401
b0954	1398
b1718	1394
b3936	1393
b0727	1392
b1817	1381
b0426	1371
b2914	1370
b1739	1369
b2508	1369
b4255	1353
b3987	1352
b3349	1323
b1093	1298
b3164	1296
b1656	1289
b0889	1270
b2687	1256
b4025	1250
b1092	1238
b0631	1234
b1376	1230
b3942	1220
b3403	1219
b2309	1211
b1641	1206
b1251	1199
b2592	1196
b2215	1194
b2597	1174
b1857	1164
b1283	1161
b2935	1148
b1215	1137
b3357	1133
b1850	1131
b0953	1124
b2530	1116
b1304	1115
b1905	1108
b2809	1104
b0655	1095
b4411	1091
b1493	1086
b2153	1083
b0163	1060
b1003	1054
b4376	1043
b1654	1042
b3318	1038
b3926	1038
b1761	1035
b3736	1035
b0897	1033
b4172	1027
b1550	1015
b3336	1015
b1175	1013
b0930	1011
b0437	1011
b2464	1011
b2266	1010
b2669	1009
b0074	1004
b1261	1004
b0471	1000
b1260	995
b2480	992
b2962	990
b4384	988
b3731	986
b0237	983
b3733	982
b2696	982
b2097	981
b3229	972
b0814	963
b1207	958
b0325	947
b3982	934
b0884	931
b2296	927
b3024	925
b2091	916
b1103	908
b0134	906
