uniprot_id,glucose_pp_per_cell,acetate_pp_per_cell,fumarate_pp_per_cell,glycerol_pp_per_cell,pyruvate_pp_per_cell,fructose_pp_per_cell,succinate_pp_per_cell,xylose_pp_per_cell,glucose_chemostat_mu_0_5_pp_per_cell,glucose_chemostat_mu_0_12_pp_per_cell,glucose_chemostat_mu_0_20_pp_per_cell,glucose_chemostat_mu_0_35_pp_per_cell,glucose_MG1655_pp_per_cell,paxDB_pp_per_cell
A5A614,14.0,9.0,8.0,8.0,25.0,9.39,8.0,9.39,6.0,3.0,24.0,68.0,9.39,9.39
A5A621,2.0,1.0,5.0,9.0,5.0,,0.0,,0.0,0.0,0.0,15.0,,
B8LFD5,19.0,14.0,18.0,18.0,20.0,23.0,25.0,27.0,17.0,15.0,13.0,17.0,16.0,
C9M2Y6,,,,,,,,,,,,,2241.0,
D0EX67,131.0,81.0,93.0,104.0,94.0,110.0,97.0,132.0,80.0,39.0,51.0,63.0,117.0,
D4HZR9,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,3.0,1.0,1.0,,
D8FH86,16.0,22.0,26.0,32.0,32.0,22.0,13.0,30.0,24.0,17.0,21.0,20.0,,
D9IX93,316.0,274.0,308.0,311.0,284.0,291.0,294.0,258.0,249.0,172.0,206.0,232.0,190.0,
E1MTY0,29.0,14.0,17.0,23.0,20.0,19.0,19.0,31.0,14.0,7.0,8.0,8.0,,
P00350,14100.0,5501.0,6745.0,8331.0,7002.0,10318.0,8024.0,12496.0,8213.0,2953.0,3915.0,5205.0,12628.0,2016.0
P00363,37.0,105.0,221.0,61.0,64.0,65.0,222.0,55.0,86.0,120.0,94.0,100.0,37.0,262.0
P00370,6343.0,3650.0,3100.0,4152.0,3776.0,6184.0,3520.0,5418.0,8053.0,2559.0,4032.0,5862.0,6032.0,1035.0
P00393,662.0,236.0,304.0,444.0,561.0,1132.0,412.0,1495.0,654.0,359.0,334.0,331.0,498.0,383.0
P00448,21660.0,24614.0,30246.0,25317.0,22602.0,28499.0,28643.0,26720.0,23528.0,15728.0,17327.0,20650.0,23526.0,5547.0
P00452,560.0,348.0,500.0,667.0,724.0,801.0,516.0,671.0,1020.0,543.0,798.0,864.0,414.0,394.0
P00490,274.0,157.0,223.0,274.0,222.0,439.0,237.0,226.0,564.0,221.0,339.0,447.0,217.0,179.0
P00509,6985.0,7853.0,8584.0,8701.0,8218.0,9171.0,9920.0,9984.0,7922.0,3113.0,4338.0,6683.0,7538.0,1602.0
P00547,594.0,380.0,454.0,442.0,841.0,712.0,400.0,1172.0,327.0,151.0,176.0,208.0,844.0,181.0
P00550,570.0,812.0,1168.0,1294.0,548.0,1014.0,1121.0,831.0,1660.0,2309.0,2260.0,1777.0,234.0,226.0
P00561,5703.0,2108.0,3423.0,4679.0,10181.0,9641.0,3815.0,9303.0,7938.0,1464.0,2045.0,3275.0,4375.0,498.0
P00562,343.0,182.0,128.0,214.0,171.0,390.0,177.0,265.0,326.0,162.0,180.0,171.0,220.0,66.8
P00579,648.0,435.0,602.0,591.0,602.0,608.0,564.0,696.0,737.0,519.0,494.0,557.0,668.0,596.0
P00582,440.0,352.0,445.0,443.0,482.0,423.0,380.0,417.0,460.0,340.0,360.0,398.0,327.0,248.0
P00803,147.0,82.0,121.0,136.0,131.0,148.0,109.0,147.0,135.0,102.0,99.0,114.0,77.0,101.0
P00805,5.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,14.0,210.0
P00811,19.0,8.0,13.0,11.0,11.0,5.0,9.0,10.0,10.0,4.0,6.0,7.0,12.0,7.86
P00861,726.0,369.0,622.0,712.0,545.0,960.0,724.0,770.0,736.0,194.0,326.0,516.0,901.0,31.4
P00864,3633.0,1349.0,1452.0,2185.0,1536.0,5126.0,1479.0,3575.0,4288.0,1673.0,2129.0,2871.0,2042.0,797.0
P00887,300.0,100.0,141.0,166.0,136.0,254.0,187.0,221.0,171.0,66.0,69.0,118.0,247.0,139.0
P00888,2076.0,1423.0,1042.0,1980.0,4245.0,3377.0,1289.0,327.0,1231.0,354.0,459.0,678.0,1153.0,169.0
