enzyme,glucose_copies_per_cell,acetate_copies_per_cell,fumarate_copies_per_cell,glycerol_copies_per_cell,pyruvate_copies_per_cell,fructose_copies_per_cell,succinate_copies_per_cell,xylose_copies_per_cell,glucose_chemostat_mu_0_5_copies_per_cell,glucose_chemostat_mu_0_12_copies_per_cell,glucose_chemostat_mu_0_20_copies_per_cell,glucose_chemostat_mu_0_35_copies_per_cell,glucose_MG1655_copies_per_cell,paxDB_copies_per_cell
GCVMULTI-CPLX,1779.1365275631117,1353.8214837712517,1786.5695517774345,1556.187789799073,2724.0692941782586,1782.1983513652754,2180.135239567234,1754.2235960844923,2010.6107676455438,908.2982998454407,1233.4209170530653,1506.3830499742405,1738.7877382792376,352.12184441009794
ADENYLOSUCCINATE-SYN-DIMER,3431.5,2993.0,2668.5,3226.5,3070.0,3364.0,2811.5,3958.5,4200.0,2282.5,2397.5,3347.0,3423.5,1185.5
B2789-MONOMER,5.149999999999977,5.149999999999977,5.15,5.149999999999977,5.150000000000006,5.149999999999977,5.15,5.15,5.150000000000091,5.149999999999977,5.15,5.150000000000091,5.150000000001455,5.149999999999999
PGLYCDEHYDROG-CPLX,2838.25,1165.5,1217.75,1516.25,1524.75,1920.5,1081.25,2976.5,2422.25,837.25,1033.75,1523.25,3028.25,470.25
ACETOLACTSYNI-CPLX,724.5000000000014,812.7499999999999,757.2499999999999,1059.9999999999998,348.99999999999994,812.9999999999999,871.7499999999999,929.7499999999995,1153.4999999999998,878.4999999999999,803.4999999999999,917.9999999999998,392.9999999999996,128.24999999999994
CPLX0-7997,181.0,108.0,128.50000000000014,117.5,91.50000000000001,32.300000000000125,115.0,32.29999999999973,125.5,63.5,76.5,50.99999999999987,15.5,32.299999999999834
N-ACETYLGLUTPREDUCT-MONOMER,1718.0,833.0,932.0,1243.0,1074.9999999999998,1570.0,1047.0,1573.0,1142.9999999999998,590.0,620.0,634.0,1352.0,52.60000000000002
CPLX0-8581,0.46250000000009095,0.46250000000009095,0.4625000000000057,0.46249999999997726,0.4625000000000057,0.4625000000000057,0.46249999999997726,0.4624999999999986,0.46249999999997726,0.4625000000000057,0.46249999999997726,0.46250000000000036,0.46250000000000036,0.46249999999997726
CPLX0-8092,6.2000000000000455,6.199999999999989,6.2000000000000455,6.199999999999818,6.2000000000000455,6.199999999999989,6.200000000000728,6.2000000000000455,6.2000000000000455,6.2,6.2000000000000455,6.2000000000000455,6.199999999999989,6.199999999999989
ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,6884.5,4161.5,2943.0,4470.0,4123.0,5396.0,3094.0,5173.0,3983.5,1288.0,1788.9999999999998,2466.0,7455.0,858.5
CPLX0-7887,46.5,47.5,37.5,38.5,34.0,35.5,39.5,52.0,50.0,40.0,42.0,53.5,40.0,25.55
CPLX0-8159,17.0,17.5,23.0,28.0,11.5,17.0,14.0,21.5,19.0,8.0,11.5,15.5,4.5750000000000455,4.574999999999999
XYLE-MONOMER,1.0,1.0,1.0,0.0,1.0000000000004547,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.4290000000000873,0.4289999999999736
GAPDH-A-CPLX,11770.75,5063.0,5649.25,8141.25,5268.0,15690.5,6108.0,9936.75,8498.0,3293.5,3839.25,5361.5,10751.25,2168.75
GLTP-MONOMER,7.0,0.9999999999994318,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,5.0,5.059999999999945
CPLX0-8158,141.5,91.25,95.25,129.75,136.50000000000003,46.0,57.5,87.0,160.25,148.0,140.0,142.0,105.5,80.25
CPLX0-2401,2688.5,1106.5,1058.5,2035.5,2038.5,2567.5,1552.4999999999998,1922.5,1577.0,829.0,1118.5,1379.5,1736.5,502.0
PURE-CPLX,451.25,319.875,259.5,239.25,287.75,352.375,305.75,342.0,234.625,145.375,157.625,187.0,324.375,82.5
CTPSYN-CPLX,240.0,97.5,166.75,188.75,156.75,229.0,186.5,193.75,176.75,66.25,87.5,112.75,293.75,100.25
DIHYDROOROTOX-MONOMER,1545.0000000000005,614.9999999999999,955.0,1027.0,704.0000000000018,1206.0,1062.0,952.0000000000005,970.0,236.0,307.0000000000002,496.0000000000003,1802.0,243.0
G7164-MONOMER,21.0,8.0,77.0,4.0,1.0,1.6900000000005093,11.0,1.6899999999999995,18.0,1.0,104.0,3.0,1.69,1.6899999999999977
