gerosa_et_al_2015_metabolite_id,bigg.metabolite_id,condition,mean_umol_gDW,std_umol_gDW
adp,adp,Acetate,0.890496871,0.020677705
amp,amp,Acetate,0.717871914,0.055765133
atp,atp,Acetate,5.162847335,0.21245615
glu,glu__L,Acetate,50.80324309,1.867204824
gln,gln__L,Acetate,5.1278458,0.395122695
asn,asn__L,Acetate,0.622863409,0.049364589
asp,asp__L,Acetate,3.601306539,0.120191424
tyr,tyr__L,Acetate,0.235799059,0.033135063
arg,arg__L,Acetate,34.85778075,8.315674284
ade,ade,Acetate,0.015512442,0.000800942
phe,phe__L,Acetate,0.146939465,0.028001467
gdp,gdp,Acetate,0.378915295,0.021310552
gmp,gmp,Acetate,0.098459985,0.037100432
gtp,gtp,Acetate,1.702067468,0.111583618
nad,nad,Acetate,7.323868144,0.165994188
nadh,nadh,Acetate,0.050261537,0.037521743
nadp,nadp,Acetate,0.026330878,0.00153754
nadph,nadph,Acetate,0.167418697,0.057005964
13dpg,13dpg,Acetate,0.096189121,0.017936389
2ddg6p,2ddg6p,Acetate,0.013105321,0.001654668
f6p,f6p,Acetate,0.471214893,0.048819388
dhap,dhap,Acetate,1.529201831,0.077721489
g6p,g6p,Acetate,0.89419299,0.024753397
6pgc,6pgc,Acetate,0.251071819,0.010857348
pep,pep,Acetate,0.563306977,0.062205781
pyr,pyr,Acetate,6.935117704,1.327502251
fdp,fdp,Acetate,0.613829758,0.025004161
e4p,e4p,Acetate,0.05720964,0.000517732
r5p,r5p,Acetate,0.088108164,0.010884174
ru5p-D,ru5p__D,Acetate,0.320496284,0.034692109
s7p,s7p,Acetate,2.482379329,0.149542918
xu5p-D,xu5p__D,Acetate,0.285627281,0.042996841
cit,cit,Acetate,2.783894251,0.133075348
akg,akg,Acetate,0.579527381,0.094647909
fum,fum,Acetate,1.388977365,0.040449433
icit,icit,Acetate,0.095045526,0.00453795
mal-L,mal__L,Acetate,3.86402724,0.28811602
succ,succ,Acetate,2.154092194,0.512951685
cAMP,camp,Acetate,0.010356481,0.001474494
f1p,f1p,Acetate,0.049452472,0.008078583
gal1p,gal1p,Acetate,0.040945442,0.001085153
glyc3p,glyc3p,Acetate,0.527607598,0.159922025
adp,adp,Fructose,1.380690207,0.128935023
