,biocyc_id,regulator,regulator_biocyc_id,regulator_bigg_id,regulator_type,enzyme,reaction,mechanism,regulation_mode,ki,ki_unit
ECOLI:REG0-13150,ECOLI:REG0-13150,SHIKIMATE,ECOLI:SHIKIMATE,skm,compound,AROE-MONOMER,SHIKIMATE-5-DEHYDROGENASE-RXN,MIXED,-,160.0,&micro;mole
ECOLI:REG0-10779,ECOLI:REG0-10779,CPD0-2358,ECOLI:CPD0-2358,NA,compound,OROTPDECARB-CPLX,OROTPDECARB-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-10048,ECOLI:REG0-10048,NI+2,ECOLI:NI+2,NA,compound,GLUTSEMIALDEHYDROG-CPLX,GLUTSEMIALDEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-10003,ECOLI:REG0-10003,CPD0-1454,ECOLI:CPD0-1454,NA,compound,GLUTSEMIALDEHYDROG-CPLX,GLUTSEMIALDEHYDROG-RXN,COMPETITIVE,-,NA,NA
ECOLI:REG0-7966,ECOLI:REG0-7966,CPD-29,ECOLI:CPD-29,NA,compound,GLUTSEMIALDEHYDROG-CPLX,GLUTSEMIALDEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-7965,ECOLI:REG0-7965,CU+2,ECOLI:CU+2,NA,compound,GLUTSEMIALDEHYDROG-CPLX,GLUTSEMIALDEHYDROG-RXN,NA,-,NA,NA
ECOLI:REG0-13500,ECOLI:REG0-13500,PALMITYL-COA,ECOLI:PALMITYL-COA,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,NA,-,NA,NA
ECOLI:REG0-13381,ECOLI:REG0-13381,ADENOSINE_DIPHOSPHATE_RIBOSE,ECOLI:ADENOSINE_DIPHOSPHATE_RIBOSE,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,NA,+,NA,NA
ECOLI:REG0-13378,ECOLI:REG0-13378,CPD-3706,ECOLI:CPD-3706,NA,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,COMPETITIVE,-,340.0,&micro;mole
ECOLI:REG0-13377,ECOLI:REG0-13377,2-KETOGLUTARATE,ECOLI:2-KETOGLUTARATE,akg,compound,CITRATE-SI-SYNTHASE,CITSYN-RXN,ALLOSTERIC,-,NA,NA
