,bigg.metabolite,biocyc_id
0,dhap,META:DIHYDROXY-ACETONE-PHOSPHATE
1,prbatp,META:PHOSPHORIBOSYL-ATP
2,10fthf,META:10-FORMYL-THF
3,co2,META:CARBON-DIOXIDE
4,akg,META:2-KETOGLUTARATE
5,2pg,META:2-PG
6,13dpg,META:DPG
7,prbamp,META:PHOSPHORIBOSYL-AMP
8,fpram,5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE
9,thr__L,META:THR
10,fum,META:FUM
11,gln__L,META:GLN
12,3ohexACP,META:3-oxo-hexanoyl-ACPs
13,3ocddec5eACP,NA
14,r5p,META:CPD-15318
15,akg,META:2-KETOGLUTARATE
16,ac,META:ACET
17,citr__L,META:L-CITRULLINE
18,34hpp,META:P-HYDROXY-PHENYLPYRUVATE
19,pep,META:PHOSPHO-ENOL-PYRUVATE
20,h,META:PROTON
21,rib__D,"['META:D-Ribofuranose', 'META:D-Ribopyranose']"
22,gthrd,META:GLUTATHIONE
23,actACP,"['META:Acetoacetyl-ACPs', 'META:Acetoacetyl-ACP']"
24,actp,META:ACETYL-P
25,pyr,META:PYRUVATE
26,cyst__L,META:L-CYSTATHIONINE
27,dutp,META:DUTP
28,h2o,"['META:CPD-15815', 'META:OXONIUM', 'META:HYDROXYL-GROUP', 'META:WATER', 'META:OH']"
29,glyc3p,META:GLYCEROL-3P
30,2ahbut,META:2-ACETO-2-HYDROXY-BUTYRATE
31,ser__L,"['META:SER', 'META:Serines']"
32,toct2eACP,META:2-Octenoyl-ACPs
33,ump,META:UMP
34,3pg,META:G3P
35,ctp,META:CTP
36,dadp,META:DADP
37,xu5p__D,META:XYLULOSE-5-PHOSPHATE
38,aspsa,META:L-ASPARTATE-SEMIALDEHYDE
39,thex2eACP,META:Hex-2-enoyl-ACPs
40,t3c9palmeACP,NA
41,accoa,META:ACETYL-COA
42,arg__L,META:ARG
43,26dap_LL,META:LL-DIAMINOPIMELATE
44,asp__L,META:L-ASPARTATE
45,acg5sa,META:CPD-469
46,hexACP,NA
47,skm,META:SHIKIMATE
48,imp,META:IMP
49,o2,META:OXYGEN-MOLECULE
50,h,META:PROTON
51,succ,META:SUC
52,phpyr,META:PHENYL-PYRUVATE
53,fru,"['META:D-Fructopyranose', 'META:Fructofuranose', 'META:CPD-15382', 'META:FRU']"
54,pyr,META:PYRUVATE
55,5mthf,META:5-METHYL-THF
56,nad,META:NAD
57,tdeACP,NA
58,3ocvac11eACP,NA
59,3hoctaACP,R-3-hydroxystearoyl-ACPs
60,adp,META:ADP
