reaction_id,equation
NDPK5,atp_c + dgdp_c <=> adp_c + dgtp_c
SHK3Dr,3dhsk_c + h_c + nadph_c <=> nadp_c + skm_c
NDPK6,atp_c + dudp_c <=> adp_c + dutp_c
NDPK8,atp_c + dadp_c <=> adp_c + datp_c
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c
OMPDC,h_c + orot5p_c --> co2_c + ump_c
G5SD,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c
ACALD,acald_c + coa_c + nad_c <=> accoa_c + h_c + nadh_c
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALATA_L,akg_c + ala__L_c <=> glu__L_c + pyr_c
XYLK,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c
FBP,fdp_c + h2o_c --> f6p_c + pi_c
EX_pi_e,pi_e <=> 
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c
EX_co2_e,co2_e <=> 
GTHOr,gthox_c + h_c + nadph_c <=> 2.0 gthrd_c + nadp_c
ILETA,akg_c + ile__L_c <=> 3mop_c + glu__L_c
DHORD5,dhor__S_c + mqn8_c --> mql8_c + orot_c
VALTA,akg_c + val__L_c <=> 3mob_c + glu__L_c
IPPMIb,2ippm_c + h2o_c <=> 3c3hmp_c
ORPT,orot5p_c + ppi_c <=> orot_c + prpp_c
ACHBS,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
DHAD2,23dhmp_c --> 3mop_c + h2o_c
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c
TRPS2,indole_c + ser__L_c --> h2o_c + trp__L_c
PSCVT,pep_c + skm5p_c <=> 3psme_c + pi_c
PFL,coa_c + pyr_c --> accoa_c + for_c
ANS,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
FRD2,fum_c + mql8_c --> mqn8_c + succ_c
ANPRT,anth_c + prpp_c --> ppi_c + pran_c
CHORM,chor_c --> pphn_c
PTAr,accoa_c + pi_c <=> actp_c + coa_c
CHORS,3psme_c --> chor_c + pi_c
IGPS,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
ACKr,ac_c + atp_c <=> actp_c + adp_c
