,0
pyr_p,-466.772122072244
glyc__R_e,-663.9348751406487
dttp_c,-3130.0824373445707
gln__L_e,-517.2440996321064
o2_c,16.399999999957014
lys__L_c,-359.74856709175816
tdec2eACP_c,88.87177456870313
aspsa_c,-445.5285631052549
akg_e,-791.0683567015703
asp__L_c,-686.7781589074832
cbasp_c,-793.1987760009329
thf_c,-432.8969869432516
phpyr_c,-295.08364873449517
accoa_c,-3187.4709311501388
prbamp_c,-2356.2720135798318
hdeACP_c,139.57100138051942
succ_p,-678.6598285003332
nh4_p,-80.13533478156633
3hoctACP_c,-164.4349690661154
tyr__L_c,-363.93898440739974
indole_c,226.09414675547316
xu5p__D_c,-1579.4500793340098
6pgc_c,-1940.166619793267
ac_c,-358.82108325556146
acg5sa_c,-576.9291358968889
3ocpalm9eACP_c,14.406134814528286
hexACP_c,-20.855028965756446
nadph_c,-3031.7942382687465
imp_c,-1241.3617842117528
13dpg_c,-2332.496720384384
dhap_c,-1277.5819602812942
h2s_c,-34.72910394180806
co2_e,-385.99999999984243
skm_c,-764.3524394889836
atp_c,-2745.435479965823
xylu__D_c,-739.9867522653891
3pg_c,-1485.2242352504445
glx_c,-462.4172280488646
prbatp_c,-4081.985014021054
10fthf_c,-563.1527940393914
fru_e,-907.8065632441356
adp_c,-1878.6190107344316
thr__L_c,-523.8087328397496
ser__L_c,-517.4920231000885
lac__D_e,-507.1642105012977
3ohexACP_c,-146.01829422502124
34hpp_c,-458.48697172347295
argsuc_c,-868.8878839172887
ctp_c,-3072.2376922004387
arg__L_c,-293.20473189646833
rib__D_c,-736.5445012065951
glcn_p,-1121.719414562348
pi_c,-1081.363039754892
5caiz_c,-1482.1500378356907
orot5p_c,-1873.9585750030603
nh4_c,-88.72767085656419
26dap_LL_c,-677.6818658404899
akg_c,-774.4734853362797
val__L_c,-351.70528033554115
g3p_c,-1271.9180973668022
3ig3p_c,-1064.9904640661482
trdox_c,13.080701295876565
etoh_e,-175.24412033835472
2pg_c,-1480.9556917659665
q8h2_c,267.49153984733766
lac__D_p,-507.06772195071557
glyc3p_c,-1319.9193519425871
5aizc_c,-1451.7469038311795
sl26da_c,-1111.2729630516524
3hcpalm9eACP_c,-20.91343309491026
e4p_c,-1422.2876816237963
3ocddec5eACP_c,-19.375726858434064
acser_c,-662.6646104729548
toct2eACP_c,71.97159376005288
butACP_c,-37.75298074960233
ump_c,-1562.7661354726984
aicar_c,-1343.5158176839411
fum_p,-600.7549895052243
air_c,-1112.6428623780937
mal__L_c,-824.6176414870989
nad_c,-2237.0489815377105
chor_c,-752.828386786722
thex2eACP_c,55.06800977702369
actp_c,-1210.947964817055
fpram_c,-1447.618822844613
actACP_c,-162.90861486883045
3odecACP_c,-112.2152203480257
r5p_c,-1580.5476218659942
26dap__M_c,-679.3344732703537
t3c9palmeACP_c,215.4931297312569
3hoctaACP_c,-79.93406502286143
pro__L_c,-297.9449236102821
glyc_p,-488.5490288988072
mqn8_c,775.946644960892
citr__L_c,-478.95710725834954
cyst__L_c,-648.3713961788853
dadp_c,-1711.9990641482136
met__L_c,-311.5630711276178
pep_c,-1248.0093211570422
ac_e,-367.1219120371621
gthrd_c,-923.3077820962958
tdeACP_c,122.66944612502016
hom__L_c,-484.5635856592616
etoh_c,-175.24582269198652
dgdp_c,-1871.397092001141
3ocvac11eACP_c,31.30631562317899
gln__L_p,-517.2446714469006
mal__L_p,-841.0275335819132
dudp_c,-2263.0518353747784
dutp_c,-3130.985123401143
eig3p_c,-1131.0454239007308
trp__L_c,-104.971607632728
so3_c,-469.8475981958717
5mthf_c,-462.0244404707998
2ahbut_c,-600.9933202351207
cys__L_c,-334.8351400184288
pyr_e,-466.8686006022363
succoa_c,-3497.8508193554026
acglu_c,-792.1808613482086
ocdcaACP_c,80.55036945256916
3php_c,-1434.9723858764462
hisp_c,-831.9931261403905
gmp_c,-1175.2679492975649
histd_c,-10.477447227474507
3hcmrs7eACP_c,-37.814794199755625
fru_p,-907.8066026885758
3haACP_c,-198.23650889402256
3oddecACP_c,-95.31503953937522
gly_c,-376.25324216903556
leu__L_c,-340.5967286136671
2dda7p_c,-1900.0141341647402
ddcaACP_c,29.849827026616595
pram_c,-1442.359368384923
glu__L_e,-688.009094736942
3hcddec5eACP_c,-54.7132231598373
23dhmb_c,-644.7809123876679
malACP_c,-376.01376805464497
utp_c,-3296.3583687029354
rib__D_p,-736.5385499612456
3hdecACP_c,-147.5347882574638
dhf_c,-394.3218261214515
aps_c,-1519.8713315928862
xyl__D_p,-743.6513388043012
6pgl_c,-1729.8870332890856
acald_e,-137.46334157646862
dcaACP_c,12.949646217965665
3dhq_c,-969.6575973644918
23dhdp_c,-506.4234267874799
thdp_c,-547.2403735736424
malcoa_c,-3509.623972725288
gtp_c,-2911.154563877089
gdp_c,-2042.1748147784817
prpp_c,-3262.8209715925605
3c4mop_c,-755.4613300749302
akg_p,-790.8753848689099
3dhsk_c,-738.1066203968812
t3c11vaceACP_c,232.3933105399076
t3c7mrseACP_c,198.5922969433775
so4_p,-747.3190302373134
3hmrsACP_c,-113.73442664016238
4mop_c,-435.1430969090304
alac__S_c,-609.4431224728069
3ocmrs7eACP_c,-2.4835378707439304
cit_c,-1141.4270355071462
t3c5ddeceACP_c,181.69340592163303
acACP_c,-54.64913172521506
for_p,-348.10624952399985
myrsACP_c,46.7500078352673
cbp_c,-1219.4484074922618
fgam_c,-1653.725468871765
for_c,-339.9031640185642
dtmp_c,-1394.9570488227373
dcamp_c,-1613.7784644349274
glu__L_c,-679.965002192522
f6p_c,-1740.4099588960905
hcys__L_c,-337.1988085379025
o2_e,16.399999999956794
dgtp_c,-2736.8093143294027
glu5sa_c,-463.4754556604004
2ippm_c,-557.6511139256785
h2o_c,-236.8411990526711
glyc_e,-488.54900361357403
3omrsACP_c,-78.41485873072338
etoh_p,-175.2441392533951
but2eACP_c,38.16991512914683
g6p_c,-1742.8260076439426
tpalm2eACP_c,139.57231699465524
ru5p__D_c,-1576.0594652390253
dcdp_c,-2035.634532207435
imacp_c,-936.2285565717498
25aics_c,-1952.8117209116442
fdp_c,-2574.3483574957622
3mop_c,-436.417954997227
suchms_c,-963.1126013884852
xyl__D_c,-743.6544665150903
trdrd_c,-13.080701295860877
xmp_c,-1441.967954029129
nadh_c,-2205.072986843966
succ_c,-662.229490385159
3c2hmp_c,-790.8023710575453
orn_c,-363.67403730879977
rib__D_e,-736.5385078423883
octeACP_c,156.4711821891699
3psme_c,-1787.1453753158642
acon_C_c,-895.3448979618538
dhor__S_c,-600.7873438921089
q8_c,418.99630269598214
phe__L_c,-200.16795181875403
s7p_c,-1889.5586437975824
pi_e,-1098.2995542668664
ocACP_c,-3.9505345906836737
cddec5eACP_c,105.77130610438644
tddec2eACP_c,105.77195537735406
ile__L_c,-335.61253322233415
prfp_c,-2637.5236293837147
pser__L_c,-1351.5307019725667
acald_c,-137.46447647888982
skm5p_c,-1604.6168305528104
prlp_c,-2647.3022364251897
so4_e,-747.5120010821156
tmrs2eACP_c,122.67213618600613
dctp_c,-2898.6247143864325
fum_c,-584.3519058024318
udp_c,-2428.9539811874147
so4_c,-730.9165170237429
1pyr5c_c,-211.57952069827883
glyc__R_c,-655.6382667783051
dump_c,-1396.7340698137157
gthox_c,-1813.510445423344
cdp_c,-2205.725408090196
grxox_c,1026.8481489969372
orot_c,-574.7558711682906
2obut_c,-458.78104496499526
cdec3eACP_c,88.87177322994262
pyr_c,-458.57161124574037
co2_p,-385.99999999984243
3opalmACP_c,-61.51467792207313
datp_c,-2576.345411251768
glc__D_p,-907.6884983957483
phom_c,-1338.6393427688056
o2_p,16.399999999956794
3hcvac11eACP_c,-4.0132522862593305
succ_e,-678.8535563933826
glcn_c,-1113.5212520052
3hpalmACP_c,-96.83424583151123
co2_c,-385.99999999984243
2cpr5p_c,-1563.3763055149886
3hddecACP_c,-130.6346074488115
hco3_c,-579.5229307061993
acorn_c,-478.65276796004656
anth_c,-189.8002048705411
amp_c,-1012.4063876691823
acg5p_c,-1633.2816127411163
pap_c,-1849.8481826626592
methf_c,-375.7504509634677
nadp_c,-3064.0832539025796
palmACP_c,63.650188643918455
pran_c,-1553.5920602400956
ACP_c,75.77448260359915
acald_p,-137.46335418649554
pi_p,-1098.0982380136047
nh4_e,-80.03741931944295
mal__L_e,-841.220718749244
glu5p_c,-1517.2912037751973
coa_c,-3048.498043956519
pphn_c,-801.5533121325076
mlthf_c,-347.25177153740174
paps_c,-2351.2386198282193
3hhexACP_c,-181.33819992398412
dtdp_c,-2264.100311142985
3ooctdACP_c,-44.614497113421066
glyc_c,-488.55129284730344
asn__L_c,-521.0532289717202
his__L_c,-170.87289207794018
3c3hmp_c,-794.8885442515652
4pasp_c,-1532.6711770842844
glyc__R_p,-663.8383971376485
ala__L_c,-363.810052265094
mql8_c,732.1852413630761
gar_c,-1577.3638432658906
oaa_c,-778.437970514569
glu__L_p,-687.913471720013
glcn_e,-1121.8158722306714
gln__L_c,-517.4033541638341
3ooctACP_c,-129.1154011566755
ac_p,-367.0253336004041
glc__D_e,-907.6884497347008
fprica_c,-1458.601218840183
for_e,-348.2027881720053
toctd2eACP_c,156.47249780330617
icit_c,-1133.5549078819006
grxrd_c,970.3848664226758
3mob_c,-444.87179914419585
sl2a6o_c,-1206.9541505886118
xyl__D_e,-743.6513061953882
fum_e,-600.9479842985058
lac__D_c,-498.8671615824025
ppi_c,-1964.8291229445556
23dhmp_c,-636.3308661177336
h_c,-54.58976263453284
h_p,-41.106470760195734
h_e,-40.95063667926521
