,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175
NDPK5,1.9924278902653225e-05,-3.774944580807552e-05,1.8464926061048224e-05,2.732144799145897e-05,0.0267473035139826,0.07075192482362845,-0.08621457561915871,0.4062607071571285,0.06710351524026792,-0.05790585860188983,0.056318666759320166,0.014026207071015248,-0.27388999199075054,0.04566464058392299,0.016636194038608023,0.031217507873402026,-0.007958557286427876,0.09979066433508907,0.026157361029655275,0.0027717667415063695,-1.0548104616311835,-0.07407231300206238,0.4956786586972455,0.019308415500349008,-0.05302534055862568,-0.019503126458826927,-0.03618205380277308,0.18972868024746276,0.08088257977206054,0.007989291772688445,0.03939307328569442,-0.14225756283442223,-0.0007179545743663293,-0.030686090263221485,0.09054805889448012,-0.017973882931719823,-0.020374241900391225,-2.450944262642349e-15,-6.102564681938079e-17,-0.15386409040184432,-0.3246672369401481,0.04515122758513238,0.03225408447542072,0.8842361216551955,0.29564616247541864,0.026888619621235166,-0.05875831919895534,-0.042626106037889966,-0.05439158327655871,0.3386672028350472,-0.04580222151934775,0.3845803009314919,0.22909039868143063,0.23552027941422032,-0.0632111579988309,0.1016254587826077,-0.0028857114334266292,0.03477248254737389,0.1069289812232352,0.04545601916595383,0.1398796712966056,0.15799110641473668,-3.68763851603286e-15,0.04491638760985238,0.2561366929495376,-0.1456774969588233,0.08739075696011148,0.0733887641658194,-0.001775574193660676,-0.31340211043952815,-0.09190890831384274,0.09057580035338927,0.045236856545952574,-0.021603224199581324,-0.0344444794160679,0.46117282551340777,0.1847999609468768,-0.026221925036074893,0.04545897261693775,0.06042769389710825,-0.002142700411713265,0.059763426689942334,0.014236641988923278,0.04469107802716807,0.1893189154420504,0.004165686003505725,-0.08555429513535077,-0.07689016691515395,0.0068026808266453895,-0.0959249558235512,-0.17237017230340612,-0.011148173655183821,-1.4280124715332447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHK3Dr,1.265298430922227e-11,7.76506619717904e-12,-2.87221840985466e-11,-1.04213188974171e-13,-2.404831160403003e-14,-1.51706446024391e-14,-1.6459272189491633e-14,-1.2646459345676717e-14,-1.2863503833733751e-15,4.4245266016323165e-13,3.200391374945885e-14,-5.169582897147657e-15,2.5691271653967226e-15,3.1217439099361443e-15,2.8721046782689593e-15,9.794139677647189e-15,-4.184422736624038e-15,1.1533266752557266e-12,-1.264309794455618e-14,2.7431833091065807e-14,-1.1776365437196638e-13,-4.8711902510645845e-14,-8.542016725374171e-14,-1.1034305023090361e-13,-5.588719596501951e-13,0.11228542172514543,-0.009008630551386888,-0.008780128765623672,-0.004300242413267357,0.00431121949199578,0.010631392746878712,0.012632155540738717,0.014759967066808204,-0.007440813077856749,0.0024278518649337773,0.008522061717449325,-0.017357648695617876,1.423427767212321e-15,-6.485876565843153e-16,0.0009737895902755822,0.009927892108084329,0.008636177567513276,0.0035000772440401933,0.008004494234769118,0.0027342488176306497,0.012561455289898854,0.02969487711659203,-0.002552085827530193,-0.008259854462100261,0.021458006154394388,-0.00718031252538593,0.0013191509658791658,-0.5712333572336264,0.06731406674997378,0.024103560001916286,0.011318120316025955,0.018896585944314107,-0.01400378783612566,0.044691034453542264,-0.0035279913314483205,0.04364734362420863,-0.06516960530865948,1.9602259515103947e-15,0.00743439845556637,0.02022236387392804,0.011794363038766943,0.016403789770336644,-0.04878092934474344,0.02898536646456783,-0.03751546906902494,0.0061095333528363915,0.020528008228494356,-0.023945669553131824,0.0263955760964827,-0.004413427060924923,0.04625299284927894,0.03083406819718731,-0.0418424616143757,0.002296154233623085,-0.4435415911046764,-0.03736586662573334,-0.009345898925102007,0.011875817748889067,0.051596402918023365,-0.07952900797641135,-0.004231803187794588,0.02490733398815094,-0.1328058636434001,0.05320258564907794,-0.03250636152079739,-0.07382269607417696,0.02405975667005958,-0.057626536057566374,-0.020363850820080538,0.19168090076577077,-0.008524933579328877,-0.007874401935418135,-0.056361251746701306,0.007678281993279004,-0.04300208838490115,0.0011635418367863786,0.005136001706202202,0.0034280049485986073,0.05757632094202049,0.2567885404535698,0.053543217706194655,0.013069197181323827,-0.004437517221366325,0.05293571313506601,0.9974057188833271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDPK6,1.3397187263197425e-05,-2.5149710720152712e-05,1.2346706945055758e-05,1.831712020758342e-05,0.01748732946478182,0.04609060834104033,-0.05820988215123107,0.2696303746788511,0.044885439232793846,-0.03680036374967104,0.03458628918811472,0.010237364893009722,-0.18343442574614063,0.03128222886631072,0.01142208082767912,0.021508827368567223,-0.005567011273763546,0.06500038199518039,0.017070722514044047,0.003300501237972011,-0.7023745478086003,-0.04903422661007824,0.32884550927635503,0.011873951474359802,-0.037528649093583805,-0.010510310626743872,-0.021372610626437888,0.12831542913622665,0.05034359667273205,0.005724818831342206,0.026290939506550107,-0.09167161363619399,-0.000289554895116615,-0.020762052554778577,0.0603002302113973,-0.011331995551901815,-0.015488699056120275,1.3652695038801002e-15,-5.774649587694634e-16,-0.10443627965151482,-0.21357800402276012,0.029988092190157915,0.02077415192450894,0.0694643432199511,0.1675928123945683,0.014317845175733366,-0.07204513010704766,-0.022271781994787333,-0.03457776185400698,0.2658110346450323,-0.03971683643943266,0.026600218309532127,0.18033770297601678,0.17777374389824568,-0.02501870861486201,0.11003562974970177,-0.018841480926640394,0.043203420606458924,0.08674049272345653,0.027960837063408177,0.10423483573921194,0.0533944902658575,-1.567512825365658e-15,0.028444394174629583,0.10315115779164988,-0.12510656651245133,0.06018153193771762,0.04062676835014802,-4.6239587919417315e-05,-0.24026866263883245,0.10924045640605623,0.10605362518480245,0.028719479722265594,-0.017554551736805257,-0.022843689384287585,0.24539050485098696,0.15794109431076922,-0.05840640425053594,0.033059830888746214,0.06327079408545633,0.040166721788418555,0.03204917670921932,0.0010732340341847862,-0.015430518233352905,0.09367473371354153,0.0010492819903994907,-0.030495274128149744,-0.1298749471313141,0.002970096571434063,-0.05073930451517741,-0.08908282654341096,-0.03554964080693202,-0.35501764508362954,-0.00835562730649678,-0.05818627719235811,0.010919228912368413,0.0028864788746064615,-0.006191084931002147,-0.015448087207511077,-0.0015795310889027815,-0.046990817391663324,0.005672251245016689,-0.017033263430970915,0.1748788971775128,-0.014150560281148267,-0.15342066033376722,0.11533907013843846,0.002405342590588538,-0.010445431300611027,0.06183680959331184,0.01870765967565671,0.034284309703545617,-0.01682903631219738,-0.07516264180290397,0.03858685408420474,0.057324738807498894,-0.01619029211155229,-0.06214528894246524,0.18409429276494005,0.024491343807476126,-0.013520635390011257,0.020247221996714145,0.030584204712083302,-0.019750306258158802,-0.013046408614515082,-0.0016253811992001511,0.07097887383950705,0.07172347248815072,-0.18847182383295114,0.015189976943951989,0.005815569753774085,0.00604284408518779,-0.01450219305850926,-0.09482500374289356,0.0045732951945310005,0.03488876493355808,0.00045919357498368273,0.0038314243247861597,-0.0091983412565365,0.0013525613228690617,0.06087245885750135,0.018534876888820516,-0.002044755282132999,-0.004484184057952279,0.026380073376976693,-0.020612399968111265,-0.0165712441599698,-0.00329018419458252,-0.01574551435687237,-0.009517700164779536,-0.009884661683896435,-0.016745058698666052,-0.005937145346480439,0.03585376838676863,0.0038915395376864156,-8.974038661912326e-05,0.0037615862258467757,0.0059340370897086915,-0.00827650918590339,0.01227052922113527,-0.023638301675754828,-0.0005455723700692123,-0.014007129470658746,0.005258556699575275,0.0018946353813171961,-0.011693459935902293,0.005364051926850898,-0.015514840375726004,-0.028787025330564778,-0.02092938704529534,0.023691603746338913,0.1508680215032747,0.0,0.0,0.0,0.0
NDPK8,1.1434879843121543e-05,-2.5174577882819376e-05,1.2291585804593434e-05,1.8162874033124844e-05,0.018003638741443933,0.04770662061064465,-0.0571096346365588,0.2714455198039063,0.04466079562027788,-0.039505676725203866,0.03902552217560824,0.008907524632996367,-0.18217277912780092,0.03002352618530179,0.01092515360217364,0.020463094189113993,-0.005175051659350373,0.06729047334491287,0.017621999758871704,0.0011215161221054821,-0.7036231877435153,-0.049555199692965186,0.331255904073372,0.01337143976072881,-0.03426101603082238,-0.014247971071871271,-0.025495748535007193,0.12557096565983997,0.05571078142138726,0.005126882358873576,0.026247603529127563,-0.0964217560012096,-0.0005731771420023581,-0.02030506398469443,0.06039794378808152,-0.012307885155689301,-0.012629892353455395,-1.4199736495031926e-15,-1.1034519065277576e-15,-0.10164595055881952,-0.2178782349391944,0.030157181486356273,0.021867008509012693,0.06632885944418129,0.16795058519930756,0.013030473898847627,-0.06984529930794887,-0.026639105464999382,-0.03567381441862615,0.2702244483997659,-0.03966527582687257,0.025760448455115034,0.17707128465370414,0.1778914647989692,-0.025959064392044442,0.10969101555593935,-0.021144547945839982,0.04715905333263252,0.08914128708187248,0.024397277792179716,0.11507426893749266,0.054628058614094234,-1.1675403324085146e-15,0.028062951713072628,0.10214227714721476,-0.12148508261395058,0.06050851612309367,0.04029851332811469,-0.0016667876134460096,-0.24267287586397673,0.10670326900414583,0.10904664261763689,0.028835575880765216,-0.017762756408366255,-0.021733537610659236,0.24161493910082463,0.15497624268123716,-0.26870875081051965,0.009515847326936293,0.04365118221633629,0.020945146166839484,0.03602840603946845,0.00528591207049512,0.021521392870286454,0.0574416610751999,0.0006463120474377165,-0.047348606235742524,-0.08699405320819814,-0.02055525299119245,-0.06697369535217032,-0.07292649283559842,-0.020938467577937766,-0.35664448353326345,-0.027171928548004463,-0.011381925911049418,0.010747589484655866,0.004343628742864921,-0.0350497976321743,0.011139799718976426,0.02378568117043329,-0.044867911435016075,0.004380856503924423,-0.015350545776757764,0.16621477836647588,-0.04753441816711479,-0.25310033973635304,0.08774570261699324,0.021427238620607213,0.004461171052221183,0.04869281569487131,0.0037173400514052984,0.04417611363518027,-0.006221528575059302,-0.2853790574730367,0.04218543733986822,0.01548619121515559,-0.03758060162489762,-0.06202151497341645,0.2817683094100351,-0.08365359868040523,-0.03399232212856634,0.004238143462881122,0.003941716913362499,-0.04023592885538472,-0.026425102058421638,-0.009108566345357873,0.11193332137232206,-0.15583429251923542,-0.13946118354802492,0.014883908721115046,-0.00178424954313613,0.03626167938361505,-0.019899839360452476,-0.08780981636106452,0.005124357495180757,0.053812495994241025,7.519949744363638e-05,-0.04517433370627046,0.5716642538274709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHORTS,-2.787960960101231e-11,-1.2278055877657164e-11,-1.76904114678545e-11,-2.121111140166938e-11,-5.150075626850914e-15,-1.3555764947154643e-14,-8.17054887397313e-15,0.33373725646848074,0.08946335721377373,0.007004754773142519,0.045626953863241254,0.00784219298337121,-0.04315474002461245,0.010227848287894652,0.03864658179398325,0.02633094623161892,0.012307417454271536,0.009915036073110499,-0.0016976388303538046,-0.039954675655372585,0.1431093439780711,-0.0881019589365174,-0.005703607475711021,0.005766139576581215,-0.0853851596951698,0.06921641688582349,0.034659093116412056,0.04818951884138339,-0.028856880000597298,-0.028655820679678815,-0.002891533113540247,-0.03109434042287766,0.04998970691873222,0.00996812306738189,0.00032835090069953203,-0.06035800024492426,-0.04936806818242371,-9.938398002477438e-16,-5.997687477372544e-16,0.0492197763951431,-0.057121752589851416,0.22133137632754685,-0.08073904334658911,-0.00786868283863418,-0.0064812756630887175,-0.1051672549113391,-0.037076042500228786,0.046994139158537944,0.10395977067125407,0.0322311022714936,-0.3270506796287009,-0.040796940029484925,-0.04524633991458276,-0.023979483018608534,-0.021979221445718365,0.04778388411145259,0.009490163387930467,0.007271893331955247,0.24695134384689482,-0.045382705785638945,0.1462007391499898,-0.07733857641169602,-1.9977464102377923e-15,-0.008482854460052031,-0.06951684394105061,0.07254635472666718,-0.018847564253067443,0.08635006920144926,0.03112428278808958,0.028133398937577943,-0.12184569761265186,-0.14741305027157844,0.014452516364911891,-0.019426621036378076,0.02363954318324361,0.014946319562958395,-0.11526481215292565,0.168758514681484,-0.04557801112104568,-0.06783004669922173,0.052096064725692615,0.10506269326217046,-0.042213146939521995,0.07764061745858383,0.022682512524190984,-0.005185226151505101,0.12536691228757768,-0.0937797351840569,-1.4957943558467544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMPDC,-2.690318639496337e-05,-5.568791385144502e-05,-0.0001238570311176224,-0.000227499825201532,0.053365712521640234,-0.32053594700486515,-0.6325813397044112,8.585462514913628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G5SD,-8.572581572651452e-06,1.2716463554796883e-05,-4.509976623514468e-06,-3.760034261423893e-05,0.07027936980276435,0.01042873769681328,0.026665554109467776,-0.061919038994012264,-0.2287515106791714,0.00205651182702469,0.10188266224402771,-0.1452448878242019,0.1391545713153128,0.014520680458023676,0.027510301908862625,-0.18040537350262215,-0.04665403185380745,-0.0806686486137664,0.061389621051008265,-0.026919988321058613,0.5010032844751324,-0.0032502336675791703,-0.27456063092145194,-0.3229496456934647,-0.009627445654820623,-0.06923173394342187,-0.1245855055703784,-0.0652455913911825,-0.17773240003531315,0.019191550899254377,-0.014462694514792719,0.1273262733783905,-0.016186645077421968,-0.0145367645505261,0.01102025157088037,0.036929266244417794,0.002652170025169337,-1.0388599065486638e-15,1.0923240434525377e-15,0.0826990604879343,-0.03962180959979612,0.030304974605648592,-0.04866676748964483,-0.09602986341982674,-0.17378944468021162,0.05914214102151261,-0.07642837102192698,-0.024442785284631143,0.08800443801726972,-0.41360290497729835,-0.024404590770294672,0.05983232246575743,-0.1778322653798288,-0.34345512491813107,0.07026706864853095,-0.09311635644023067,0.14870926760931166,-0.09744214873082961,-0.01744910656499072,-0.05559253677328137,0.04584556413619227,-0.18752624532965317,5.2959251266592626e-15,-0.038782678390534925,-0.13197497159108704,0.06184193026904615,-0.03912877032214298,-0.06883069292327829,-0.015088567568601129,0.23429724942093053,0.03439824859549918,-0.14288184093589976,-0.012432526343944334,0.024041083675810954,0.007960432618641591,-0.25683075046628395,-0.02693234251058404,0.21996124443940138,-0.04205981431286611,-0.0290349276549121,0.02571726885241754,0.08451848516181235,0.02186322981146388,-0.022095413882312443,-0.20673270321769177,0.0036996772468626607,-0.16067112937463313,0.2348757504162526,0.05912345901068123,-0.07885447947508512,-0.008712869408587023,0.0032447105456382894,0.2741554452011174,0.04053468060539336,0.1563582294652539,-0.01679540299555414,0.008840577097803623,0.1512626044996551,-0.01664672612291556,-0.07240488242492096,0.032290977601510985,-0.00254587277007318,-0.02152896392087114,-0.646567760913967,-0.055887285027876855,0.1403442638789487,-0.051929523808022335,0.11662527869939404,0.04109248680601995,-0.011136341721328229,-0.08621321861165245,-0.031314141854012,0.04175187323599693,0.012737102598752862,-0.1914333882763504,-0.05655698114236087,0.07833545446927805,0.08177031394552096,-0.03628293554972668,-0.3124551982375704,0.005153633262562619,-0.0022478155841372267,0.0028246377758193225,-0.0656751190613196,0.032573340541450585,-0.005711246718359452,0.08352145254463965,0.08449050332031276,0.04624071182552963,0.013151483132269897,0.0013639062359844603,0.03790430122959826,-0.023194835985046153,-0.019610242684534745,-0.01445088683691818,0.1471978576030218,0.0013888832260477752,-0.08705850194220166,0.02437592077358633,-0.5392557326256543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CS,-1.1324760872663935e-07,-2.772397068816521e-06,-1.2357492222477177e-06,4.250054477023588e-07,-0.002811389426183758,0.0031318093060873687,0.0034271132897922708,0.01545695081114339,-0.012334289951158416,-0.0018293685935304362,-0.005732906451698746,0.0049031218076254065,-0.00371118197825745,0.008292832030573676,-0.018205832421609235,-0.005123467900907553,-0.02765148842905712,-0.006942607197027322,-0.005503397697562777,-0.002509415697240501,-0.0009926573629628493,0.0002651521330011193,0.013922962110068255,0.01527636780129116,0.01129911645230781,-0.0023899018648905943,0.013565746341689866,-0.01538305551811041,0.0007900055582685305,0.03454772756549402,-0.010889056741391047,0.01657156633961415,0.01251099876533456,0.009207127191613637,-0.0023437589203026033,0.0023439132337118524,-0.018924049188131557,-3.774889863530581e-18,1.3482470979414189e-15,-0.024861644592186406,0.003928239746703676,0.009610944781534951,0.008679462391492464,0.0171923242400381,-0.007906512564614705,-0.0031783330785072118,-0.013822325268259529,-0.004855184094345163,-0.006283069494640969,-0.011250071772568409,-0.00106088960149716,-0.0004520534088446958,0.0032722793249230653,0.006819055703307392,0.00584874094980828,-0.0010740897201700925,0.01785794417267427,-0.016964121776748733,0.035676393176372424,-0.003101954008961934,-0.00401268725568628,-0.004312494816866117,-8.169761412251657e-16,-0.010342070188685404,-0.007849672306097392,0.02446667948495238,0.0032932778319453414,0.010780445846610377,-0.020373959468232297,-0.01792186083633969,-0.00789244928462486,0.01582948263475373,-0.006764021632314174,0.0010173537434958048,0.0019352564548676125,0.0030550279734256063,0.012540307607783721,-0.018815268292052028,0.005529947823276023,-0.007527469239321001,0.04514691459878181,0.0022104791495975626,-0.008406661364696056,0.024314899777437768,-0.002921226212871462,-0.003133152136457108,0.011501376758670846,0.006870040618523178,0.007654190760107585,0.026831907998070635,0.004349610357097105,-0.016725130092822428,0.002347562696494134,-0.018978879474132848,-0.02359461666258084,0.02673841882972366,-0.0017405553023229093,0.021715284367954644,-0.004193912032281877,-0.00794129592250986,0.0007505376873138029,-0.006638999098818068,-0.01898101786167243,-0.04392908328430579,0.0033207504944673403,0.012320268136406746,0.007885191706891495,0.022750630074932467,-0.00018924103586265083,0.0027946341526253952,0.019000134940270856,0.05362766719267659,0.003414568196490373,-0.004458835945178271,-0.0019362316640296386,-0.0010357725954965162,-0.017786491814963296,0.0023208634528066635,0.02229724805636799,-0.016500537173114706,-0.02408074680649602,-0.009232066098286081,-0.016103353312170745,0.0095684396652415,-0.022763333489251036,0.004662388480237635,0.04804968604916533,0.045814063481446315,0.05847100498088727,0.01159974077953238,0.0011528657015531909,0.0006764812140806339,-0.0057105689826958735,-0.04499294302887333,0.062215103316142314,0.09787880058675621,-0.000345664685478239,0.027810729777960383,-0.001892672003843127,0.08267848957649084,0.044926362136097235,0.01382446906524371,-0.005077628655423078,-0.006685818048376835,0.009683100354935628,-0.05565277007900205,-0.002579907671991389,-0.004878245017431344,-0.09306074059574604,-0.010019166085337226,0.06473334763858878,0.10705749363341117,-0.023791280500286265,-0.03594357574461881,0.022026235296585095,0.0005553091776345949,0.09222411823208983,0.08014460984363897,0.2944158457520642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICDHyr,3.3630479086773515e-07,-5.108903889418245e-06,-8.114712487276918e-06,-8.206471877178852e-07,0.005224311874338167,-0.7618976180712825,-0.19888001639420633,1.1910459916787597,0.22100491257652655,-0.02905301738560846,0.009760733138176962,0.050756338467963624,1.2302178519270668,-0.04427818270111728,0.18716215917958814,0.028579943057185662,0.05693172803956675,0.08135846875220053,-0.1795772685364932,-0.058033292786921944,0.22045663777749422,1.1302381995231008,-0.1005560513048383,0.23094069115966798,0.0232027238827576,-0.38837015265013425,-0.2814868206558686,0.0037368170428844867,0.0701752639246454,0.11072111548145772,0.12224668172391116,-0.01925938267188884,0.05530821432718597,-0.09034007711882744,-0.1264460513203659,0.8885837175696862,-0.044627751007171965,-3.1069339242147594e-15,2.5647841727930905e-15,-0.32662346659956404,-0.11606753392575912,0.24747878015880007,0.04569381045727314,0.07507829923215184,-0.0020260894611396755,0.9006961135911818,-0.06584995230980151,0.21991780904792035,-0.10734992602454951,0.11389968992228916,-0.20425096972272083,-0.06355016440966613,0.07259523387499976,0.10764181020964814,0.49002823673573964,-0.17611156522748228,-0.1100964921518964,-0.062477963730740896,0.3067068628570129,-0.04198708254617937,-0.06102358236357451,0.24788442704976055,-4.332654216378848e-15,0.0034643374267197703,-0.04074063663582056,-0.30947717847386375,0.0540920344151778,-0.07004440528405685,0.09655849082119389,-0.03329121388994108,-0.13158152986235777,0.49219282023476285,0.058327687703726476,-0.0745023638872104,-0.014054648279931551,0.07345047493003967,-0.08324514589546704,0.18746176591854113,-0.005525465740297137,0.08025244536628512,0.030708864530379826,-0.046351553293458456,0.05810853440199458,0.1806992785110878,-0.15631252387385458,0.008066066220513313,0.12527728524493276,-0.07768844125077257,0.16514233638955375,0.22526233123971023,0.29090926892169494,0.0701052818264128,-0.009453025049672409,0.0475113895185838,-0.03938804989530546,0.2679028760968946,0.006335240333922947,-1.281044981475474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACALD,-1.8260298410879938e-07,9.65642763090041e-07,-1.6375161298903538e-06,-2.1064843029751296e-07,-0.004124032069067073,0.013077063705976074,0.007187170109837533,0.04008835793812194,0.012413486335353515,-0.013381194313497496,-0.014370492341824163,0.010434139146114874,0.01775206942336988,0.017558830402811212,-0.006167880607020145,0.07991871794905873,-0.00099632840095249,-0.04361442072977376,-0.024079832818730575,0.02847179579973509,0.019753824894764842,0.028677467533120102,0.023796300640660163,0.09917330571279107,0.031237024125215028,0.03777110231496925,0.0047443374175015676,-0.00597476645510881,0.05535888917585074,0.029908834776790898,-0.02458324312532944,0.03155858141061759,0.009793750657750412,0.021022112143244495,-0.013442655665934094,0.12585022945189575,0.01813264138668921,-6.131213101426305e-16,-1.583114149608833e-16,-0.1234451096798527,0.053296827183686474,-0.010595236741203025,0.04548381798961173,-0.01798479647382173,-0.06620843744281349,-0.07240930563136076,-0.013220936455543578,-0.05426209006987692,-0.04499181040836724,0.008273838839006382,0.012646984848775647,-0.011113282690628177,-0.009193927696840624,0.04824216258738076,-0.02992946388498046,-0.0008914473008417919,-0.03900774921884206,-0.014623266827120094,0.021355311628049132,-0.017760912781810956,0.004936649877875538,0.040499996934198465,1.727497827506657e-15,0.028519228147309828,-0.017038452753819953,-0.13285384491788987,0.022344463559412175,-0.006440832508188689,-0.019846165253335837,0.009059255932532208,-0.00453878970604582,-0.14140837154164304,-0.017531826866072464,-0.0016814313125505852,0.030330655915689533,0.0320873650027393,-0.018078420260761303,-0.005719516675525328,-0.01855517488882522,-0.0017185109611053545,-0.15551462036768077,-0.05774759552685973,-0.0164479675195336,0.05620147709358875,0.13412819220798305,5.914154902278857e-05,-0.020542977358647515,0.03803592345735306,-0.0059305870638653915,0.01227135187891066,-0.13678541197549554,-0.038746573264991716,0.043796258506164636,-0.02276001602023843,-0.0653415755370534,-0.06960409926979544,-0.021331115468531014,-0.01937455907589879,0.011140869626470859,-0.0016477659751052123,0.008119279321580766,-0.0027622673368742382,1.1052629400569502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
