,drg0_mean
NDPK5,1.9136089680496298
SHK3Dr,-55.94820291501628
NDPK6,2.738961414405594
NDPK8,2.7019992396617454
DHORTS,38.71945532497875
OMPDC,-73.10308418233285
G5SD,-56.516722440819194
CS,10.127532699749281
ICDHyr,7.1874181977427725
ACALD,25.594163766118527
PPA,14.529415581255535
PPCK,6.3800013682007375
ME1,12.092508988288728
ALATA_L,-1.2761701748584073
XYLK,13.386308899752748
RBK,8.821809235712635
GLYK,21.581501261557378
ASPTA,2.845862921813932
FBP,-19.086225738845087
PYK,-66.68473627210665
GTHOr,-63.45353649846493
ILETA,-7.536939584360141
DHORD5,-15.325584488380166
VALTA,0.1201589152109932
IPPMIb,-0.39935209467776644
ORPT,-56.270314022290904
ACHBS,-62.89181891326939
DHAD2,-36.92848836886267
ACLS,-71.79521777219259
TRPS2,-50.77445155000058
PSCVT,-14.752195405027805
PFL,-19.562946009476036
ANS,-66.09193371154248
FRD2,-34.318466691884176
ANPRT,-15.774675996847463
CHORM,-48.59028665389906
PTAr,7.704385216562514
CHORS,-51.40272859606921
IGPS,-120.04757131617453
ACKr,7.759204968901031
LEUTAi,1.2893743079066553
ENO,-3.6995958329073346
FBA,15.024170338213708
HCO3E,36.371554398850265
IMPC,19.57547170648445
IMPD,62.27237282048327
PPS,121.08337270267157
PGI,2.9486117979956816
PGK,18.02427095145549
PGL,22.34626123536782
RPE,-3.385418475786537
DHQTi,-5.290328370700422
IPMD,61.46262922226751
AIRC3,9.357163233475603
TALA,-0.5910759575681368
ADSL2r,4.246423559882942
TKT1,-1.4887256474728474
RNDR1,-41.98558286324942
ALCD2x,63.905837243459786
RNDR3,-39.655339819289566
RNDR4,-39.348023874808405
TMDS,-45.04910085824213
DHAD1,-36.92848836886267
IPPMIa,-3.686422011685181
MDH,72.39724389219464
FUM,-3.420624929912492
KARA1,65.03889196246755
KARA2,-65.03889196246755
ACCOAC,37.42887156666666
KAS14,-36.40758969666621
ARGSS,109.09150569186306
AGPR,56.516722440819194
ICL,6.314446877948228
GLYCL,21.603244602416794
XYLI1,3.667805807993659
PPC,2.701662634256536
G3PT,-12.499837259100104
SADT2,61.230381472176305
GHMT2r,-10.189669071313006
DHORD2,-123.28038565118476
SDPDS,7.906365490983831
UMPK,-45.7107851014639
CTPS2,57.97781391997478
NDPK7,4.04743200421899
TRPS3,19.172184613999434
ADK1,-45.31697242810765
NDPK2,-1.8890406652731144
NDPK4,5.376756506218044
ACODA,-5.638503515171692
ADSS,96.87932704839386
ASNS2,64.65359496398469
ASPCT,19.004645352144962
MCOATA,1.4331512350468074
DAPE,-1.65427986703844
DHDPRy,-70.5176681271461
HSK,-1.077521113059447
SDPTA,1.7140283789273099
THRS,-28.936071653390854
HSST,-38.37572858025749
PPNDH,-110.86198049875736
DTMPK,-43.05072360125291
NDPK1,-4.100369842665714
TRDR,-57.749855452010706
DDPA,-74.11862320972477
MALS,6.9588450478559025
NADTRHD,-3.576262740200036
G3PD2,71.99286607229033
GMPS2,-195.8463068284184
P5CR,-109.07836194364174
AKGDH,-19.998595420654908
ATPPRT,12.374116069589945
HISTD,117.03982399495187
DHDPS,-82.5157732776845
IGPDH,-40.25530322104419
PRPPS,47.22539138424372
PRATPP,43.120132691077515
GLUN,-12.577100232993331
PRMICI,-9.778559265814579
GLUPRT,-19.9561178040276
SERAT,-6.643238415608721
CYSS,-51.49502355755101
BPNT,-17.852582922397687
PAPSR,11.102888350627097
ASPK,16.891931875980845
ASAD,25.89092387438268
DAPDC,-58.34195985323504
OCBT,8.078956824744637
GARFT,47.87711288346884
PHETA1,-1.7003142713144825
PPND,-10.98183427882816
PRAMPC,-315.4164932603371
GLYCK2,30.834324388889627
ACOTA,-4.910312268436314
SULR,-262.72272679664457
PRAGSr,9.636709996014304
PRFGS,66.6515210044004
PSERT,-12.73230405181289
AIRC2,29.400843113963447
GAPD,54.53706604670219
GND,12.026282137107728
G6PDH2r,42.55575395215146
ME2,15.668771728488991
ARGSL,-6.61967376108646
CBPS,66.90275827964592
GLU5K,22.679971024828546
IPPS,19.119522054994604
ACOATA,7.231211695661386
ACtex,0.0
ACALDtex,0.0
PSP_L,-9.948098053536796
ADSK,27.515176865137164
SUCCt2_2pp,0.0
HSDy,-68.90773731287982
CYSTL,2.3459101928796144
