,0
NDPK5,1.4042461824255952
SHK3Dr,-3.9450720914023805
NDPK6,-1.1168192886930228
NDPK8,2.4701216361240768
DHORTS,-10.15999569068589
OMPDC,-20.217801166864376
G5SD,-5.246544920948054
CS,-41.76474138151502
ICDHyr,5.370438176976279
ACALD,-24.122178655077732
PPA,-15.645520146975187
PPCK,11.245118587828372
ME1,12.022024933852435
ALATA_L,-0.2530758369828163
XYLK,-27.236620468294404
RBK,-31.77641403023955
GLYK,-19.1413524963844
ASPTA,2.84867153625828
FBP,-10.583442102623053
PYK,-22.788996685787524
GTHOr,-10.804371768486135
ILETA,-6.2969401125881745
DHORD5,-17.729929852872367
VALTA,1.3419632834146
IPPMIb,-0.3962298825595383
ORPT,1.2108551867651443
ACHBS,-15.050902483350853
DHAD2,-36.92828881301264
ACLS,-23.710138009999923
TRPS2,-50.4149303390256
PSCVT,-15.882264933092472
PFL,-20.304439967714643
ANS,-112.69483911750189
FRD2,-34.11618200393105
ANPRT,-65.80000830024119
CHORM,-48.72492462258839
PTAr,9.387962131157565
CHORS,-47.04605242318104
IGPS,-69.8655932368406
ACKr,14.689587670111308
LEUTAi,0.03788515202876397
ENO,-3.8948284437034033
FBA,24.848299846934424
HCO3E,-11.271494286351341
IMPC,19.601760647556944
IMPD,13.621261456152752
PPS,-10.109983586346061
PGI,2.4160487479704216
PGK,19.543984097793242
PGL,-28.02815008680082
RPE,-3.3906140956787567
DHQTi,-5.2902220850604635
IPMD,12.727272540417374
AIRC3,-30.403134157537863
TALA,-1.2208993559366945
ADSL2r,24.94399742527108
TKT1,-1.4790399959867955
RNDR1,-44.05985196707786
ALCD2x,15.16757827229847
RNDR3,-40.58892105560494
RNDR4,-44.77765061624848
TMDS,-45.29303438458726
DHAD1,-36.93208669004733
IPPMIa,-3.689943370689946
MDH,23.56590303181156
FUM,-3.4245366320235746
KARA1,13.037042411913347
KARA2,-13.036798379665328
ACCOAC,-11.766443835687696
KAS14,12.118529965439222
ARGSS,10.45758819930029
AGPR,2.7098161915178025
ICL,8.908189447769928
GLYCL,19.146780482497775
XYLI1,3.667714249644689
PPC,-43.54025269382004
G3PT,-13.153781609607279
SADT2,16.109450837029613
GHMT2r,-9.957203634738448
DHORD2,-125.47329164800865
SDPDS,8.20280751497441
UMPK,0.6286235159381022
CTPS2,-25.325868528180706
NDPK7,3.8262863138209013
TRPS3,19.16651345481904
ADK1,0.6038461661419205
NDPK2,-0.5879182848655091
NDPK4,0.8343420125876264
ACODA,-7.0011521834252335
ADSS,-7.201337240641578
ASNS2,-31.937192486588913
ASPCT,-22.92501199061236
MCOATA,9.337677180733408
DAPE,-1.6526074298637923
DHDPRy,-18.51619883616982
HSK,-41.84905089397273
SDPTA,-1.1727043932019114
THRS,-29.691230386027087
HSST,-29.196241382493668
PPNDH,-61.781773075869296
DTMPK,-2.32679308885713
NDPK1,-2.1632798561389563
TRDR,-3.8606555911650275
DDPA,-74.23897258861135
MALS,-40.976089831481204
NADTRHD,-0.31302093925023655
G3PD2,20.036644659695867
GMPS2,-342.21620840734204
P5CR,-9.474894588536444
AKGDH,-28.903295359804076
ATPPRT,-38.55768861537268
HISTD,-23.37154455479724
DHDPS,-130.59541473687966
IGPDH,-42.02433258673477
PRPPS,-3.8340201005378276
PRATPP,-56.86468510314239
GLUN,-14.448119833485663
PRMICI,-9.778607396738266
GLUPRT,-70.08796907908902
SERAT,-6.1997001792462925
CYSS,-50.85227148848605
BPNT,-7.080044155460087
PAPSR,-51.475280915605424
ASPK,20.923451054589805
ASAD,-28.08032122483678
DAPDC,-11.824331766770001
OCBT,-31.78746484671194
GARFT,-0.6955811800037282
PHETA1,-0.4072137719838338
PPND,-10.957664956071653
PRAMPC,-315.42190950979534
GLYCK2,-13.090718390797292
ACOTA,-3.7678846737671847
SULR,-99.32333662094698
PRAGSr,-27.887567213675027
PRFGS,26.365618422140898
PSERT,-11.066799240362457
AIRC2,-59.12057798195882
GAPD,-1.8293512035556887
GND,10.396170185992332
G6PDH2r,-9.361772645643782
ME2,12.335045873102672
ARGSL,-8.668753014813973
CBPS,-22.55555232478696
GLU5K,29.490267049329134
IPPS,-28.792421184224622
ACOATA,8.549271818289526
ACtex,0.17813935106953238
ACALDtex,0.2373823852151986
PSP_L,-10.483161830041809
ADSK,-19.140585983525625
SUCCt2_2pp,21.155986231322657
HSDy,-16.734275553027146
CYSTL,0.7145042466096925
SHSL1,-67.24290963777446
SULabcpp,-32.295127352821225
GLUtex,0.47392767529311186
AKGt2rpp,21.127547648778574
XYLt2pp,52.81725873058184
GLYCtex,0.4747647052510615
Htex,0.0
PYRt2rpp,15.84537352871483
