,0
dhap_c,-214.86464323642417
prbatp_c,-829.7620259981239
10fthf_c,-955.5370283918297
co2_e,0.0
akg_e,-163.80254671706084
2pg_c,-160.27488060189137
13dpg_c,-151.97714203957136
prbamp_c,-846.3575031227639
fpram_c,-686.0826225208726
thr__L_c,-416.62821664991554
fum_p,-81.82700019191148
gln__L_e,-409.5063667926521
3ohexACP_c,-1334.1709595318523
3ocddec5eACP_c,-1797.0912002539806
r5p_c,-400.03273952527553
akg_c,-168.57261916421135
ac_c,-130.57833365431853
citr__L_c,-601.796312938767
34hpp_c,-315.7464299431699
pep_c,-67.69083245746569
h_c,-54.58976263453284
rib__D_c,-462.92024072212837
gthrd_c,-732.3746465930855
actACP_c,-1149.002863243001
actp_c,-122.28059509199853
pyr_p,-122.93347095210721
cyst__L_c,-648.0883370109798
dutp_c,-476.0213105450613
h2o_p,-82.01997085615147
glyc3p_c,-307.4486913808499
2ahbut_c,-408.33047808759557
ser__L_c,-324.0441685054899
toct2eACP_c,-1519.3390558207036
ump_c,-492.61678766970124
3pg_c,-160.27488060189137
ctp_c,-522.3133346172741
dadp_c,-530.6110731795941
xu5p__D_c,-400.03273952527553
aspsa_c,-324.0441685054899
thex2eACP_c,-1334.1709595318523
t3c9palmeACP_c,-2167.4273928316834
accoa_c,-1540.7378642059566
arg__L_c,-702.6780996455126
26dap_LL_c,-648.0883370109798
asp__L_c,-269.4544058709571
acg5sa_c,-454.6225021598084
hexACP_c,-1426.755007676278
skm_c,-408.33047808759557
imp_c,-492.61678766970124
o2_c,-0.0
h_p,-41.106470760195734
succ_p,-163.84697104806295
phpyr_c,-315.7464299431699
fru_e,-491.4076401511825
pyr_e,-122.85191003779562
5mthf_c,-1102.7108391707882
nad_c,-1195.2948873152138
tdeACP_c,-2074.8433446872577
3ocvac11eACP_c,-2352.595489120535
3hoctaACP_c,-2537.7635854093865
adp_c,-530.6110731795941
mal__L_c,-168.57261916421135
g3p_c,-214.86464323642417
etoh_c,-277.75214443327707
so3_c,16.59547712464
met__L_c,-509.21226479434125
aicar_c,-585.200835814127
5aizc_c,-484.31904910738126
ac_e,-122.85191003779562
glx_c,-37.99428550989284
etoh_e,-245.70382007559124
glcn_p,-451.0133543767131
air_c,-538.9088117419142
6pgc_c,-438.0270250351684
nh4_c,-193.46583485117137
tdec2eACP_c,-1704.507152109555
hdeACP_c,-2260.0114409761095
pi_c,-29.69654694757284
argsuc_c,-778.6666706652983
nh4_p,-164.13642704442296
chor_c,-353.7407154530627
hom__L_c,-416.62821664991554
dgdp_c,-530.6110731795941
q8h2_c,-3518.1938294881757
3odecACP_c,-1704.507152109555
tyr__L_c,-509.21226479434125
cys__L_c,-324.0441685054899
xylu__D_c,-462.92024072212837
h2s_c,-92.58404814442568
e4p_c,-307.4486913808499
trp__L_c,-555.5042888665541
acser_c,-416.62821664991554
lys__L_c,-702.6780996455126
dudp_c,-484.31904910738126
atp_c,-522.3133346172741
indole_c,-324.0441685054899
eig3p_c,-400.03273952527553
26dap__M_c,-648.0883370109798
thf_c,-955.5370283918297
orot5p_c,-438.0270250351684
h_e,-40.95063667926521
gln__L_p,-410.09985428075737
glyc_p,-328.0798834246059
5caiz_c,-484.31904910738126
mal__L_p,-163.84697104806295
3hcpalm9eACP_c,-2260.0114409761095
3ocpalm9eACP_c,-2167.4273928316834
butACP_c,-1241.5869113874267
dttp_c,-568.6053586894869
lac__D_e,-204.75318339632605
trdox_c,-0.0
3ig3p_c,-538.9088117419142
sl26da_c,-724.0769080307655
