,0
NDPK5,-0.5093627856240346
SHK3Dr,52.0031308236139
NDPK6,-3.855780703098617
NDPK8,-0.23187760353766862
DHORTS,-48.87945101566464
OMPDC,52.885283015468474
G5SD,51.27017751987114
CS,-51.892274081264304
ICDHyr,-1.8169800207664935
ACALD,-49.71634242119626
PPA,-30.17493572823072
PPCK,4.865117219627635
ME1,-0.07048405443629235
ALATA_L,1.023094337875591
XYLK,-40.62292936804715
RBK,-40.598223265952186
GLYK,-40.72285375794178
ASPTA,0.002808614444347768
FBP,8.502783636222034
PYK,43.895739586319124
GTHOr,52.64916472997879
ILETA,1.2399994717719665
DHORD5,-2.404345364492201
VALTA,1.2218043682036068
IPPMIb,0.0031222121182281626
ORPT,57.48116920905605
ACHBS,47.840916429918536
DHAD2,0.0001995558500311745
ACLS,48.08507976219266
TRPS2,0.35952121097497525
PSCVT,-1.1300695280646664
PFL,-0.7414939582386069
ANS,-46.602905405959405
FRD2,0.20228468795312438
ANPRT,-50.025332303393725
CHORM,-0.13463796868933287
PTAr,1.6835769145950508
CHORS,4.3566761728881715
IGPS,50.18197807933393
ACKr,6.930382701210277
LEUTAi,-1.2514891558778913
ENO,-0.19523261079606868
FBA,9.824129508720716
HCO3E,-47.643048685201606
IMPC,0.0262889410724938
IMPD,-48.65111136433052
PPS,-131.19335628901763
PGI,-0.53256305002526
PGK,1.5197131463377502
PGL,-50.37441132216864
RPE,-0.005195619892219838
DHQTi,0.00010628563995851437
IPMD,-48.735356681850135
AIRC3,-39.76029739101347
TALA,-0.6298233983685577
ADSL2r,20.697573865388136
TKT1,0.009685651486051938
RNDR1,-2.074269103828442
ALCD2x,-48.738258971161315
RNDR3,-0.9335812363153764
RNDR4,-5.4296267414400745
TMDS,-0.2439335263451312
DHAD1,-0.0035983211846541963
IPPMIa,-0.0035213590047646903
MDH,-48.83134086038308
FUM,-0.0039117021110826045
KARA1,-52.0018495505542
KARA2,52.00209358280222
ACCOAC,-49.19531540235435
KAS14,48.52611966210543
ARGSS,-98.63391749256277
AGPR,-53.80690624930139
ICL,2.5937425698217
GLYCL,-2.456464119919019
XYLI1,-9.155834897001114e-05
PPC,-46.24191532807657
G3PT,-0.6539443505071745
SADT2,-45.12093063514669
GHMT2r,0.23246543657455732
DHORD2,-2.192905996823896
SDPDS,0.2964420239905792
UMPK,46.339408617402
CTPS2,-83.30368244815548
NDPK7,-0.22114569039808885
TRPS3,-0.005671159180394625
ADK1,45.92081859424957
NDPK2,1.3011223804076053
NDPK4,-4.542414493630417
ACODA,-1.3626486682535415
ADSS,-104.08066428903544
ASNS2,-96.5907874505736
ASPCT,-41.929657342757324
MCOATA,7.904525945686601
DAPE,0.0016724371746477118
DHDPRy,52.001469290976274
HSK,-40.77152978091328
SDPTA,-2.8867327721292213
THRS,-0.7551587326362323
HSST,9.17948719776382
PPNDH,49.080207422888066
DTMPK,40.72393051239578
NDPK1,1.9370899865267575
TRDR,53.88919986084568
DDPA,-0.12034937888657282
MALS,-47.934934879337106
NADTRHD,3.2632418009497997
G3PD2,-51.95622141259446
GMPS2,-146.36990157892365
P5CR,99.6034673551053
AKGDH,-8.904699939149168
ATPPRT,-50.93180468496263
HISTD,-140.4113685497491
DHDPS,-48.07964145919516
IGPDH,-1.769029365690585
PRPPS,-51.05941148478155
PRATPP,-99.98481779421991
GLUN,-1.8710196004923318
PRMICI,-4.813092368749494e-05
GLUPRT,-50.13185127506142
SERAT,0.4435382363624285
CYSS,0.6427520690649544
BPNT,10.7725387669376
PAPSR,-62.57816926623252
ASPK,4.03151917860896
ASAD,-53.97124509921946
DAPDC,46.51762808646504
OCBT,-39.86642167145658
GARFT,-48.57269406347257
PHETA1,1.2931004993306487
PPND,0.024169322756506517
PRAMPC,-0.0054162494582215
GLYCK2,-43.92504277968692
ACOTA,1.1424275946691296
SULR,163.3993901756976
PRAGSr,-37.52427720968933
PRFGS,-40.285902582259496
PSERT,1.6655048114504325
AIRC2,-88.52142109592226
GAPD,-56.36641725025788
GND,-1.6301119511153956
G6PDH2r,-51.917526597795245
ME2,-3.3337258553863194
ARGSL,-2.0490792537275127
CBPS,-89.45831060443288
GLU5K,6.8102960245005875
IPPS,-47.91194323921923
ACOATA,1.3180601226281397
ACtex,0.17813935106953238
ACALDtex,0.2373823852151986
PSP_L,-0.5350637765050124
ADSK,-46.65576284866279
SUCCt2_2pp,21.155986231322657
HSDy,52.17346175985267
CYSTL,-1.631405946269922
SHSL1,-48.7252462257469
SULabcpp,-41.3767913552785
GLUtex,0.47392767529311186
AKGt2rpp,21.127547648778574
XYLt2pp,52.81725873058184
