,0
NDPK5,0.0
SHK3Dr,2.2737367544323206e-13
NDPK6,0.0
NDPK8,0.0
DHORTS,-5.684341886080802e-14
OMPDC,0.0
G5SD,2.8421709430404007e-13
CS,0.0
ICDHyr,-1.1368683772161603e-13
ACALD,-1.7053025658242404e-13
PPA,0.0
PPCK,-1.4210854715202004e-14
ME1,-2.2737367544323206e-13
ALATA_L,-2.842170943040401e-14
XYLK,0.0
RBK,0.0
GLYK,0.0
ASPTA,1.4210854715202004e-14
FBP,-1.1368683772161603e-13
PYK,-2.842170943040401e-14
GTHOr,2.2737367544323206e-13
ILETA,0.0
DHORD5,0.0
VALTA,-5.684341886080802e-14
IPPMIb,2.842170943040401e-14
ORPT,-2.842170943040401e-14
ACHBS,0.0
DHAD2,0.0
ACLS,0.0
TRPS2,-2.842170943040401e-14
PSCVT,5.684341886080802e-14
PFL,2.2737367544323206e-13
ANS,-1.4210854715202004e-13
FRD2,0.0
ANPRT,0.0
CHORM,0.0
PTAr,0.0
CHORS,0.0
IGPS,-8.526512829121202e-14
ACKr,0.0
LEUTAi,0.0
ENO,0.0
FBA,0.0
HCO3E,0.0
IMPC,-1.1368683772161603e-13
IMPD,-2.2737367544323206e-13
PPS,-1.1368683772161603e-13
PGI,0.0
PGK,0.0
PGL,-5.684341886080802e-14
RPE,0.0
DHQTi,0.0
IPMD,-2.8421709430404007e-13
AIRC3,0.0
TALA,5.684341886080802e-14
ADSL2r,-1.1368683772161603e-13
TKT1,-1.1368683772161603e-13
RNDR1,0.0
ALCD2x,-2.8421709430404007e-13
RNDR3,0.0
RNDR4,0.0
TMDS,0.0
DHAD1,-2.842170943040401e-14
IPPMIa,-2.842170943040401e-14
MDH,-2.2737367544323206e-13
FUM,1.4210854715202004e-14
KARA1,-2.2737367544323206e-13
KARA2,2.2737367544323206e-13
ACCOAC,0.0
KAS14,-1.1368683772161603e-13
ARGSS,0.0
AGPR,-1.7053025658242404e-13
ICL,0.0
GLYCL,-2.2737367544323206e-13
XYLI1,0.0
PPC,1.4210854715202004e-14
G3PT,0.0
SADT2,-1.1368683772161603e-13
GHMT2r,2.842170943040401e-14
DHORD2,0.0
SDPDS,2.842170943040401e-14
UMPK,0.0
CTPS2,-8.526512829121202e-14
NDPK7,0.0
TRPS3,1.1368683772161603e-13
ADK1,1.1368683772161603e-13
NDPK2,0.0
NDPK4,0.0
ACODA,0.0
ADSS,0.0
ASNS2,0.0
ASPCT,5.684341886080802e-14
MCOATA,-1.1368683772161603e-13
DAPE,0.0
DHDPRy,2.2737367544323206e-13
HSK,5.684341886080802e-14
SDPTA,0.0
THRS,-5.684341886080802e-14
HSST,-2.2737367544323206e-13
PPNDH,-5.684341886080802e-14
DTMPK,1.1368683772161603e-13
NDPK1,0.0
TRDR,2.2737367544323206e-13
