"","uniprot_id","gene","MW_Da","glucose_pp_per_cell","acetate_pp_per_cell","fumarate_pp_per_cell","glycerol_pp_per_cell","pyruvate_pp_per_cell","fructose_pp_per_cell","succinate_pp_per_cell","xylose_pp_per_cell","glucose_chemostat_mu_0_5_pp_per_cell","glucose_chemostat_mu_0_12_pp_per_cell","glucose_chemostat_mu_0_20_pp_per_cell","glucose_chemostat_mu_0_35_pp_per_cell","glucose_MG1655_pp_per_cell","glucose_g_gDW","acetate_g_gDW","fumarate_g_gDW","glycerol_g_gDW","pyruvate_g_gDW","fructose_g_gDW","succinate_g_gDW","xylose_g_gDW","glucose_chemostat_mu_0_5_g_gDW","glucose_chemostat_mu_0_12_g_gDW","glucose_chemostat_mu_0_20_g_gDW","glucose_chemostat_mu_0_35_g_gDW","glucose_MG1655_g_gDW"
"1","A5A614","yciZ",6419.36264,14,9,8,8,25,NA,8,NA,6,3,24,68,NA,5.32992580538027e-07,3.42638087488732e-07,3.04567188878873e-07,3.04567188878873e-07,9.51772465246477e-07,NA,3.04567188878873e-07,NA,2.28425391659154e-07,1.14212695829577e-07,9.13701566636618e-07,2.58882110547042e-06,NA
"2","A5A621","ypfM",2388.24459,2,1,5,9,5,NA,0,NA,0,0,0,15,NA,2.832761529155e-08,1.4163807645775e-08,7.08190382288751e-08,1.27474268811975e-07,7.08190382288751e-08,NA,0,NA,0,0,0,2.12457114686625e-07,NA
"3","B8LFD5",NA,38834.1893,19,14,18,18,20,23,25,27,17,15,13,17,16,4.37591685664468e-06,3.22435978910661e-06,4.14560544313707e-06,4.14560544313707e-06,4.6062282701523e-06,5.29716251067514e-06,5.75778533769037e-06,6.2184081647056e-06,3.91529402962945e-06,3.45467120261422e-06,2.99404837559899e-06,3.91529402962945e-06,3.68498261612184e-06
"4","C9M2Y6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","D0EX67","nagZ",37552.86975,131,81,93,104,94,110,97,132,80,39,51,63,117,2.91753210682853e-05,1.80397023399321e-05,2.07122508347369e-05,2.31620869549746e-05,2.0934963209304e-05,2.4498361202377e-05,2.16031003330052e-05,2.93980334428524e-05,1.78169899653651e-05,8.68578260811548e-06,1.13583311029202e-05,1.4030879597725e-05,2.60573478243464e-05
"6","D4HZR9","ygbT",32800.6034,2,2,2,2,2,2,6,1,2,3,1,1,NA,3.89056832091854e-07,3.89056832091854e-07,3.89056832091854e-07,3.89056832091854e-07,3.89056832091854e-07,3.89056832091854e-07,1.16717049627556e-06,1.94528416045927e-07,3.89056832091854e-07,5.8358524813778e-07,1.94528416045927e-07,1.94528416045927e-07,NA
"7","D8FH86","cas1",35325.32876,16,22,26,32,32,22,13,30,24,17,21,20,NA,3.35202626180196e-06,4.6090361099777e-06,5.44704267542819e-06,6.70405252360393e-06,6.70405252360393e-06,4.6090361099777e-06,2.72352133771409e-06,6.28504924087868e-06,5.02803939270294e-06,3.56152790316459e-06,4.39953446861508e-06,4.19003282725245e-06,NA
"8","D9IX93","gsiB",56416.73288,316,274,308,311,284,291,294,258,249,172,206,232,190,0.000105729513154624,9.1676856342933e-05,0.000103052816619063,0.000104056577819898,9.50227270123832e-05,9.73648364809982e-05,9.83685976818333e-05,8.63234632718129e-05,8.33121796693078e-05,5.75489755145419e-05,6.89249357906723e-05,7.76241995312426e-05,6.35715427195521e-05
"9","E1MTY0","MettuDRAFT_4149",33458.63468,29,14,17,23,20,19,19,31,14,7,8,8,NA,5.75449782772691e-06,2.77803343407506e-06,3.37332631280543e-06,4.56391207026617e-06,3.9686191915358e-06,3.77018823195901e-06,3.77018823195901e-06,6.15135974688049e-06,2.77803343407506e-06,1.38901671703753e-06,1.58744767661432e-06,1.58744767661432e-06,NA
"10","P00350","gnd",51431.30094,14100,5501,6745,8331,7002,10318,8024,12496,8213,2953,3915,5205,12628,0.00430078606569958,0.00167791660619953,0.00205736184490381,0.00254112402222292,0.00213575205900911,0.00314719933516938,0.00244748279370024,0.00381153352319021,0.00250513162819792,0.000900724911490131,0.00119415442888041,0.00158763060084867,0.00385179620125208
