Genes	b_number	Product	MW_kDa	ecocyc_accession_id	Product	UniProt	biocyc_id
3'ETS-<i>leuZ</i>	b4759	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>		ECK4616	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>		RNA0-388
aaeA	b3241	aromatic carboxylic acid efflux pump membrane fusion protein	34.775	ECK3230	aromatic carboxylic acid efflux pump membrane fusion protein	P46482	G7686-MONOMER
aaeB	b3240	aromatic carboxylic acid efflux pump subunit AaeB	73.591	ECK3229	aromatic carboxylic acid efflux pump subunit AaeB	P46481	G7685-MONOMER
aaeR	b3243	DNA-binding transcriptional activator AaeR	34.516003	ECK3232	DNA-binding transcriptional activator AaeR	P67662	G7688-MONOMER
aaeX	b3242	DUF1656 domain-containing protein AaeX	7.8470006	ECK3231	DUF1656 domain-containing protein AaeX	P46478	G7687-MONOMER
aas	b2836	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	80.700005	ECK2832	fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase	P31119	AAS-MONOMER
aat	b0885	leucyl/phenylalanyl-tRNA&mdash;protein transferase	26.618002	ECK0876	leucyl/phenylalanyl-tRNA&mdash;protein transferase	P0A8P1	EG11112-MONOMER
abgA	b1338	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A	46.588	ECK1334	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit A	P77357	G6670-MONOMER
abgB	b1337	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	52.194004	ECK1333	<i>p</i>-aminobenzoyl-glutamate hydrolase subunit B	P76052	G6669-MONOMER
abgR	b1339	putative LysR-type DNA-binding transcriptional regulator AbgR	34.058002	ECK1335	putative LysR-type DNA-binding transcriptional regulator AbgR	P77744	G6671-MONOMER
abgT	b1336	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter	54.886	ECK1332	<i>p</i>-aminobenzoyl glutamate:H<sup>+</sup> symporter	P46133	ABGT-MONOMER
abpA	b2628	CP4-57 prophage; anti-bacteriophage protein	62.007004	ECK2624	CP4-57 prophage; anti-bacteriophage protein	P52127	G7363-MONOMER
abpB	b2627	CP4-57 prophage; putative helicase YfjK	83.062004	ECK2623	CP4-57 prophage; putative helicase YfjK	P52126	G7362-MONOMER
abrB	b0715	putative regulator	36.884003	ECK0704	putative regulator	P75747	G6384-MONOMER
accA	b0185	acetyl-CoA carboxyltransferase subunit &alpha;	35.242	ECK0184	acetyl-CoA carboxyltransferase subunit &alpha;	P0ABD5	CARBOXYL-TRANSFERASE-ALPHA-MONOMER
accB	b3255	biotin carboxyl carrier protein	16.687	ECK3242	biotin carboxyl carrier protein	P0ABD8	BCCP-MONOMER
accC	b3256	biotin carboxylase	49.321003	ECK3243	biotin carboxylase	P24182	BIOTIN-CARBOXYL-MONOMER
accD	b2316	acetyl-CoA carboxyltransferase subunit &beta;	33.322002	ECK2310	acetyl-CoA carboxyltransferase subunit &beta;	P0A9Q5	CARBOXYL-TRANSFERASE-BETA-MONOMER
aceA	b4015	isocitrate lyase	47.522003	ECK4007	isocitrate lyase	P0A9G6	ISOCIT-LYASE-MONOMER
aceB	b4014	malate synthase A	60.274002	ECK4006	malate synthase A	P08997	MALATE-SYNTHASE
aceE	b0114	pyruvate dehydrogenase E1 component	99.66801	ECK0113	pyruvate dehydrogenase E1 component	P0AFG8	E1P-MONOMER
aceF	b0115	dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit	66.09598 // 66.096	ECK0114	dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit	P06959	dihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // <i>S</i>-acetyldihydrolipoyl-[pyruvate dehydrogenase E2 subunit] // lipoyl-[pyruvate dehydrogenase E2 sbunit] // pyruvate dehydrogenase E2 subunit
aceK	b4016	isocitrate dehydrogenase kinase/phosphatase	67.699005	ECK4008	isocitrate dehydrogenase kinase/phosphatase	P11071	ICITDEHASE-KIN-PHOSPHA
aceK-int	b4830	small RNA AceK-int		ECK4687	small RNA AceK-int		RNA0-423
ackA	b2296	acetate kinase	43.29	ECK2290	acetate kinase	P0A6A3	ACETATEKINA-MONOMER
acnA	b1276	aconitate hydratase 1	97.677	ECK1271	aconitate hydratase 1	P25516	ACONITASE-MONOMER
acnB	b0118	AcnB	93.498	ECK0117	AcnB	P36683	ACONITATEDEHYDRB-MONOMER
acpH	b0404	acyl carrier protein phosphodiesterase	22.961	ECK0398	acyl carrier protein phosphodiesterase	P21515	EG11095-MONOMER
