Uniprot Accession,Description,Gene,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,91,6045.53,155045.008,2,2779,7164,4503,2180,2444,3316,2845,2730,4780,3900,3477,3000,1735,1907,2248,3985,3339,3632,3401,2258,2764,4517
P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,89,5061.29,150520.2758,2,3957,8888,5199,2661,3199,3999,3749,3714,5245,4388,3860,3455,2379,2227,3254,4923,4032,4437,4143,2820,3855,5269
P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,67,4505.67,93420.9457,2,7596,16600,17548,22844,19491,13753,10792,16395,15733,20261,16410,13763,933,756,2815,4842,4649,6697,16517,12875,19547,8782
P15254,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,65,4277.71,141295.8984,2,2456,821,2339,1438,2071,1959,2068,2708,2285,1730,1468,1219,618,735,1318,1885,1708,1721,1764,1570,1913,2406
P09831,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,64,4111.74,163176.3153,2,2859,604,652,1363,1281,1977,2204,1691,2321,1959,1771,1379,230,183,834,2979,2723,2496,2079,1398,1553,3858
P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,59,3547.25,99587.94042,2,5815,11820,6671,2445,4521,4198,4067,15791,5884,5275,4409,4794,5279,5888,6283,6983,9459,10243,4905,3263,4739,9414
P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,58,4443.68,96048.64958,2,4851,5472,5634,4510,4007,7361,5186,3292,10354,7637,7837,8009,7038,6714,5216,9029,9015,8391,5977,6324,4052,19994
P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,57,4565.07,43238.30279,2,252452,443852,368888,149278,190256,173736,191041,187233,180819,142247,112618,102131,86996,88447,214484,250232,192346,216764,192017,140285,195883,233116
P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,56,4067.16,84602.80905,2,51584,1711,1690,17413,19719,23978,28808,18643,27208,13268,8295,4243,3382,3563,30109,32362,25744,32790,26643,11660,19185,38848
P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,55,3795.21,57274.67483,2,22739,65887,57319,19540,26422,23090,26358,22919,25954,23702,17811,16980,26509,25774,22879,65428,26821,26428,27239,15632,26639,24906
P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,55,3752.55,117749.3328,2,4445,411,675,1514,2501,2228,2852,1847,3000,1873,1409,1117,1212,1147,2249,3595,2908,2687,2547,1675,2607,3695
P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,54,3972.86,85284.7241,2,4615,6984,6457,5645,5440,6178,5863,6557,6684,6004,5454,4877,3557,3629,4737,5699,8209,5999,7028,5774,6640,7624
P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,53,4447.08,69054.47444,2,18605,59770,38606,14174,16849,17438,17699,13239,15492,13264,10501,9606,34072,33716,20710,44985,34137,18457,18097,11030,19666,18740
P0A705,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,52,3380.67,79678.11829,2,3047,6788,4375,1912,2532,2677,2827,2659,3822,2910,2327,2029,1200,1411,2280,4009,2725,3062,2785,1832,2546,3534
P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,52,2706.42,54016.26705,2,33338,3422,2074,15604,19954,20988,29065,14079,26857,17840,11583,6798,18865,17213,41665,34023,19774,29345,23853,13576,24774,35790
P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,50,3589.35,98982.23464,2,3633,1283,1488,1349,1452,3287,2185,1536,4288,2871,2129,1673,1316,1628,3019,3669,5644,3575,2647,1663,1479,5126
