Uniprot Accession,Molecular weight (Da),Description,Gene,abundance_lb_copies_per_cell,abundance_glucose_copies_per_cell
P0A8T7,155045.008,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,4696,2270
P0A8V2,150520.2758,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,5649,2849
P36683,93420.9457,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,17855,9626
P15254,141295.8984,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,414,2422
P09831,163176.3153,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,272,1815
P00968,117749.3328,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,241,4414
P25665,84602.80905,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,749,37939
P0A6F5,57274.67483,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,55698,22305
P0A6Y8,69054.47444,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,42936,18133
P0A705,97272.32602,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,3236,1545
P0CE47,43238.30279,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,417978,279773
P0AFG8,99587.94042,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,10369,4470
P0A6M8,77514.47523,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,66828,40159
P00957,95954.64438,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,3255,2167
P00864,98982.23464,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,626,2042
P00961,76746.96578,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,5562,3030
P07118,108105.6884,Valyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=valS PE=1 SV=2,valS,2381,1599
P63284,95507.92428,Chaperone protein ClpB OS=Escherichia coli (strain K12) GN=clpB PE=1 SV=1,clpB,3400,1611
P0AG67,61102.7043,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,46364,24938
P0A853,52721.57894,Tryptophanase OS=Escherichia coli (strain K12) GN=tnaA PE=1 SV=1,tnaA,138625,808
P05793,54016.26705,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,1148,34730
P06959,66036.77654,Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex OS=Escherichia coli (strain K12) GN=aceF PE=1 SV=3,aceF,20444,8787
P00956,104212.5396,Isoleucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=ileS PE=1 SV=5,ileS,2408,1980
P10408,101940.9335,Protein translocase subunit secA OS=Escherichia coli (strain K12) GN=secA PE=1 SV=2,secA,1250,547
P0ABB4,50275.81931,ATP synthase subunit beta OS=Escherichia coli (strain K12) GN=atpD PE=1 SV=2,atpD,36068,21539
P07813,97153.28428,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,1780,1429
P0AFG3,104977.5259,2-oxoglutarate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=sucA PE=1 SV=1,sucA,3355,1356
P00561,89045.79557,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,1360,4375
P0A850,48144.85133,Trigger factor OS=Escherichia coli (strain K12) GN=tig PE=1 SV=1,tig,51695,25147
P0A9Q7,96048.64958,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,3259,2853
P21889,65853.62132,Aspartyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=aspS PE=1 SV=1,aspS,3221,2069
P0A940,90478.46722,Outer membrane protein assembly factor yaeT OS=Escherichia coli (strain K12) GN=yaeT PE=1 SV=1,yaeT,2804,1957
P0AC33,60242.56175,"Fumarate hydratase class I, aerobic OS=Escherichia coli (strain K12) GN=fumA PE=1 SV=2",fumA,7930,1406
P0A6F3,56177.25025,Glycerol kinase OS=Escherichia coli (strain K12) GN=glpK PE=1 SV=2,glpK,32476,5104
P13035,56697.06997,Aerobic glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain K12) GN=glpD PE=1 SV=3,glpD,11178,5826
P09546,143707.3978,Bifunctional protein putA OS=Escherichia coli (strain K12) GN=putA PE=1 SV=3,putA,390,48
P05055,77034.97797,Polyribonucleotide nucleotidyltransferase OS=Escherichia coli (strain K12) GN=pnp PE=1 SV=3,pnp,4619,2208
P39180,106742.9816,Antigen 43 OS=Escherichia coli (strain K12) GN=flu PE=1 SV=3,flu,4506,5180
P0A9M0,87364.80487,Lon protease OS=Escherichia coli (strain K12) GN=lon PE=1 SV=1,lon,2401,1061
P21513,118106.8771,Ribonuclease E OS=Escherichia coli (strain K12) GN=rne PE=1 SV=6,rne,1150,597
P0AES4,96885.40294,DNA gyrase subunit A OS=Escherichia coli (strain K12) GN=gyrA PE=1 SV=1,gyrA,1287,517
P0A6Z3,71360.33894,Chaperone protein htpG OS=Escherichia coli (strain K12) GN=htpG PE=1 SV=1,htpG,7810,2615
P08839,63503.89517,Phosphoenolpyruvate-protein phosphotransferase OS=Escherichia coli (strain K12) GN=ptsI PE=1 SV=1,ptsI,5143,10438
P23847,60237.23952,Periplasmic dipeptide transport protein OS=Escherichia coli (strain K12) GN=dppA PE=1 SV=1,dppA,1726,6851
P09373,85284.7241,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,5231,3432
P0AC41,64363.08691,Succinate dehydrogenase flavoprotein subunit OS=Escherichia coli (strain K12) GN=sdhA PE=1 SV=1,sdhA,6617,1770
P13029,79956.11435,Catalase-peroxidase OS=Escherichia coli (strain K12) GN=katG PE=1 SV=2,katG,1917,1468
P0AES6,89875.87852,DNA gyrase subunit B OS=Escherichia coli (strain K12) GN=gyrB PE=1 SV=2,gyrB,1535,750
P13009,135893.6125,Methionine synthase OS=Escherichia coli (strain K12) GN=metH PE=1 SV=5,metH,151,304
P76558,82346.78295,NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1,maeB,1377,277
P0A6E4,49848.81733,Argininosuccinate synthase OS=Escherichia coli (strain K12) GN=argG PE=1 SV=2,argG,694,8158
P07395,87305.38731,Phenylalanyl-tRNA synthetase beta chain OS=Escherichia coli (strain K12) GN=pheT PE=1 SV=2,pheT,3176,1998
P16659,63634.68294,Prolyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=proS PE=1 SV=4,proS,4948,3902
P25553,52221.71682,Lactaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=aldA PE=1 SV=2,aldA,13414,2350
P0A9W3,62386.25685,Uncharacterized ABC transporter ATP-binding protein YjjK OS=Escherichia coli (strain K12) GN=yjjK PE=1 SV=2,yjjK,3228,2189
P08200,45709.46787,Isocitrate dehydrogenase [NADP] OS=Escherichia coli (strain K12) GN=icd PE=1 SV=1,icd,21530,37682
P0A799,41074.62371,Phosphoglycerate kinase OS=Escherichia coli (strain K12) GN=pgk PE=1 SV=2,pgk,41675,30363
P0A6P1,30385.76806,Elongation factor Ts OS=Escherichia coli (strain K12) GN=tsf PE=1 SV=2,tsf,42440,19987
P04825,98838.72264,Aminopeptidase N OS=Escherichia coli (strain K12) GN=pepN PE=1 SV=2,pepN,1959,933
P0AD61,50679.24536,Pyruvate kinase I OS=Escherichia coli (strain K12) GN=pykF PE=1 SV=1,pykF,8347,7936
P0AFF6,54819.06259,Transcription elongation protein nusA OS=Escherichia coli (strain K12) GN=nusA PE=1 SV=1,nusA,8650,5037
P00370,48532.35541,NADP-specific glutamate dehydrogenase OS=Escherichia coli (strain K12) GN=gdhA PE=1 SV=1,gdhA,690,6032
P0AG30,46956.59013,Transcription termination factor Rho OS=Escherichia coli (strain K12) GN=rho PE=1 SV=1,rho,4696,3108
P00959,76188.10041,Methionyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=metG PE=1 SV=2,metG,2272,2152
P0AAI3,70645.4092,ATP-dependent zinc metalloprotease FtsH OS=Escherichia coli (strain K12) GN=ftsH PE=1 SV=1,ftsH,2505,1758
P07017,59888.55652,Methyl-accepting chemotaxis protein II OS=Escherichia coli (strain K12) GN=tar PE=1 SV=2,tar,5233,3793
P0A817,41907.1862,S-adenosylmethionine synthase OS=Escherichia coli (strain K12) GN=metK PE=1 SV=2,metK,5528,10758
P0A9A6,40280.55906,Cell division protein ftsZ OS=Escherichia coli (strain K12) GN=ftsZ PE=1 SV=1,ftsZ,7773,6073
P23843,60842.91364,Periplasmic oligopeptide-binding protein OS=Escherichia coli (strain K12) GN=oppA PE=1 SV=2,oppA,2665,20761
P0A6T1,61472.99513,Glucose-6-phosphate isomerase OS=Escherichia coli (strain K12) GN=pgi PE=1 SV=1,pgi,4348,3225
P17846,63939.93503,Sulfite reductase [NADPH] hemoprotein beta-component OS=Escherichia coli (strain K12) GN=cysI PE=1 SV=4,cysI,222,2767
P15639,57274.98651,Bifunctional purine biosynthesis protein purH OS=Escherichia coli (strain K12) GN=purH PE=1 SV=1,purH,347,2349
P0ADY1,68089.75025,Peptidyl-prolyl cis-trans isomerase D OS=Escherichia coli (strain K12) GN=ppiD PE=1 SV=1,ppiD,1585,892
P0A9M8,77105.88254,Phosphate acetyltransferase OS=Escherichia coli (strain K12) GN=pta PE=1 SV=2,pta,2721,1054
P02942,59388.25188,Methyl-accepting chemotaxis protein I OS=Escherichia coli (strain K12) GN=tsr PE=1 SV=2,tsr,9736,3941
P22523,170107.5558,Chromosome partition protein mukB OS=Escherichia coli (strain K12) GN=mukB PE=1 SV=2,mukB,253,96
P0A825,45269.96251,Serine hydroxymethyltransferase OS=Escherichia coli (strain K12) GN=glyA PE=1 SV=1,glyA,9306,21854
P00350,51431.30094,"6-phosphogluconate dehydrogenase, decarboxylating OS=Escherichia coli (strain K12) GN=gnd PE=1 SV=2",gnd,15285,12628
P0ABB0,55169.73662,ATP synthase subunit alpha OS=Escherichia coli (strain K12) GN=atpA PE=1 SV=1,atpA,19988,13133
P04079,58623.86483,GMP synthase [glutamine-hydrolyzing] OS=Escherichia coli (strain K12) GN=guaA PE=1 SV=1,guaA,3665,4160
P30850,72427.22502,Exoribonuclease 2 OS=Escherichia coli (strain K12) GN=rnb PE=1 SV=3,rnb,1071,1263
P00582,103035.5166,DNA polymerase I OS=Escherichia coli (strain K12) GN=polA PE=1 SV=1,polA,623,327
P0A910,37159.64679,Outer membrane protein A OS=Escherichia coli (strain K12) GN=ompA PE=1 SV=1,ompA,119117,108747
P0A9C5,51852.71686,Glutamine synthetase OS=Escherichia coli (strain K12) GN=glnA PE=1 SV=2,glnA,5592,17062
P38038,66210.86614,Sulfite reductase [NADPH] flavoprotein alpha-component OS=Escherichia coli (strain K12) GN=cysJ PE=1 SV=4,cysJ,148,2698
P0A7E5,60318.05938,CTP synthase OS=Escherichia coli (strain K12) GN=pyrG PE=1 SV=2,pyrG,1824,1175
P27298,77100.625,Oligopeptidase A OS=Escherichia coli (strain K12) GN=prlC PE=3 SV=3,prlC,1809,1114
P05791,65471.83229,Dihydroxy-acid dehydratase OS=Escherichia coli (strain K12) GN=ilvD PE=1 SV=5,ilvD,178,902
